checkpoint (in update steps),metric_name,metric
0,acc,0.257
10,acc,0.256
20,acc,0.249
40,acc,0.242
100,acc,0.251
200,acc,0.24
400,acc,0.236
800,acc,0.223
1600,acc,0.228
3200,acc,0.214
6400,acc,0.235
12800,acc,0.274
20000,acc,0.321
40000,acc,0.331
60000,acc,0.326
66694,acc,0.329
80000,acc,0.338
100000,acc,0.347
120000,acc,0.342
133388,acc,0.343
140000,acc,0.344
160000,acc,0.346
180000,acc,0.357
200000,acc,0.357
200082,acc,0.372
220000,acc,0.366
240000,acc,0.372
260000,acc,0.35
266776,acc,0.354
280000,acc,0.361
300000,acc,0.365
320000,acc,0.365
340000,acc,0.367
360000,acc,0.358
380000,acc,0.366
400000,acc,0.371
420000,acc,0.369
440000,acc,0.373
460000,acc,0.373
480000,acc,0.375
500000,acc,0.379
520000,acc,0.378
540000,acc,0.378
560000,acc,0.372
580000,acc,0.375
600000,acc,0.377
620000,acc,0.372
640000,acc,0.379
660000,acc,0.377
680000,acc,0.377
700000,acc,0.376
720000,acc,0.378
740000,acc,0.386
760000,acc,0.378
780000,acc,0.387
800000,acc,0.386
820000,acc,0.38
840000,acc,0.378
860000,acc,0.388
880000,acc,0.386
900000,acc,0.378
920000,acc,0.379
940000,acc,0.388
960000,acc,0.385
980000,acc,0.384
1000000,acc,0.389
