checkpoint (in update steps),metric_name,metric
0,acc,0.259
10,acc,0.258
20,acc,0.251
40,acc,0.254
100,acc,0.252
200,acc,0.251
400,acc,0.246
800,acc,0.236
23172,acc,0.278
46344,acc,0.293
69516,acc,0.299
92688,acc,0.323
115860,acc,0.302
139032,acc,0.321
162204,acc,0.316
185376,acc,0.327
208548,acc,0.328
231720,acc,0.322
254892,acc,0.328
278064,acc,0.318
301236,acc,0.32
324408,acc,0.318
347580,acc,0.326
370752,acc,0.313
393924,acc,0.332
417096,acc,0.313
440268,acc,0.309
463440,acc,0.333
486612,acc,0.323
509784,acc,0.336
532956,acc,0.319
556128,acc,0.31
579300,acc,0.313
602472,acc,0.327
625644,acc,0.329
648816,acc,0.331
671988,acc,0.329
695160,acc,0.321
718332,acc,0.33
741504,acc,0.338
764676,acc,0.337
787848,acc,0.327
811020,acc,0.334
834192,acc,0.332
857364,acc,0.332
880536,acc,0.341
903708,acc,0.339
926880,acc,0.339
950052,acc,0.345
973224,acc,0.35
996396,acc,0.344
1019568,acc,0.345
