checkpoint (in update steps),metric_name,metric
0,acc,0.259
10,acc,0.258
20,acc,0.254
40,acc,0.248
100,acc,0.246
200,acc,0.255
400,acc,0.238
800,acc,0.215
22746,acc,0.317
45492,acc,0.318
68238,acc,0.342
90984,acc,0.35
113730,acc,0.342
136476,acc,0.345
159222,acc,0.352
181968,acc,0.372
204714,acc,0.371
227460,acc,0.356
250206,acc,0.349
272952,acc,0.355
295698,acc,0.356
318444,acc,0.363
341190,acc,0.372
363936,acc,0.355
386682,acc,0.365
409428,acc,0.36
432174,acc,0.363
454920,acc,0.369
477666,acc,0.359
500412,acc,0.372
523158,acc,0.357
545904,acc,0.373
568650,acc,0.37
591396,acc,0.363
614142,acc,0.373
636888,acc,0.37
659634,acc,0.368
682380,acc,0.366
705126,acc,0.373
727872,acc,0.38
750618,acc,0.369
773364,acc,0.365
796110,acc,0.368
818856,acc,0.355
841602,acc,0.362
864348,acc,0.357
887094,acc,0.355
909840,acc,0.356
932586,acc,0.369
955332,acc,0.361
978078,acc,0.365
1000824,acc,0.369
