checkpoint (in update steps),metric_name,metric
0,acc,0.259
10,acc,0.258
20,acc,0.254
40,acc,0.248
100,acc,0.246
200,acc,0.257
400,acc,0.239
800,acc,0.214
1000,acc,0.219
2000,acc,0.214
3000,acc,0.224
4000,acc,0.228
5000,acc,0.242
6000,acc,0.237
7000,acc,0.238
8000,acc,0.228
9000,acc,0.232
10000,acc,0.259
11000,acc,0.284
12000,acc,0.282
13000,acc,0.292
14000,acc,0.298
15000,acc,0.307
16000,acc,0.308
17000,acc,0.31
18000,acc,0.298
19000,acc,0.307
20000,acc,0.311
21000,acc,0.307
22000,acc,0.307
22437,acc,0.314
44874,acc,0.332
67311,acc,0.338
89748,acc,0.359
112185,acc,0.346
134622,acc,0.351
157059,acc,0.354
179496,acc,0.364
201933,acc,0.365
224370,acc,0.358
246807,acc,0.378
269244,acc,0.383
291681,acc,0.381
314118,acc,0.372
336555,acc,0.366
358992,acc,0.377
381429,acc,0.36
403866,acc,0.375
426303,acc,0.372
448740,acc,0.367
471177,acc,0.368
493614,acc,0.363
516051,acc,0.368
538488,acc,0.37
560925,acc,0.367
583362,acc,0.367
605799,acc,0.369
628236,acc,0.372
650673,acc,0.374
673110,acc,0.377
695547,acc,0.377
717984,acc,0.38
740421,acc,0.373
762858,acc,0.38
785295,acc,0.372
807732,acc,0.375
830169,acc,0.368
852606,acc,0.371
875043,acc,0.361
897480,acc,0.367
919917,acc,0.367
