scenario,metric_name,metric
NEWS (12GB),acc,0.385
NEWS (12GB),acc,0.389
NEWS (12GB),acc,0.35
NEWS (12GB),acc,0.365
NEWS (12GB),acc,0.34
NEWS (12GB),acc,0.355
NEWS (12GB),acc,0.363
NEWS (12GB),acc,0.326
NEWS (12GB),acc,0.363
NEWS (12GB),acc,0.344
NEWS (12GB),acc,0.373
NEWS (12GB),acc,0.391
NEWS (12GB),acc,0.387
NEWS (12GB),acc,0.376
NEWS (12GB),acc,0.361
NEWS (12GB),acc,0.344
NEWS (12GB),acc,0.358
NEWS (12GB),acc,0.259
NEWS (12GB),acc,0.344
NEWS (12GB),acc,0.354
NEWS (12GB),acc,0.371
NEWS (12GB),acc,0.358
NEWS (12GB),acc,0.379
NEWS (12GB),acc,0.384
NEWS (12GB),acc,0.369
NEWS (12GB),acc,0.376
NEWS (12GB),acc,0.358
NEWS (12GB),acc,0.354
NEWS (12GB),acc,0.366
NEWS (12GB),acc,0.336
NEWS (12GB),acc,0.366
NEWS (12GB),acc,0.324
NEWS (12GB),acc,0.382
NEWS (12GB),acc,0.376
NEWS (12GB),acc,0.375
NEWS (12GB),acc,0.327
NEWS (12GB),acc,0.371
NEWS (12GB),acc,0.324
NEWS (12GB),acc,0.34
NEWS (12GB),acc,0.354
NEWS (12GB),acc,0.376
NEWS (12GB),acc,0.386
NEWS (12GB),acc,0.382
NEWS (12GB),acc,0.376
NEWS (12GB),acc,0.368
NEWS (12GB),acc,0.39
NEWS (12GB),acc,0.39
NEWS (12GB),acc,0.367
NEWS (12GB),acc,0.375
WIKI (12GB),acc,0.358
WIKI (12GB),acc,0.36
WIKI (12GB),acc,0.364
WIKI (12GB),acc,0.372
WIKI (12GB),acc,0.368
WIKI (12GB),acc,0.314
WIKI (12GB),acc,0.367
WIKI (12GB),acc,0.351
WIKI (12GB),acc,0.372
WIKI (12GB),acc,0.369
WIKI (12GB),acc,0.375
WIKI (12GB),acc,0.354
WIKI (12GB),acc,0.367
WIKI (12GB),acc,0.259
WIKI (12GB),acc,0.365
WIKI (12GB),acc,0.377
WIKI (12GB),acc,0.374
WIKI (12GB),acc,0.378
WIKI (12GB),acc,0.373
WIKI (12GB),acc,0.38
WIKI (12GB),acc,0.372
WIKI (12GB),acc,0.38
WIKI (12GB),acc,0.372
WIKI (12GB),acc,0.381
WIKI (12GB),acc,0.367
WIKI (12GB),acc,0.346
WIKI (12GB),acc,0.363
WIKI (12GB),acc,0.332
WIKI (12GB),acc,0.367
WIKI (12GB),acc,0.368
WIKI (12GB),acc,0.338
WIKI (12GB),acc,0.37
WIKI (12GB),acc,0.359
WIKI (12GB),acc,0.383
WIKI (12GB),acc,0.366
WIKI (12GB),acc,0.367
WIKI (12GB),acc,0.368
WIKI (12GB),acc,0.377
WIKI (12GB),acc,0.361
WIKI (12GB),acc,0.371
WIKI (12GB),acc,0.377
WIKI (12GB),acc,0.375
STORIES (12GB),acc,0.344
STORIES (12GB),acc,0.345
STORIES (12GB),acc,0.322
STORIES (12GB),acc,0.332
STORIES (12GB),acc,0.327
STORIES (12GB),acc,0.331
STORIES (12GB),acc,0.323
STORIES (12GB),acc,0.278
STORIES (12GB),acc,0.327
STORIES (12GB),acc,0.321
STORIES (12GB),acc,0.309
STORIES (12GB),acc,0.35
STORIES (12GB),acc,0.329
STORIES (12GB),acc,0.313
STORIES (12GB),acc,0.316
STORIES (12GB),acc,0.333
STORIES (12GB),acc,0.328
STORIES (12GB),acc,0.313
STORIES (12GB),acc,0.329
STORIES (12GB),acc,0.328
STORIES (12GB),acc,0.337
STORIES (12GB),acc,0.327
STORIES (12GB),acc,0.334
STORIES (12GB),acc,0.338
STORIES (12GB),acc,0.318
STORIES (12GB),acc,0.32
STORIES (12GB),acc,0.313
STORIES (12GB),acc,0.302
STORIES (12GB),acc,0.336
STORIES (12GB),acc,0.293
STORIES (12GB),acc,0.339
STORIES (12GB),acc,0.319
STORIES (12GB),acc,0.299
STORIES (12GB),acc,0.31
STORIES (12GB),acc,0.323
STORIES (12GB),acc,0.318
STORIES (12GB),acc,0.326
STORIES (12GB),acc,0.345
STORIES (12GB),acc,0.332
STORIES (12GB),acc,0.321
STORIES (12GB),acc,0.339
STORIES (12GB),acc,0.341
STORIES (12GB),acc,0.33
STORIES (12GB),acc,0.332
NEWS+WIKI+STORIES (36GB),acc,0.329
NEWS+WIKI+STORIES (36GB),acc,0.343
NEWS+WIKI+STORIES (36GB),acc,0.372
NEWS+WIKI+STORIES (36GB),acc,0.354
Small WIKI (4GB),acc,0.373
Small WIKI (4GB),acc,0.37
Small WIKI (4GB),acc,0.373
Small WIKI (4GB),acc,0.352
Small WIKI (4GB),acc,0.318
Small WIKI (4GB),acc,0.372
Small WIKI (4GB),acc,0.363
