checkpoint (in update steps),metric_name,metric
0,acc,0.4928076718167288
10,acc,0.4922749067661161
20,acc,0.4885455514118274
40,acc,0.49014384656366544
100,acc,0.5002663825253063
200,acc,0.5194459243473628
400,acc,0.5327650506126798
800,acc,0.5332978156632925
1600,acc,0.5370271710175812
3200,acc,0.5226425146510388
6400,acc,0.5844432605221097
12800,acc,0.6334576451784762
20000,acc,0.6323921150772509
40000,acc,0.6659563132658498
60000,acc,0.6707511987213639
80000,acc,0.6957911561001598
100000,acc,0.6984549813532233
120000,acc,0.6963239211507725
140000,acc,0.7107085775173149
160000,acc,0.7149706979222163
180000,acc,0.7117741076185402
200000,acc,0.7107085775173149
220000,acc,0.70378263185935
240000,acc,0.7123068726691529
260000,acc,0.7218966435801811
280000,acc,0.715503462972829
300000,acc,0.7224294086307939
320000,acc,0.717101758124667
340000,acc,0.7224294086307939
360000,acc,0.7187000532765051
380000,acc,0.7266915290356952
400000,acc,0.7213638785295685
420000,acc,0.7234949387320192
440000,acc,0.7218966435801811
460000,acc,0.7298881193393714
480000,acc,0.7266915290356952
500000,acc,0.728822589238146
520000,acc,0.7378795950985615
540000,acc,0.7330847096430474
560000,acc,0.7266915290356952
580000,acc,0.7336174746936601
600000,acc,0.7346830047948855
620000,acc,0.7357485348961108
640000,acc,0.7384123601491742
660000,acc,0.7261587639850826
680000,acc,0.738945125199787
700000,acc,0.7400106553010123
720000,acc,0.738945125199787
740000,acc,0.7346830047948855
760000,acc,0.7384123601491742
780000,acc,0.7357485348961108
800000,acc,0.7426744805540757
820000,acc,0.7336174746936601
840000,acc,0.7384123601491742
860000,acc,0.7352157698454982
880000,acc,0.7373468300479489
900000,acc,0.7384123601491742
920000,acc,0.7362812999467235
940000,acc,0.7336174746936601
960000,acc,0.7373468300479489
980000,acc,0.7352157698454982
1000000,acc,0.7346830047948855
