checkpoint (in update steps),metric_name,metric
0,acc,0.4928076718167288
10,acc,0.4922749067661161
20,acc,0.48907831646244004
40,acc,0.4922749067661161
100,acc,0.4938732019179542
200,acc,0.5253063399041022
400,acc,0.5306339904102291
800,acc,0.5402237613212574
21085,acc,0.6462440063931806
42170,acc,0.6579648375066596
63255,acc,0.6611614278103356
84340,acc,0.6760788492274907
105425,acc,0.678742674480554
126510,acc,0.6893979754928077
147595,acc,0.6803409696323921
168680,acc,0.678742674480554
189765,acc,0.6936600958977092
210850,acc,0.6941928609483218
231935,acc,0.6840703249866809
253020,acc,0.7016515716568993
274105,acc,0.6915290356952584
295190,acc,0.7075119872136388
316275,acc,0.7011188066062867
337360,acc,0.7139051678209909
358445,acc,0.705380927011188
379530,acc,0.7144379328716036
400615,acc,0.7043153969099627
421700,acc,0.7043153969099627
442785,acc,0.7107085775173149
463870,acc,0.7149706979222163
484955,acc,0.7234949387320192
506040,acc,0.7240277037826318
527125,acc,0.7192328183271177
548210,acc,0.7293553542887586
569295,acc,0.717101758124667
590380,acc,0.7197655833777304
611465,acc,0.7298881193393714
632550,acc,0.7176345231752796
653635,acc,0.7165689930740543
674720,acc,0.727224294086308
695805,acc,0.7261587639850826
716890,acc,0.7187000532765051
737975,acc,0.7192328183271177
759060,acc,0.7256259989344699
780145,acc,0.7234949387320192
801230,acc,0.7234949387320192
822315,acc,0.7261587639850826
843400,acc,0.7266915290356952
864485,acc,0.728822589238146
885570,acc,0.7330847096430474
906655,acc,0.727224294086308
927740,acc,0.7266915290356952
948825,acc,0.7325519445924348
969910,acc,0.730420884389984
990995,acc,0.732019179541822
1012080,acc,0.7357485348961108
