checkpoint (in update steps),metric_name,metric
0,acc,0.4853489611081513
10,acc,0.4837506659563133
20,acc,0.4800213106020245
40,acc,0.4880127863612147
100,acc,0.514118273841236
200,acc,0.5146510388918487
400,acc,0.5247735748534896
800,acc,0.5311667554608418
1600,acc,0.5359616409163559
3200,acc,0.5402237613212574
6400,acc,0.5828449653702718
12800,acc,0.6323921150772509
20000,acc,0.6323921150772509
40000,acc,0.6584976025572722
60000,acc,0.6867341502397443
66694,acc,0.6893979754928077
80000,acc,0.6883324453915823
100000,acc,0.6995205114544486
120000,acc,0.6989877464038359
133388,acc,0.7144379328716036
140000,acc,0.7005860415556739
160000,acc,0.6968566862013852
180000,acc,0.6909962706446457
200000,acc,0.7016515716568993
200082,acc,0.6920618007458711
220000,acc,0.7011188066062867
240000,acc,0.7016515716568993
260000,acc,0.6963239211507725
266776,acc,0.7043153969099627
280000,acc,0.6973894512519979
300000,acc,0.6973894512519979
320000,acc,0.6979222163026105
340000,acc,0.7085775173148642
360000,acc,0.7149706979222163
380000,acc,0.7176345231752796
400000,acc,0.70378263185935
420000,acc,0.7149706979222163
440000,acc,0.7202983484283431
460000,acc,0.7234949387320192
480000,acc,0.7187000532765051
500000,acc,0.7181672882258924
520000,acc,0.7192328183271177
540000,acc,0.7213638785295685
560000,acc,0.7368140649973361
580000,acc,0.7277570591369206
600000,acc,0.7192328183271177
620000,acc,0.7266915290356952
640000,acc,0.7261587639850826
660000,acc,0.7314864144912093
680000,acc,0.7277570591369206
700000,acc,0.7234949387320192
720000,acc,0.7277570591369206
740000,acc,0.7384123601491742
760000,acc,0.7293553542887586
780000,acc,0.7224294086307939
800000,acc,0.7266915290356952
820000,acc,0.7330847096430474
840000,acc,0.730420884389984
860000,acc,0.7309536494405967
880000,acc,0.732019179541822
900000,acc,0.7293553542887586
920000,acc,0.7266915290356952
940000,acc,0.7261587639850826
960000,acc,0.732019179541822
980000,acc,0.7314864144912093
1000000,acc,0.727224294086308
