checkpoint (in update steps),metric_name,metric
0,acc,0.33250865907966354
10,acc,0.330529440870856
20,acc,0.33448787728847107
40,acc,0.3176645225136071
100,acc,0.31667491340920334
200,acc,0.3260761999010391
400,acc,0.31172686788718457
800,acc,0.29688273132112813
1600,acc,0.268678871845621
3200,acc,0.268678871845621
6400,acc,0.3023255813953488
12800,acc,0.293419099455715
20000,acc,0.31024245423057895
40000,acc,0.31865413161801087
60000,acc,0.33003463631865415
80000,acc,0.34685799109351806
100000,acc,0.3587333003463632
120000,acc,0.36368134586838197
140000,acc,0.3730826323602177
160000,acc,0.3602177140029688
180000,acc,0.37258782780801586
200000,acc,0.3740722414646215
220000,acc,0.3686293913904008
240000,acc,0.37654626422563087
260000,acc,0.3656605640771895
280000,acc,0.3631865413161801
300000,acc,0.3715982187036121
320000,acc,0.3577436912419594
340000,acc,0.3686293913904008
360000,acc,0.38446313706086094
380000,acc,0.37456704601682334
400000,acc,0.37209302325581395
420000,acc,0.36665017318159326
440000,acc,0.3839683325086591
460000,acc,0.3755566551212271
480000,acc,0.376051459673429
500000,acc,0.37357743691241957
520000,acc,0.36912419594260265
540000,acc,0.37753587333003463
560000,acc,0.37258782780801586
580000,acc,0.3809995051954478
600000,acc,0.380009896091044
620000,acc,0.38050470064324593
640000,acc,0.3859475507174666
660000,acc,0.39040079168728353
680000,acc,0.37951509153884216
700000,acc,0.376051459673429
720000,acc,0.3908955962394854
740000,acc,0.3785254824344384
760000,acc,0.38446313706086094
780000,acc,0.3829787234042553
800000,acc,0.38644235526966847
820000,acc,0.3839683325086591
840000,acc,0.37753587333003463
860000,acc,0.37951509153884216
880000,acc,0.376051459673429
900000,acc,0.3755566551212271
920000,acc,0.38446313706086094
940000,acc,0.37803067788223654
960000,acc,0.38248391885205346
980000,acc,0.3814943097476497
1000000,acc,0.38347352795645717
