checkpoint (in update steps),metric_name,metric
0,acc,0.3280554181098466
10,acc,0.330529440870856
20,acc,0.33151904997525977
40,acc,0.33993072736269175
100,acc,0.32013854527461655
200,acc,0.32459178624443347
400,acc,0.32261256803562594
800,acc,0.29143988124690745
1600,acc,0.2572983671449777
3200,acc,0.25779317169717963
6400,acc,0.2894606630381
12800,acc,0.3023255813953488
20000,acc,0.3033151904997526
40000,acc,0.318159327065809
60000,acc,0.32162295893122217
66694,acc,0.31271647699158833
80000,acc,0.3280554181098466
100000,acc,0.33696190004948046
120000,acc,0.3503216229589312
133388,acc,0.36219693221177635
140000,acc,0.3612073231073726
160000,acc,0.36269173676397826
180000,acc,0.3755566551212271
200000,acc,0.3711034141514102
200082,acc,0.376051459673429
220000,acc,0.3612073231073726
240000,acc,0.3755566551212271
260000,acc,0.38446313706086094
266776,acc,0.38446313706086094
280000,acc,0.3701138050470064
300000,acc,0.36961900049480456
320000,acc,0.3839683325086591
340000,acc,0.38050470064324593
360000,acc,0.3899059871350816
380000,acc,0.38644235526966847
400000,acc,0.3913904007916873
420000,acc,0.38446313706086094
440000,acc,0.39188520534388915
460000,acc,0.3958436417615042
480000,acc,0.39040079168728353
500000,acc,0.3839683325086591
520000,acc,0.38743196437407224
540000,acc,0.3839683325086591
560000,acc,0.3839683325086591
580000,acc,0.38891637803067786
600000,acc,0.3908955962394854
620000,acc,0.38347352795645717
640000,acc,0.3814943097476497
660000,acc,0.39336961900049483
680000,acc,0.40029688273132114
700000,acc,0.3913904007916873
720000,acc,0.3839683325086591
740000,acc,0.39485403265710045
760000,acc,0.39732805541810984
780000,acc,0.37902028698664025
800000,acc,0.3869371598218704
820000,acc,0.380009896091044
840000,acc,0.3899059871350816
860000,acc,0.3983176645225136
880000,acc,0.3958436417615042
900000,acc,0.3928748144482929
920000,acc,0.39336961900049483
940000,acc,0.3899059871350816
960000,acc,0.38891637803067786
980000,acc,0.3913904007916873
1000000,acc,0.38792676892627415
