checkpoint (in update steps),metric_name,metric
0,acc,0.33250865907966354
10,acc,0.32953983176645224
20,acc,0.3290450272142504
40,acc,0.318159327065809
100,acc,0.2993567540821376
200,acc,0.30578921326076197
400,acc,0.2953983176645225
800,acc,0.25630875804057396
23172,acc,0.2800593765462642
46344,acc,0.293419099455715
69516,acc,0.30974764967837703
92688,acc,0.30430479960415635
115860,acc,0.30875804057397327
139032,acc,0.3206333498268184
162204,acc,0.32558139534883723
185376,acc,0.32013854527461655
208548,acc,0.3161801088570015
231720,acc,0.32261256803562594
254892,acc,0.32409698169223156
278064,acc,0.32706580900544285
301236,acc,0.33151904997525977
324408,acc,0.3191489361702128
347580,acc,0.32162295893122217
370752,acc,0.3320138545274616
393924,acc,0.31865413161801087
417096,acc,0.3384463137060861
440268,acc,0.3310242454230579
463440,acc,0.32706580900544285
486612,acc,0.3330034636318654
509784,acc,0.3364670954972786
532956,acc,0.33993072736269175
556128,acc,0.33151904997525977
579300,acc,0.338941118258288
602472,acc,0.3211281543790203
625644,acc,0.338941118258288
648816,acc,0.33399307273626916
671988,acc,0.3349826818406729
695160,acc,0.3349826818406729
718332,acc,0.32657100445324094
741504,acc,0.3310242454230579
764676,acc,0.3290450272142504
787848,acc,0.3334982681840673
811020,acc,0.33448787728847107
834192,acc,0.33696190004948046
857364,acc,0.3359722909450767
880536,acc,0.330529440870856
903708,acc,0.3231073725878278
926880,acc,0.33151904997525977
950052,acc,0.33399307273626916
973224,acc,0.33448787728847107
996396,acc,0.3330034636318654
1019568,acc,0.3334982681840673
