checkpoint (in update steps),metric_name,metric
0,acc,0.33250865907966354
10,acc,0.3320138545274616
20,acc,0.3349826818406729
40,acc,0.3236021771400297
100,acc,0.32459178624443347
200,acc,0.318159327065809
400,acc,0.32013854527461655
800,acc,0.3151904997525977
1000,acc,0.3176645225136071
2000,acc,0.29589312221672437
3000,acc,0.2983671449777338
4000,acc,0.3151904997525977
5000,acc,0.3107372587827808
6000,acc,0.31865413161801087
7000,acc,0.3330034636318654
8000,acc,0.322117763483424
9000,acc,0.30034636318654134
10000,acc,0.3062840178129639
11000,acc,0.30875804057397327
12000,acc,0.322117763483424
13000,acc,0.32657100445324094
14000,acc,0.3285502226620485
15000,acc,0.3374567046016823
16000,acc,0.3364670954972786
17000,acc,0.3384463137060861
18000,acc,0.33696190004948046
19000,acc,0.33448787728847107
20000,acc,0.3310242454230579
21000,acc,0.338941118258288
22000,acc,0.34388916378030676
22437,acc,0.3334982681840673
44874,acc,0.3473527956457199
67311,acc,0.3364670954972786
89748,acc,0.342899554675903
112185,acc,0.3503216229589312
134622,acc,0.34388916378030676
157059,acc,0.3542800593765463
179496,acc,0.34240475012370114
201933,acc,0.34982681840672936
224370,acc,0.34240475012370114
246807,acc,0.3433943592281049
269244,acc,0.3631865413161801
291681,acc,0.3518060366155369
314118,acc,0.37456704601682334
336555,acc,0.3641761504205839
358992,acc,0.3612073231073726
381429,acc,0.3671449777337952
403866,acc,0.3641761504205839
426303,acc,0.36912419594260265
448740,acc,0.36665017318159326
471177,acc,0.3839683325086591
493614,acc,0.36763978228599703
516051,acc,0.36961900049480456
538488,acc,0.37753587333003463
560925,acc,0.3730826323602177
583362,acc,0.35230084116773874
605799,acc,0.37209302325581395
628236,acc,0.3681345868381989
650673,acc,0.36961900049480456
673110,acc,0.37803067788223654
695547,acc,0.37209302325581395
717984,acc,0.3656605640771895
740421,acc,0.38050470064324593
762858,acc,0.37258782780801586
785295,acc,0.37357743691241957
807732,acc,0.37456704601682334
830169,acc,0.3715982187036121
852606,acc,0.37357743691241957
875043,acc,0.3701138050470064
897480,acc,0.37803067788223654
919917,acc,0.3740722414646215
