checkpoint (in update steps),metric_name,metric
0,acc,0.2547452547452547
10,acc,0.2547452547452547
20,acc,0.25874125874125875
40,acc,0.26073926073926074
100,acc,0.25874125874125875
200,acc,0.23576423576423577
400,acc,0.23876123876123875
800,acc,0.23276723276723277
1600,acc,0.24075924075924077
3200,acc,0.24375624375624375
6400,acc,0.2647352647352647
12800,acc,0.3626373626373626
20000,acc,0.41358641358641357
40000,acc,0.47652347652347654
60000,acc,0.5184815184815185
80000,acc,0.5344655344655345
100000,acc,0.5484515484515484
120000,acc,0.5534465534465535
140000,acc,0.5544455544455544
160000,acc,0.5604395604395604
180000,acc,0.5634365634365635
200000,acc,0.5794205794205795
220000,acc,0.5784215784215784
240000,acc,0.5804195804195804
260000,acc,0.5704295704295704
280000,acc,0.5774225774225774
300000,acc,0.6003996003996004
320000,acc,0.5934065934065934
340000,acc,0.5994005994005994
360000,acc,0.5904095904095904
380000,acc,0.6003996003996004
400000,acc,0.6083916083916084
420000,acc,0.6173826173826173
440000,acc,0.6053946053946054
460000,acc,0.6023976023976024
480000,acc,0.6213786213786214
500000,acc,0.6043956043956044
520000,acc,0.6163836163836164
540000,acc,0.6173826173826173
560000,acc,0.6243756243756243
580000,acc,0.6123876123876124
600000,acc,0.6333666333666333
620000,acc,0.6243756243756243
640000,acc,0.6313686313686314
660000,acc,0.6213786213786214
680000,acc,0.6283716283716284
700000,acc,0.6313686313686314
720000,acc,0.6283716283716284
740000,acc,0.6343656343656343
760000,acc,0.6273726273726273
780000,acc,0.6363636363636364
800000,acc,0.6333666333666333
820000,acc,0.6233766233766234
840000,acc,0.6323676323676324
860000,acc,0.6333666333666333
880000,acc,0.6313686313686314
900000,acc,0.6313686313686314
920000,acc,0.6333666333666333
940000,acc,0.6373626373626373
960000,acc,0.6303696303696303
980000,acc,0.6303696303696303
1000000,acc,0.6343656343656343
