checkpoint (in update steps),metric_name,metric
0,acc,0.2547452547452547
10,acc,0.2547452547452547
20,acc,0.26073926073926074
40,acc,0.25774225774225773
100,acc,0.25674325674325676
200,acc,0.24375624375624375
400,acc,0.22977022977022976
800,acc,0.23876123876123875
21085,acc,0.3926073926073926
42170,acc,0.44955044955044954
63255,acc,0.4725274725274725
84340,acc,0.4995004995004995
105425,acc,0.5014985014985015
126510,acc,0.5044955044955045
147595,acc,0.5254745254745254
168680,acc,0.5314685314685315
189765,acc,0.5284715284715285
210850,acc,0.5464535464535465
231935,acc,0.5384615384615384
253020,acc,0.5444555444555444
274105,acc,0.5414585414585414
295190,acc,0.5564435564435565
316275,acc,0.5614385614385614
337360,acc,0.5634365634365635
358445,acc,0.5554445554445554
379530,acc,0.5794205794205795
400615,acc,0.5564435564435565
421700,acc,0.5834165834165834
442785,acc,0.5714285714285714
463870,acc,0.5694305694305695
484955,acc,0.5724275724275725
506040,acc,0.5684315684315684
527125,acc,0.5744255744255744
548210,acc,0.5864135864135864
569295,acc,0.5874125874125874
590380,acc,0.5864135864135864
611465,acc,0.5964035964035964
632550,acc,0.5844155844155844
653635,acc,0.5794205794205795
674720,acc,0.5784215784215784
695805,acc,0.5864135864135864
716890,acc,0.5954045954045954
737975,acc,0.5924075924075924
759060,acc,0.5864135864135864
780145,acc,0.5954045954045954
801230,acc,0.5804195804195804
822315,acc,0.5904095904095904
843400,acc,0.5904095904095904
864485,acc,0.5934065934065934
885570,acc,0.6003996003996004
906655,acc,0.5954045954045954
927740,acc,0.6033966033966034
948825,acc,0.6033966033966034
969910,acc,0.5984015984015985
990995,acc,0.6013986013986014
1012080,acc,0.6013986013986014
