checkpoint (in update steps),metric_name,metric
0,acc,0.24575424575424576
10,acc,0.24475524475524477
20,acc,0.23976023976023977
40,acc,0.2217782217782218
100,acc,0.23876123876123875
200,acc,0.23676323676323677
400,acc,0.24275724275724275
800,acc,0.22477522477522477
1600,acc,0.24175824175824176
3200,acc,0.25874125874125875
6400,acc,0.26873126873126874
12800,acc,0.36863136863136864
20000,acc,0.43656343656343655
40000,acc,0.4745254745254745
60000,acc,0.5234765234765235
66694,acc,0.5354645354645354
80000,acc,0.5264735264735265
100000,acc,0.5474525474525475
120000,acc,0.5604395604395604
133388,acc,0.5674325674325674
140000,acc,0.5684315684315684
160000,acc,0.5774225774225774
180000,acc,0.5824175824175825
200000,acc,0.5864135864135864
200082,acc,0.5804195804195804
220000,acc,0.5854145854145855
240000,acc,0.5894105894105894
260000,acc,0.5874125874125874
266776,acc,0.5934065934065934
280000,acc,0.5864135864135864
300000,acc,0.5984015984015985
320000,acc,0.5974025974025974
340000,acc,0.6123876123876124
360000,acc,0.6073926073926074
380000,acc,0.6163836163836164
400000,acc,0.6153846153846154
420000,acc,0.6143856143856143
440000,acc,0.6133866133866134
460000,acc,0.6173826173826173
480000,acc,0.6303696303696303
500000,acc,0.6243756243756243
520000,acc,0.6343656343656343
540000,acc,0.6283716283716284
560000,acc,0.6273726273726273
580000,acc,0.6243756243756243
600000,acc,0.6243756243756243
620000,acc,0.6323676323676324
640000,acc,0.6233766233766234
660000,acc,0.6253746253746254
680000,acc,0.6353646353646354
700000,acc,0.6313686313686314
720000,acc,0.6343656343656343
740000,acc,0.6313686313686314
760000,acc,0.6323676323676324
780000,acc,0.6283716283716284
800000,acc,0.6293706293706294
820000,acc,0.6353646353646354
840000,acc,0.6403596403596403
860000,acc,0.6443556443556444
880000,acc,0.6403596403596403
900000,acc,0.6383616383616384
920000,acc,0.6443556443556444
940000,acc,0.6333666333666333
960000,acc,0.6453546453546454
980000,acc,0.6363636363636364
1000000,acc,0.6373626373626373
