checkpoint (in update steps),metric_name,metric
0,acc,0.2547452547452547
10,acc,0.25374625374625376
20,acc,0.25674325674325676
40,acc,0.25274725274725274
100,acc,0.24575424575424576
200,acc,0.24775224775224775
400,acc,0.24175824175824176
800,acc,0.23376623376623376
23172,acc,0.4195804195804196
46344,acc,0.46553446553446554
69516,acc,0.46853146853146854
92688,acc,0.5024975024975025
115860,acc,0.5014985014985015
139032,acc,0.5234765234765235
162204,acc,0.5334665334665335
185376,acc,0.5424575424575424
208548,acc,0.5444555444555444
231720,acc,0.5544455544455544
254892,acc,0.5544455544455544
278064,acc,0.5514485514485514
301236,acc,0.5644355644355644
324408,acc,0.5564435564435565
347580,acc,0.5724275724275725
370752,acc,0.5634365634365635
393924,acc,0.5494505494505495
417096,acc,0.5484515484515484
440268,acc,0.5584415584415584
463440,acc,0.5574425574425574
486612,acc,0.5564435564435565
509784,acc,0.5774225774225774
532956,acc,0.5684315684315684
556128,acc,0.5694305694305695
579300,acc,0.5824175824175825
602472,acc,0.5544455544455544
625644,acc,0.5654345654345654
648816,acc,0.5784215784215784
671988,acc,0.5924075924075924
695160,acc,0.5774225774225774
718332,acc,0.5774225774225774
741504,acc,0.5754245754245755
764676,acc,0.5674325674325674
787848,acc,0.5834165834165834
811020,acc,0.5864135864135864
834192,acc,0.5854145854145855
857364,acc,0.5884115884115884
880536,acc,0.5844155844155844
903708,acc,0.5814185814185814
926880,acc,0.5714285714285714
950052,acc,0.5774225774225774
973224,acc,0.5754245754245755
996396,acc,0.5714285714285714
1019568,acc,0.5724275724275725
