checkpoint (in update steps),metric_name,metric
0,acc,0.2547452547452547
10,acc,0.2547452547452547
20,acc,0.2597402597402597
40,acc,0.26173826173826176
100,acc,0.2627372627372627
200,acc,0.2517482517482518
400,acc,0.24175824175824176
800,acc,0.23276723276723277
22746,acc,0.38961038961038963
45492,acc,0.44155844155844154
68238,acc,0.4755244755244755
90984,acc,0.46053946053946054
113730,acc,0.48951048951048953
136476,acc,0.4985014985014985
159222,acc,0.5094905094905094
181968,acc,0.5154845154845155
204714,acc,0.5254745254745254
227460,acc,0.5114885114885115
250206,acc,0.5234765234765235
272952,acc,0.5314685314685315
295698,acc,0.5404595404595405
318444,acc,0.5364635364635365
341190,acc,0.5214785214785215
363936,acc,0.5444555444555444
386682,acc,0.5484515484515484
409428,acc,0.5354645354645354
432174,acc,0.5504495504495505
454920,acc,0.5604395604395604
477666,acc,0.5444555444555444
500412,acc,0.5644355644355644
523158,acc,0.5494505494505495
545904,acc,0.5574425574425574
568650,acc,0.5534465534465535
591396,acc,0.5584415584415584
614142,acc,0.5664335664335665
636888,acc,0.5494505494505495
659634,acc,0.5454545454545454
682380,acc,0.5604395604395604
705126,acc,0.5594405594405595
727872,acc,0.5614385614385614
750618,acc,0.5624375624375625
773364,acc,0.5544455544455544
796110,acc,0.5674325674325674
818856,acc,0.5584415584415584
841602,acc,0.5654345654345654
864348,acc,0.5614385614385614
887094,acc,0.5724275724275725
909840,acc,0.5664335664335665
932586,acc,0.5774225774225774
955332,acc,0.5684315684315684
978078,acc,0.5634365634365635
1000824,acc,0.5614385614385614
