checkpoint (in update steps),metric_name,metric
0,acc,0.2547452547452547
10,acc,0.2547452547452547
20,acc,0.2597402597402597
40,acc,0.26073926073926074
100,acc,0.26173826173826176
200,acc,0.2517482517482518
400,acc,0.24475524475524477
800,acc,0.23876123876123875
1000,acc,0.24875124875124874
2000,acc,0.24375624375624375
3000,acc,0.24775224775224775
4000,acc,0.25574425574425574
5000,acc,0.2757242757242757
6000,acc,0.2787212787212787
7000,acc,0.26673326673326675
8000,acc,0.26173826173826176
9000,acc,0.26073926073926074
10000,acc,0.3046953046953047
11000,acc,0.31868131868131866
12000,acc,0.33666333666333664
13000,acc,0.35564435564435565
14000,acc,0.35264735264735264
15000,acc,0.36563436563436563
16000,acc,0.3706293706293706
17000,acc,0.3706293706293706
18000,acc,0.38161838161838163
19000,acc,0.37462537462537465
20000,acc,0.38961038961038963
21000,acc,0.3886113886113886
22000,acc,0.3916083916083916
22437,acc,0.39760239760239763
44874,acc,0.46253746253746253
67311,acc,0.4725274725274725
89748,acc,0.4825174825174825
112185,acc,0.4865134865134865
134622,acc,0.48951048951048953
157059,acc,0.5024975024975025
179496,acc,0.5114885114885115
201933,acc,0.5114885114885115
224370,acc,0.5154845154845155
246807,acc,0.5204795204795205
269244,acc,0.5414585414585414
291681,acc,0.5324675324675324
314118,acc,0.5314685314685315
336555,acc,0.5414585414585414
358992,acc,0.5374625374625375
381429,acc,0.5404595404595405
403866,acc,0.5444555444555444
426303,acc,0.5314685314685315
448740,acc,0.5534465534465535
471177,acc,0.5334665334665335
493614,acc,0.5224775224775224
516051,acc,0.5494505494505495
538488,acc,0.5514485514485514
560925,acc,0.5414585414585414
583362,acc,0.5574425574425574
605799,acc,0.5474525474525475
628236,acc,0.5624375624375625
650673,acc,0.5534465534465535
673110,acc,0.5644355644355644
695547,acc,0.5574425574425574
717984,acc,0.5684315684315684
740421,acc,0.5614385614385614
762858,acc,0.5574425574425574
785295,acc,0.5594405594405595
807732,acc,0.5654345654345654
830169,acc,0.5714285714285714
852606,acc,0.5694305694305695
875043,acc,0.5714285714285714
897480,acc,0.5684315684315684
919917,acc,0.5734265734265734
