checkpoint (in update steps),metric_name,metric
0,acc,0.48056537102473496
10,acc,0.48056537102473496
20,acc,0.47703180212014135
40,acc,0.48056537102473496
100,acc,0.49469964664310956
200,acc,0.49823321554770317
400,acc,0.49469964664310956
800,acc,0.49823321554770317
21085,acc,0.5123674911660777
42170,acc,0.5335689045936396
63255,acc,0.5265017667844523
84340,acc,0.519434628975265
105425,acc,0.5300353356890459
126510,acc,0.5300353356890459
147595,acc,0.5441696113074205
168680,acc,0.5406360424028268
189765,acc,0.558303886925795
210850,acc,0.558303886925795
231935,acc,0.5477031802120141
253020,acc,0.5512367491166078
274105,acc,0.5477031802120141
295190,acc,0.5371024734982333
316275,acc,0.5512367491166078
337360,acc,0.5441696113074205
358445,acc,0.5653710247349824
379530,acc,0.5441696113074205
400615,acc,0.5653710247349824
421700,acc,0.5441696113074205
442785,acc,0.568904593639576
463870,acc,0.5512367491166078
484955,acc,0.5441696113074205
506040,acc,0.5441696113074205
527125,acc,0.5618374558303887
548210,acc,0.5653710247349824
569295,acc,0.5653710247349824
590380,acc,0.5477031802120141
611465,acc,0.568904593639576
632550,acc,0.5477031802120141
653635,acc,0.5229681978798587
674720,acc,0.5653710247349824
695805,acc,0.5547703180212014
716890,acc,0.5724381625441696
737975,acc,0.558303886925795
759060,acc,0.5653710247349824
780145,acc,0.558303886925795
801230,acc,0.558303886925795
822315,acc,0.568904593639576
843400,acc,0.5653710247349824
864485,acc,0.568904593639576
885570,acc,0.5795053003533569
906655,acc,0.5759717314487632
927740,acc,0.5759717314487632
948825,acc,0.568904593639576
969910,acc,0.5653710247349824
990995,acc,0.5724381625441696
1012080,acc,0.568904593639576
