checkpoint (in update steps),metric_name,metric
0,acc,0.48056537102473496
10,acc,0.48056537102473496
20,acc,0.4840989399293286
40,acc,0.48056537102473496
100,acc,0.4911660777385159
200,acc,0.5053003533568905
400,acc,0.49823321554770317
800,acc,0.5053003533568905
22746,acc,0.5159010600706714
45492,acc,0.519434628975265
68238,acc,0.5053003533568905
90984,acc,0.5229681978798587
113730,acc,0.5335689045936396
136476,acc,0.5441696113074205
159222,acc,0.5300353356890459
181968,acc,0.5441696113074205
204714,acc,0.5335689045936396
227460,acc,0.5123674911660777
250206,acc,0.5265017667844523
272952,acc,0.5265017667844523
295698,acc,0.5265017667844523
318444,acc,0.5441696113074205
341190,acc,0.5123674911660777
363936,acc,0.508833922261484
386682,acc,0.5159010600706714
409428,acc,0.5265017667844523
432174,acc,0.5229681978798587
454920,acc,0.5406360424028268
477666,acc,0.5406360424028268
500412,acc,0.5371024734982333
523158,acc,0.5441696113074205
545904,acc,0.519434628975265
568650,acc,0.558303886925795
591396,acc,0.5300353356890459
614142,acc,0.5265017667844523
636888,acc,0.5512367491166078
659634,acc,0.5300353356890459
682380,acc,0.5300353356890459
705126,acc,0.5265017667844523
727872,acc,0.5300353356890459
750618,acc,0.5477031802120141
773364,acc,0.5159010600706714
796110,acc,0.5017667844522968
818856,acc,0.5441696113074205
841602,acc,0.5335689045936396
864348,acc,0.5371024734982333
887094,acc,0.5371024734982333
909840,acc,0.5371024734982333
932586,acc,0.5371024734982333
955332,acc,0.5335689045936396
978078,acc,0.5406360424028268
1000824,acc,0.5441696113074205
