checkpoint (in update steps),metric_name,metric
0,acc,0.48056537102473496
10,acc,0.48056537102473496
20,acc,0.4840989399293286
40,acc,0.47703180212014135
100,acc,0.49823321554770317
200,acc,0.5123674911660777
400,acc,0.5017667844522968
800,acc,0.5017667844522968
1000,acc,0.5017667844522968
2000,acc,0.5017667844522968
3000,acc,0.5017667844522968
4000,acc,0.5053003533568905
5000,acc,0.4911660777385159
6000,acc,0.4840989399293286
7000,acc,0.47703180212014135
8000,acc,0.4911660777385159
9000,acc,0.49823321554770317
10000,acc,0.4911660777385159
11000,acc,0.519434628975265
12000,acc,0.5053003533568905
13000,acc,0.508833922261484
14000,acc,0.5159010600706714
15000,acc,0.49823321554770317
16000,acc,0.508833922261484
17000,acc,0.5053003533568905
18000,acc,0.508833922261484
19000,acc,0.5123674911660777
20000,acc,0.519434628975265
21000,acc,0.5159010600706714
22000,acc,0.5229681978798587
22437,acc,0.5159010600706714
44874,acc,0.5265017667844523
67311,acc,0.5053003533568905
89748,acc,0.508833922261484
112185,acc,0.5159010600706714
134622,acc,0.5017667844522968
157059,acc,0.5477031802120141
179496,acc,0.5335689045936396
201933,acc,0.5371024734982333
224370,acc,0.5265017667844523
246807,acc,0.5229681978798587
269244,acc,0.5477031802120141
291681,acc,0.558303886925795
314118,acc,0.5371024734982333
336555,acc,0.5406360424028268
358992,acc,0.558303886925795
381429,acc,0.5512367491166078
403866,acc,0.5300353356890459
426303,acc,0.5406360424028268
448740,acc,0.508833922261484
471177,acc,0.5335689045936396
493614,acc,0.5441696113074205
516051,acc,0.5441696113074205
538488,acc,0.5335689045936396
560925,acc,0.5477031802120141
583362,acc,0.5441696113074205
605799,acc,0.5406360424028268
628236,acc,0.5618374558303887
650673,acc,0.5547703180212014
673110,acc,0.5547703180212014
695547,acc,0.5653710247349824
717984,acc,0.558303886925795
740421,acc,0.5547703180212014
762858,acc,0.5406360424028268
785295,acc,0.5512367491166078
807732,acc,0.558303886925795
830169,acc,0.5618374558303887
852606,acc,0.5406360424028268
875043,acc,0.5618374558303887
897480,acc,0.5724381625441696
919917,acc,0.5759717314487632
