scenario,chkpt (in update steps),task,test_dataset,metric_name,metric
ALL (161GB),0,CoLA,cola,mcc,0.07615115882211905
ALL (161GB),3200,CoLA,cola,mcc,0.10602775846223043
ALL (161GB),6400,CoLA,cola,mcc,0.08204126978749968
ALL (161GB),20000,CoLA,cola,mcc,0.28536887063315836
ALL (161GB),40000,CoLA,cola,mcc,0.4116764797450708
ALL (161GB),80000,CoLA,cola,mcc,0.49127930626038135
ALL (161GB),160000,CoLA,cola,mcc,0.5598962230809679
ALL (161GB),320000,CoLA,cola,mcc,0.562537539158554
ALL (161GB),420000,CoLA,cola,mcc,0.5312491014766616
ALL (161GB),520000,CoLA,cola,mcc,0.5546523376035263
ALL (161GB),640000,CoLA,cola,mcc,0.5472187281316763
ALL (161GB),760000,CoLA,cola,mcc,0.5685115636716958
ALL (161GB),880000,CoLA,cola,mcc,0.5524078413415989
ALL (161GB),1000000,CoLA,cola,mcc,0.5577102164211517
