checkpoint (in update steps),test_dataset,metric_name,metric
0,mnli,acc,0.6137544574630668
0,mnli-mm,acc,0.6200162733930025
3200,mnli,acc,0.6319918492103923
3200,mnli-mm,acc,0.6402563059397884
6400,mnli,acc,0.6335201222618441
6400,mnli-mm,acc,0.6425956061838893
20000,mnli,acc,0.7587366276107997
20000,mnli-mm,acc,0.7639340927583401
40000,mnli,acc,0.778604177279674
40000,mnli-mm,acc,0.7886493083807974
80000,mnli,acc,0.7984717269485482
80000,mnli-mm,acc,0.810313262815297
160000,mnli,acc,0.8185430463576159
160000,mnli-mm,acc,0.8220097640358015
320000,mnli,acc,0.8365766683647479
320000,mnli-mm,acc,0.8423515052888527
420000,mnli,acc,0.8471726948548141
420000,mnli-mm,acc,0.8470301057770545
520000,mnli,acc,0.8499235863474274
520000,mnli-mm,acc,0.8509967453213995
640000,mnli,acc,0.8480896586856852
640000,mnli-mm,acc,0.847233523189585
760000,mnli,acc,0.8494141619969434
760000,mnli-mm,acc,0.8560821806346623
880000,mnli,acc,0.8392256749872644
880000,mnli-mm,acc,0.8453010577705452
1000000,mnli,acc,0.8364747834946511
1000000,mnli-mm,acc,0.8443856794141579
