scenario,chkpt (in update steps),task,test_dataset,metric_name,metric
ALL (161GB),0,MNLI,mnli,acc,0.6137544574630668
ALL (161GB),0,MNLI,mnli-mm,acc,0.6200162733930025
ALL (161GB),3200,MNLI,mnli,acc,0.6319918492103923
ALL (161GB),3200,MNLI,mnli-mm,acc,0.6402563059397884
ALL (161GB),6400,MNLI,mnli,acc,0.6335201222618441
ALL (161GB),6400,MNLI,mnli-mm,acc,0.6425956061838893
ALL (161GB),20000,MNLI,mnli,acc,0.7587366276107997
ALL (161GB),20000,MNLI,mnli-mm,acc,0.7639340927583401
ALL (161GB),40000,MNLI,mnli,acc,0.778604177279674
ALL (161GB),40000,MNLI,mnli-mm,acc,0.7886493083807974
ALL (161GB),80000,MNLI,mnli,acc,0.7984717269485482
ALL (161GB),80000,MNLI,mnli-mm,acc,0.810313262815297
ALL (161GB),160000,MNLI,mnli,acc,0.8185430463576159
ALL (161GB),160000,MNLI,mnli-mm,acc,0.8220097640358015
ALL (161GB),320000,MNLI,mnli,acc,0.8365766683647479
ALL (161GB),320000,MNLI,mnli-mm,acc,0.8423515052888527
ALL (161GB),420000,MNLI,mnli,acc,0.8471726948548141
ALL (161GB),420000,MNLI,mnli-mm,acc,0.8470301057770545
ALL (161GB),520000,MNLI,mnli,acc,0.8499235863474274
ALL (161GB),520000,MNLI,mnli-mm,acc,0.8509967453213995
ALL (161GB),640000,MNLI,mnli,acc,0.8480896586856852
ALL (161GB),640000,MNLI,mnli-mm,acc,0.847233523189585
ALL (161GB),760000,MNLI,mnli,acc,0.8494141619969434
ALL (161GB),760000,MNLI,mnli-mm,acc,0.8560821806346623
ALL (161GB),880000,MNLI,mnli,acc,0.8392256749872644
ALL (161GB),880000,MNLI,mnli-mm,acc,0.8453010577705452
ALL (161GB),1000000,MNLI,mnli,acc,0.8364747834946511
ALL (161GB),1000000,MNLI,mnli-mm,acc,0.8443856794141579
