checkpoint (in update steps),test_dataset,metric_name,metric
0,mrpc,acc,0.7058823529411765
0,mrpc,f1,0.8089171974522292
3200,mrpc,acc,0.7181372549019608
3200,mrpc,f1,0.8142164781906299
6400,mrpc,acc,0.7009803921568627
6400,mrpc,f1,0.7966666666666666
20000,mrpc,acc,0.7892156862745098
20000,mrpc,f1,0.8532423208191127
40000,mrpc,acc,0.8235294117647058
40000,mrpc,f1,0.8762886597938144
80000,mrpc,acc,0.8308823529411765
80000,mrpc,f1,0.880415944540728
160000,mrpc,acc,0.8455882352941176
160000,mrpc,f1,0.8880994671403197
320000,mrpc,acc,0.8553921568627451
320000,mrpc,f1,0.8963093145869947
420000,mrpc,acc,0.8480392156862745
420000,mrpc,f1,0.8916083916083916
520000,mrpc,acc,0.875
520000,mrpc,f1,0.9106830122591945
640000,mrpc,acc,0.8676470588235294
640000,mrpc,f1,0.9055944055944055
760000,mrpc,acc,0.8627450980392157
760000,mrpc,f1,0.904109589041096
880000,mrpc,acc,0.8676470588235294
880000,mrpc,f1,0.9055944055944055
1000000,mrpc,acc,0.875
1000000,mrpc,f1,0.9106830122591945
