scenario,chkpt (in update steps),task,test_dataset,metric_name,metric
ALL (161GB),0,MRPC,mrpc,acc,0.7058823529411765
ALL (161GB),0,MRPC,mrpc,f1,0.8089171974522292
ALL (161GB),3200,MRPC,mrpc,acc,0.7181372549019608
ALL (161GB),3200,MRPC,mrpc,f1,0.8142164781906299
ALL (161GB),6400,MRPC,mrpc,acc,0.7009803921568627
ALL (161GB),6400,MRPC,mrpc,f1,0.7966666666666666
ALL (161GB),20000,MRPC,mrpc,acc,0.7892156862745098
ALL (161GB),20000,MRPC,mrpc,f1,0.8532423208191127
ALL (161GB),40000,MRPC,mrpc,acc,0.8235294117647058
ALL (161GB),40000,MRPC,mrpc,f1,0.8762886597938144
ALL (161GB),80000,MRPC,mrpc,acc,0.8308823529411765
ALL (161GB),80000,MRPC,mrpc,f1,0.880415944540728
ALL (161GB),160000,MRPC,mrpc,acc,0.8455882352941176
ALL (161GB),160000,MRPC,mrpc,f1,0.8880994671403197
ALL (161GB),320000,MRPC,mrpc,acc,0.8553921568627451
ALL (161GB),320000,MRPC,mrpc,f1,0.8963093145869947
ALL (161GB),420000,MRPC,mrpc,acc,0.8480392156862745
ALL (161GB),420000,MRPC,mrpc,f1,0.8916083916083916
ALL (161GB),520000,MRPC,mrpc,acc,0.875
ALL (161GB),520000,MRPC,mrpc,f1,0.9106830122591945
ALL (161GB),640000,MRPC,mrpc,acc,0.8676470588235294
ALL (161GB),640000,MRPC,mrpc,f1,0.9055944055944055
ALL (161GB),760000,MRPC,mrpc,acc,0.8627450980392157
ALL (161GB),760000,MRPC,mrpc,f1,0.904109589041096
ALL (161GB),880000,MRPC,mrpc,acc,0.8676470588235294
ALL (161GB),880000,MRPC,mrpc,f1,0.9055944055944055
ALL (161GB),1000000,MRPC,mrpc,acc,0.875
ALL (161GB),1000000,MRPC,mrpc,f1,0.9106830122591945
