checkpoint (in update steps),test_dataset,metric_name,metric
0,record,em,0.2067
0,record,f1,0.21187428571428585
3200,record,em,0.1942
3200,record,f1,0.19944714285714296
6400,record,em,0.1916
6400,record,f1,0.19772857142857167
20000,record,em,0.3681
20000,record,f1,0.3756971428571425
40000,record,em,0.4504
40000,record,f1,0.4576502380952381
80000,record,em,0.5231
80000,record,f1,0.5301680952380954
160000,record,em,0.5889
160000,record,f1,0.5956230952380954
320000,record,em,0.6426
320000,record,f1,0.6507642857142861
420000,record,em,0.6544
420000,record,f1,0.6612838095238099
520000,record,em,0.6686
520000,record,f1,0.6761069047619052
640000,record,em,0.6736
640000,record,f1,0.6805400000000006
760000,record,em,0.6826
760000,record,f1,0.689718571428572
880000,record,em,0.685
880000,record,f1,0.6917766666666672
1000000,record,em,0.6859
1000000,record,f1,0.6936609523809529
