checkpoint (in update steps),test_dataset,metric_name,metric
0,squad,exact,0.08249763481551561
0,squad,f1,0.17279359211516251
3200,squad,exact,0.08457899716177861
3200,squad,f1,0.17345470404141122
6400,squad,exact,0.09385052034058657
6400,squad,f1,0.1888520177866018
20000,squad,exact,0.568495742667928
20000,squad,f1,0.6820233118630428
40000,squad,exact,0.6290444654683065
40000,squad,f1,0.7368492334428638
80000,squad,exact,0.6912015137180699
80000,squad,f1,0.7873207921396088
160000,squad,exact,0.7298959318826869
160000,squad,f1,0.8193249106581884
320000,squad,exact,0.759035004730369
320000,squad,f1,0.8432630032636453
420000,squad,exact,0.7674550614947965
420000,squad,f1,0.8510338576179628
520000,squad,exact,0.7701040681173131
520000,squad,f1,0.8520833515746891
640000,squad,exact,0.7767265846736044
640000,squad,f1,0.859195351001124
760000,squad,exact,0.7754020813623462
760000,squad,f1,0.8593253641532241
880000,squad,exact,0.7728476821192054
880000,squad,f1,0.8595556334279338
1000000,squad,exact,0.7808893093661305
1000000,squad,f1,0.8640863571926833
