scenario,chkpt (in update steps),task,test_dataset,metric_name,metric
ALL (161GB),0,squad,squad,exact,0.08249763481551561
ALL (161GB),0,squad,squad,f1,0.17279359211516251
ALL (161GB),3200,squad,squad,exact,0.08457899716177861
ALL (161GB),3200,squad,squad,f1,0.17345470404141122
ALL (161GB),6400,squad,squad,exact,0.09385052034058657
ALL (161GB),6400,squad,squad,f1,0.1888520177866018
ALL (161GB),20000,squad,squad,exact,0.568495742667928
ALL (161GB),20000,squad,squad,f1,0.6820233118630428
ALL (161GB),40000,squad,squad,exact,0.6290444654683065
ALL (161GB),40000,squad,squad,f1,0.7368492334428638
ALL (161GB),80000,squad,squad,exact,0.6912015137180699
ALL (161GB),80000,squad,squad,f1,0.7873207921396088
ALL (161GB),160000,squad,squad,exact,0.7298959318826869
ALL (161GB),160000,squad,squad,f1,0.8193249106581884
ALL (161GB),320000,squad,squad,exact,0.759035004730369
ALL (161GB),320000,squad,squad,f1,0.8432630032636453
ALL (161GB),420000,squad,squad,exact,0.7674550614947965
ALL (161GB),420000,squad,squad,f1,0.8510338576179628
ALL (161GB),520000,squad,squad,exact,0.7701040681173131
ALL (161GB),520000,squad,squad,f1,0.8520833515746891
ALL (161GB),640000,squad,squad,exact,0.7767265846736044
ALL (161GB),640000,squad,squad,f1,0.859195351001124
ALL (161GB),760000,squad,squad,exact,0.7754020813623462
ALL (161GB),760000,squad,squad,f1,0.8593253641532241
ALL (161GB),880000,squad,squad,exact,0.7728476821192054
ALL (161GB),880000,squad,squad,f1,0.8595556334279338
ALL (161GB),1000000,squad,squad,exact,0.7808893093661305
ALL (161GB),1000000,squad,squad,f1,0.8640863571926833
