checkpoint (in update steps),test_dataset,metric_name,metric
0,sst-2,acc,0.8073394495412844
3200,sst-2,acc,0.8119266055045872
6400,sst-2,acc,0.8256880733944955
20000,sst-2,acc,0.8772935779816514
40000,sst-2,acc,0.9105504587155964
80000,sst-2,acc,0.908256880733945
160000,sst-2,acc,0.9162844036697247
320000,sst-2,acc,0.9288990825688074
420000,sst-2,acc,0.9311926605504587
520000,sst-2,acc,0.9254587155963303
640000,sst-2,acc,0.9277522935779816
760000,sst-2,acc,0.9277522935779816
880000,sst-2,acc,0.9254587155963303
1000000,sst-2,acc,0.9277522935779816
0,sst-2,acc,0.8073394495412844
3200,sst-2,acc,0.8119266055045872
6400,sst-2,acc,0.8256880733944955
20000,sst-2,acc,0.8772935779816514
40000,sst-2,acc,0.9105504587155964
80000,sst-2,acc,0.908256880733945
160000,sst-2,acc,0.9162844036697247
320000,sst-2,acc,0.9288990825688074
420000,sst-2,acc,0.9311926605504587
520000,sst-2,acc,0.9254587155963303
640000,sst-2,acc,0.9277522935779816
760000,sst-2,acc,0.9277522935779816
880000,sst-2,acc,0.9254587155963303
1000000,sst-2,acc,0.9277522935779816
