scenario,chkpt (in update steps),task,test_dataset,metric_name,metric
ALL (161GB),0,SST-2,sst-2,acc,0.8073394495412844
ALL (161GB),3200,SST-2,sst-2,acc,0.8119266055045872
ALL (161GB),6400,SST-2,sst-2,acc,0.8256880733944955
ALL (161GB),20000,SST-2,sst-2,acc,0.8772935779816514
ALL (161GB),40000,SST-2,sst-2,acc,0.9105504587155964
ALL (161GB),80000,SST-2,sst-2,acc,0.908256880733945
ALL (161GB),160000,SST-2,sst-2,acc,0.9162844036697247
ALL (161GB),320000,SST-2,sst-2,acc,0.9288990825688074
ALL (161GB),420000,SST-2,sst-2,acc,0.9311926605504587
ALL (161GB),520000,SST-2,sst-2,acc,0.9254587155963303
ALL (161GB),640000,SST-2,sst-2,acc,0.9277522935779816
ALL (161GB),760000,SST-2,sst-2,acc,0.9277522935779816
ALL (161GB),880000,SST-2,sst-2,acc,0.9254587155963303
ALL (161GB),1000000,SST-2,sst-2,acc,0.9277522935779816
ALL (161GB),0,SST-2,sst-2,acc,0.8073394495412844
ALL (161GB),3200,SST-2,sst-2,acc,0.8119266055045872
ALL (161GB),6400,SST-2,sst-2,acc,0.8256880733944955
ALL (161GB),20000,SST-2,sst-2,acc,0.8772935779816514
ALL (161GB),40000,SST-2,sst-2,acc,0.9105504587155964
ALL (161GB),80000,SST-2,sst-2,acc,0.908256880733945
ALL (161GB),160000,SST-2,sst-2,acc,0.9162844036697247
ALL (161GB),320000,SST-2,sst-2,acc,0.9288990825688074
ALL (161GB),420000,SST-2,sst-2,acc,0.9311926605504587
ALL (161GB),520000,SST-2,sst-2,acc,0.9254587155963303
ALL (161GB),640000,SST-2,sst-2,acc,0.9277522935779816
ALL (161GB),760000,SST-2,sst-2,acc,0.9277522935779816
ALL (161GB),880000,SST-2,sst-2,acc,0.9254587155963303
ALL (161GB),1000000,SST-2,sst-2,acc,0.9277522935779816
