checkpoint (in update steps),test_dataset,metric_name,metric
0,wnli,acc,0.4225352112676056
3200,wnli,acc,0.30985915492957744
6400,wnli,acc,0.2535211267605634
20000,wnli,acc,0.39436619718309857
40000,wnli,acc,0.43661971830985913
80000,wnli,acc,0.28169014084507044
160000,wnli,acc,0.39436619718309857
320000,wnli,acc,0.4647887323943662
420000,wnli,acc,0.4507042253521127
520000,wnli,acc,0.5633802816901409
640000,wnli,acc,0.5633802816901409
760000,wnli,acc,0.5633802816901409
880000,wnli,acc,0.5633802816901409
1000000,wnli,acc,0.5633802816901409
