scenario,chkpt (in update steps),task,test_dataset,metric_name,metric
ALL (161GB),0,WNLI,wnli,acc,0.4225352112676056
ALL (161GB),3200,WNLI,wnli,acc,0.30985915492957744
ALL (161GB),6400,WNLI,wnli,acc,0.2535211267605634
ALL (161GB),20000,WNLI,wnli,acc,0.39436619718309857
ALL (161GB),40000,WNLI,wnli,acc,0.43661971830985913
ALL (161GB),80000,WNLI,wnli,acc,0.28169014084507044
ALL (161GB),160000,WNLI,wnli,acc,0.39436619718309857
ALL (161GB),320000,WNLI,wnli,acc,0.4647887323943662
ALL (161GB),420000,WNLI,wnli,acc,0.4507042253521127
ALL (161GB),520000,WNLI,wnli,acc,0.5633802816901409
ALL (161GB),640000,WNLI,wnli,acc,0.5633802816901409
ALL (161GB),760000,WNLI,wnli,acc,0.5633802816901409
ALL (161GB),880000,WNLI,wnli,acc,0.5633802816901409
ALL (161GB),1000000,WNLI,wnli,acc,0.5633802816901409
