checkpoint (in update steps),relation_type,metric_name,metric
12800,test,P@ks_str,"{1: 0.0242, 5: 0.08689999999999999, 10: 0.1276}"
10,test,P@ks_str,"{1: 0.0, 5: 0.0006, 10: 0.0007000000000000001}"
100000,test,P@ks_str,"{1: 0.1051, 5: 0.2354, 10: 0.2989}"
380000,test,P@ks_str,"{1: 0.1363, 5: 0.2784, 10: 0.34490000000000004}"
120000,test,P@ks_str,"{1: 0.11019999999999999, 5: 0.24100000000000002, 10: 0.308}"
20,test,P@ks_str,"{1: 0.0, 5: 0.0006, 10: 0.0007000000000000001}"
0,test,P@ks_str,"{1: 0.0, 5: 0.0006, 10: 0.0007000000000000001}"
160000,test,P@ks_str,"{1: 0.1183, 5: 0.2589, 10: 0.3289}"
100,test,P@ks_str,"{1: 0.0, 5: 0.0001, 10: 0.0001}"
140000,test,P@ks_str,"{1: 0.11220000000000001, 5: 0.2501, 10: 0.3181}"
280000,test,P@ks_str,"{1: 0.1303, 5: 0.2697, 10: 0.3357}"
660000,test,P@ks_str,"{1: 0.1448, 5: 0.2861, 10: 0.3555}"
720000,test,P@ks_str,"{1: 0.1469, 5: 0.2908, 10: 0.3615}"
20000,test,P@ks_str,"{1: 0.0453, 5: 0.1276, 10: 0.1759}"
980000,test,P@ks_str,"{1: 0.15560000000000002, 5: 0.30579999999999996, 10: 0.37420000000000003}"
640000,test,P@ks_str,"{1: 0.1476, 5: 0.2882, 10: 0.3583}"
700000,test,P@ks_str,"{1: 0.1495, 5: 0.2948, 10: 0.36369999999999997}"
580000,test,P@ks_str,"{1: 0.1467, 5: 0.294, 10: 0.3627}"
3200,test,P@ks_str,"{1: 0.0005, 5: 0.0029, 10: 0.0078000000000000005}"
740000,test,P@ks_str,"{1: 0.1514, 5: 0.29350000000000004, 10: 0.3626}"
600000,test,P@ks_str,"{1: 0.14400000000000002, 5: 0.2895, 10: 0.3579}"
480000,test,P@ks_str,"{1: 0.1389, 5: 0.28059999999999996, 10: 0.3486}"
40000,test,P@ks_str,"{1: 0.0695, 5: 0.17620000000000002, 10: 0.2347}"
880000,test,P@ks_str,"{1: 0.1509, 5: 0.2999, 10: 0.36700000000000005}"
60000,test,P@ks_str,"{1: 0.0863, 5: 0.2048, 10: 0.2631}"
800,test,P@ks_str,"{1: 0.0, 5: 0.0064, 10: 0.009000000000000001}"
760000,test,P@ks_str,"{1: 0.1491, 5: 0.2989, 10: 0.36619999999999997}"
620000,test,P@ks_str,"{1: 0.1493, 5: 0.2912, 10: 0.3593}"
200,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0001}"
840000,test,P@ks_str,"{1: 0.15439999999999998, 5: 0.2983, 10: 0.3675}"
900000,test,P@ks_str,"{1: 0.1547, 5: 0.301, 10: 0.3734}"
520000,test,P@ks_str,"{1: 0.1412, 5: 0.28850000000000003, 10: 0.3586}"
460000,test,P@ks_str,"{1: 0.1427, 5: 0.2838, 10: 0.3483}"
40,test,P@ks_str,"{1: 0.0, 5: 0.0007000000000000001, 10: 0.0007000000000000001}"
780000,test,P@ks_str,"{1: 0.1494, 5: 0.2948, 10: 0.3626}"
500000,test,P@ks_str,"{1: 0.1469, 5: 0.2905, 10: 0.3578}"
440000,test,P@ks_str,"{1: 0.1433, 5: 0.2858, 10: 0.3553}"
80000,test,P@ks_str,"{1: 0.0949, 5: 0.21600000000000003, 10: 0.2757}"
860000,test,P@ks_str,"{1: 0.15460000000000002, 5: 0.3016, 10: 0.3711}"
920000,test,P@ks_str,"{1: 0.1568, 5: 0.3044, 10: 0.3736}"
960000,test,P@ks_str,"{1: 0.1551, 5: 0.3054, 10: 0.3747}"
820000,test,P@ks_str,"{1: 0.15259999999999999, 5: 0.30079999999999996, 10: 0.37060000000000004}"
680000,test,P@ks_str,"{1: 0.147, 5: 0.2928, 10: 0.3601}"
400000,test,P@ks_str,"{1: 0.1387, 5: 0.2785, 10: 0.3481}"
540000,test,P@ks_str,"{1: 0.14150000000000001, 5: 0.28350000000000003, 10: 0.3525}"
1600,test,P@ks_str,"{1: 0.0, 5: 0.003, 10: 0.0054}"
420000,test,P@ks_str,"{1: 0.1351, 5: 0.2782, 10: 0.3453}"
560000,test,P@ks_str,"{1: 0.14429999999999998, 5: 0.2912, 10: 0.36119999999999997}"
940000,test,P@ks_str,"{1: 0.1568, 5: 0.302, 10: 0.3726}"
800000,test,P@ks_str,"{1: 0.1525, 5: 0.299, 10: 0.3665}"
180000,test,P@ks_str,"{1: 0.1189, 5: 0.2561, 10: 0.322}"
240000,test,P@ks_str,"{1: 0.1283, 5: 0.2672, 10: 0.3331}"
300000,test,P@ks_str,"{1: 0.1316, 5: 0.2811, 10: 0.3469}"
6400,test,P@ks_str,"{1: 0.002, 5: 0.0095, 10: 0.0178}"
1000000,test,P@ks_str,"{1: 0.15539999999999998, 5: 0.3073, 10: 0.3747}"
260000,test,P@ks_str,"{1: 0.12619999999999998, 5: 0.2622, 10: 0.3267}"
320000,test,P@ks_str,"{1: 0.1329, 5: 0.27940000000000004, 10: 0.34659999999999996}"
360000,test,P@ks_str,"{1: 0.1378, 5: 0.2816, 10: 0.3531}"
220000,test,P@ks_str,"{1: 0.1285, 5: 0.2658, 10: 0.3331}"
400,test,P@ks_str,"{1: 0.0002, 5: 0.002, 10: 0.0028000000000000004}"
340000,test,P@ks_str,"{1: 0.1297, 5: 0.2722, 10: 0.3393}"
200000,test,P@ks_str,"{1: 0.1232, 5: 0.2593, 10: 0.3248}"
