checkpoint (in update steps),relation_type,metric_name,metric
906655,test,P@ks_str,"{1: 0.136, 5: 0.27149999999999996, 10: 0.33399999999999996}"
927740,test,P@ks_str,"{1: 0.13699999999999998, 5: 0.2742, 10: 0.33659999999999995}"
210850,test,P@ks_str,"{1: 0.1052, 5: 0.23, 10: 0.2918}"
358445,test,P@ks_str,"{1: 0.1182, 5: 0.2439, 10: 0.30210000000000004}"
168680,test,P@ks_str,"{1: 0.1, 5: 0.21559999999999999, 10: 0.2749}"
590380,test,P@ks_str,"{1: 0.1315, 5: 0.2622, 10: 0.3267}"
442785,test,P@ks_str,"{1: 0.12, 5: 0.2486, 10: 0.3118}"
21085,test,P@ks_str,"{1: 0.0375, 5: 0.1134, 10: 0.1559}"
548210,test,P@ks_str,"{1: 0.1263, 5: 0.26, 10: 0.32380000000000003}"
126510,test,P@ks_str,"{1: 0.0934, 5: 0.21230000000000002, 10: 0.2698}"
400615,test,P@ks_str,"{1: 0.1157, 5: 0.2425, 10: 0.3037}"
948825,test,P@ks_str,"{1: 0.1391, 5: 0.2752, 10: 0.33509999999999995}"
885570,test,P@ks_str,"{1: 0.13570000000000002, 5: 0.273, 10: 0.3345}"
569295,test,P@ks_str,"{1: 0.1235, 5: 0.2593, 10: 0.3214}"
379530,test,P@ks_str,"{1: 0.1191, 5: 0.2469, 10: 0.30760000000000004}"
147595,test,P@ks_str,"{1: 0.10300000000000001, 5: 0.2235, 10: 0.284}"
421700,test,P@ks_str,"{1: 0.12179999999999999, 5: 0.2465, 10: 0.3095}"
189765,test,P@ks_str,"{1: 0.1091, 5: 0.231, 10: 0.29359999999999997}"
337360,test,P@ks_str,"{1: 0.1166, 5: 0.2488, 10: 0.312}"
611465,test,P@ks_str,"{1: 0.1284, 5: 0.2625, 10: 0.3261}"
231935,test,P@ks_str,"{1: 0.1091, 5: 0.228, 10: 0.2882}"
695805,test,P@ks_str,"{1: 0.1326, 5: 0.2664, 10: 0.32689999999999997}"
716890,test,P@ks_str,"{1: 0.1319, 5: 0.2622, 10: 0.3248}"
737975,test,P@ks_str,"{1: 0.1298, 5: 0.2634, 10: 0.32380000000000003}"
674720,test,P@ks_str,"{1: 0.128, 5: 0.26489999999999997, 10: 0.3247}"
295190,test,P@ks_str,"{1: 0.1153, 5: 0.24359999999999998, 10: 0.303}"
274105,test,P@ks_str,"{1: 0.1137, 5: 0.2328, 10: 0.2944}"
527125,test,P@ks_str,"{1: 0.12369999999999999, 5: 0.2602, 10: 0.32030000000000003}"
105425,test,P@ks_str,"{1: 0.0909, 5: 0.20879999999999999, 10: 0.2686}"
463870,test,P@ks_str,"{1: 0.12140000000000001, 5: 0.2536, 10: 0.3178}"
42170,test,P@ks_str,"{1: 0.061, 5: 0.1537, 10: 0.2029}"
990995,test,P@ks_str,"{1: 0.1374, 5: 0.2756, 10: 0.3362}"
843400,test,P@ks_str,"{1: 0.1343, 5: 0.2696, 10: 0.33399999999999996}"
484955,test,P@ks_str,"{1: 0.1213, 5: 0.2519, 10: 0.3118}"
63255,test,P@ks_str,"{1: 0.075, 5: 0.17920000000000003, 10: 0.235}"
506040,test,P@ks_str,"{1: 0.1225, 5: 0.2577, 10: 0.3201}"
84340,test,P@ks_str,"{1: 0.0816, 5: 0.1898, 10: 0.2457}"
253020,test,P@ks_str,"{1: 0.1105, 5: 0.2359, 10: 0.29710000000000003}"
316275,test,P@ks_str,"{1: 0.1161, 5: 0.24530000000000002, 10: 0.3098}"
864485,test,P@ks_str,"{1: 0.13570000000000002, 5: 0.2741, 10: 0.337}"
969910,test,P@ks_str,"{1: 0.1379, 5: 0.2741, 10: 0.337}"
1012080,test,P@ks_str,"{1: 0.1378, 5: 0.2754, 10: 0.336}"
780145,test,P@ks_str,"{1: 0.1325, 5: 0.26839999999999997, 10: 0.3289}"
632550,test,P@ks_str,"{1: 0.12539999999999998, 5: 0.2626, 10: 0.3231}"
822315,test,P@ks_str,"{1: 0.1334, 5: 0.2703, 10: 0.33140000000000003}"
801230,test,P@ks_str,"{1: 0.1321, 5: 0.26739999999999997, 10: 0.3292}"
653635,test,P@ks_str,"{1: 0.1298, 5: 0.2588, 10: 0.3201}"
759060,test,P@ks_str,"{1: 0.1336, 5: 0.2667, 10: 0.3296}"
10,test,P@ks_str,"{1: 0.0, 5: 0.0006, 10: 0.0007000000000000001}"
20,test,P@ks_str,"{1: 0.0, 5: 0.0006, 10: 0.0007000000000000001}"
0,test,P@ks_str,"{1: 0.0, 5: 0.0006, 10: 0.0007000000000000001}"
100,test,P@ks_str,"{1: 0.0, 5: 0.0001, 10: 0.0002}"
800,test,P@ks_str,"{1: 0.0, 5: 0.0033, 10: 0.0049}"
200,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0001}"
40,test,P@ks_str,"{1: 0.0, 5: 0.0007000000000000001, 10: 0.0007000000000000001}"
400,test,P@ks_str,"{1: 0.0004, 5: 0.0017000000000000001, 10: 0.0028000000000000004}"
