checkpoint (in update steps),relation_type,metric_name,metric
66694,test,P@ks_str,"{1: 0.0977, 5: 0.2223, 10: 0.2863}"
133388,test,P@ks_str,"{1: 0.113, 5: 0.2487, 10: 0.31170000000000003}"
200082,test,P@ks_str,"{1: 0.12539999999999998, 5: 0.2582, 10: 0.32289999999999996}"
266776,test,P@ks_str,"{1: 0.1319, 5: 0.2718, 10: 0.34130000000000005}"
12800,test,P@ks_str,"{1: 0.0246, 5: 0.0858, 10: 0.12359999999999999}"
10,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0001}"
100000,test,P@ks_str,"{1: 0.1007, 5: 0.2309, 10: 0.2952}"
380000,test,P@ks_str,"{1: 0.1391, 5: 0.2832, 10: 0.3508}"
120000,test,P@ks_str,"{1: 0.1107, 5: 0.2425, 10: 0.3057}"
20,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
0,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0001}"
160000,test,P@ks_str,"{1: 0.1149, 5: 0.2509, 10: 0.3157}"
100,test,P@ks_str,"{1: 0.0001, 5: 0.0002, 10: 0.0002}"
140000,test,P@ks_str,"{1: 0.1085, 5: 0.2458, 10: 0.3128}"
280000,test,P@ks_str,"{1: 0.1366, 5: 0.2781, 10: 0.3478}"
660000,test,P@ks_str,"{1: 0.1491, 5: 0.293, 10: 0.35710000000000003}"
720000,test,P@ks_str,"{1: 0.1549, 5: 0.2989, 10: 0.3642}"
20000,test,P@ks_str,"{1: 0.041100000000000005, 5: 0.12359999999999999, 10: 0.1751}"
980000,test,P@ks_str,"{1: 0.1566, 5: 0.30010000000000003, 10: 0.3661}"
640000,test,P@ks_str,"{1: 0.14880000000000002, 5: 0.2878, 10: 0.3543}"
700000,test,P@ks_str,"{1: 0.1479, 5: 0.2958, 10: 0.3624}"
580000,test,P@ks_str,"{1: 0.1474, 5: 0.29100000000000004, 10: 0.35710000000000003}"
3200,test,P@ks_str,"{1: 0.0002, 5: 0.0028000000000000004, 10: 0.0075}"
740000,test,P@ks_str,"{1: 0.15439999999999998, 5: 0.298, 10: 0.36479999999999996}"
600000,test,P@ks_str,"{1: 0.1459, 5: 0.2869, 10: 0.354}"
480000,test,P@ks_str,"{1: 0.13949999999999999, 5: 0.28309999999999996, 10: 0.345}"
40000,test,P@ks_str,"{1: 0.0699, 5: 0.1743, 10: 0.23370000000000002}"
880000,test,P@ks_str,"{1: 0.1525, 5: 0.3013, 10: 0.3664}"
60000,test,P@ks_str,"{1: 0.08990000000000001, 5: 0.21100000000000002, 10: 0.2722}"
800,test,P@ks_str,"{1: 0.0002, 5: 0.0007000000000000001, 10: 0.003}"
760000,test,P@ks_str,"{1: 0.15560000000000002, 5: 0.2999, 10: 0.3674}"
620000,test,P@ks_str,"{1: 0.1502, 5: 0.2962, 10: 0.3602}"
200,test,P@ks_str,"{1: 0.0, 5: 0.0003, 10: 0.0007000000000000001}"
840000,test,P@ks_str,"{1: 0.15439999999999998, 5: 0.2974, 10: 0.3641}"
900000,test,P@ks_str,"{1: 0.1592, 5: 0.3004, 10: 0.369}"
520000,test,P@ks_str,"{1: 0.1431, 5: 0.2903, 10: 0.3566}"
460000,test,P@ks_str,"{1: 0.1408, 5: 0.2923, 10: 0.3574}"
40,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
