checkpoint (in update steps),relation_type,metric_name,metric
996396,test,P@ks_str,"{1: 0.1042, 5: 0.21530000000000002, 10: 0.2683}"
1019568,test,P@ks_str,"{1: 0.1042, 5: 0.2155, 10: 0.2685}"
231720,test,P@ks_str,"{1: 0.0719, 5: 0.153, 10: 0.1978}"
393924,test,P@ks_str,"{1: 0.0784, 5: 0.16899999999999998, 10: 0.2102}"
185376,test,P@ks_str,"{1: 0.0672, 5: 0.15289999999999998, 10: 0.1945}"
648816,test,P@ks_str,"{1: 0.0883, 5: 0.1843, 10: 0.2291}"
486612,test,P@ks_str,"{1: 0.08220000000000001, 5: 0.175, 10: 0.2186}"
23172,test,P@ks_str,"{1: 0.0384, 5: 0.1045, 10: 0.14279999999999998}"
602472,test,P@ks_str,"{1: 0.0888, 5: 0.193, 10: 0.2397}"
139032,test,P@ks_str,"{1: 0.0666, 5: 0.1501, 10: 0.19140000000000001}"
440268,test,P@ks_str,"{1: 0.0805, 5: 0.1705, 10: 0.214}"
973224,test,P@ks_str,"{1: 0.1033, 5: 0.2137, 10: 0.2641}"
625644,test,P@ks_str,"{1: 0.0925, 5: 0.20370000000000002, 10: 0.2521}"
417096,test,P@ks_str,"{1: 0.07690000000000001, 5: 0.16690000000000002, 10: 0.2057}"
162204,test,P@ks_str,"{1: 0.0689, 5: 0.1523, 10: 0.1931}"
463440,test,P@ks_str,"{1: 0.08900000000000001, 5: 0.184, 10: 0.23129999999999998}"
208548,test,P@ks_str,"{1: 0.0695, 5: 0.1514, 10: 0.18739999999999998}"
370752,test,P@ks_str,"{1: 0.07339999999999999, 5: 0.16010000000000002, 10: 0.20129999999999998}"
671988,test,P@ks_str,"{1: 0.09210000000000002, 5: 0.19510000000000002, 10: 0.24109999999999998}"
254892,test,P@ks_str,"{1: 0.0693, 5: 0.1519, 10: 0.19329999999999997}"
764676,test,P@ks_str,"{1: 0.1012, 5: 0.2108, 10: 0.2642}"
787848,test,P@ks_str,"{1: 0.1013, 5: 0.21, 10: 0.25980000000000003}"
811020,test,P@ks_str,"{1: 0.0971, 5: 0.2026, 10: 0.2481}"
741504,test,P@ks_str,"{1: 0.0983, 5: 0.21, 10: 0.2622}"
324408,test,P@ks_str,"{1: 0.07490000000000001, 5: 0.1632, 10: 0.2075}"
301236,test,P@ks_str,"{1: 0.0725, 5: 0.16219999999999998, 10: 0.20629999999999998}"
579300,test,P@ks_str,"{1: 0.0908, 5: 0.1945, 10: 0.23809999999999998}"
115860,test,P@ks_str,"{1: 0.0646, 5: 0.1454, 10: 0.1892}"
509784,test,P@ks_str,"{1: 0.0753, 5: 0.1635, 10: 0.20350000000000001}"
46344,test,P@ks_str,"{1: 0.04769999999999999, 5: 0.1245, 10: 0.1668}"
926880,test,P@ks_str,"{1: 0.1001, 5: 0.2076, 10: 0.2584}"
532956,test,P@ks_str,"{1: 0.0782, 5: 0.1648, 10: 0.2048}"
69516,test,P@ks_str,"{1: 0.048600000000000004, 5: 0.1175, 10: 0.1545}"
556128,test,P@ks_str,"{1: 0.0817, 5: 0.1772, 10: 0.2208}"
92688,test,P@ks_str,"{1: 0.06280000000000001, 5: 0.14679999999999999, 10: 0.1894}"
278064,test,P@ks_str,"{1: 0.0757, 5: 0.163, 10: 0.20489999999999997}"
347580,test,P@ks_str,"{1: 0.0738, 5: 0.15810000000000002, 10: 0.1973}"
950052,test,P@ks_str,"{1: 0.105, 5: 0.21739999999999998, 10: 0.2688}"
857364,test,P@ks_str,"{1: 0.0998, 5: 0.215, 10: 0.2632}"
695160,test,P@ks_str,"{1: 0.09, 5: 0.196, 10: 0.2468}"
903708,test,P@ks_str,"{1: 0.10189999999999999, 5: 0.20929999999999999, 10: 0.2613}"
880536,test,P@ks_str,"{1: 0.1, 5: 0.2095, 10: 0.26}"
718332,test,P@ks_str,"{1: 0.09210000000000002, 5: 0.1962, 10: 0.24059999999999998}"
834192,test,P@ks_str,"{1: 0.0968, 5: 0.20800000000000002, 10: 0.25579999999999997}"
10,test,P@ks_str,"{1: 0.0, 5: 0.0006, 10: 0.0007000000000000001}"
20,test,P@ks_str,"{1: 0.0, 5: 0.0005, 10: 0.0007000000000000001}"
0,test,P@ks_str,"{1: 0.0, 5: 0.0006, 10: 0.0007000000000000001}"
100,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0002}"
800,test,P@ks_str,"{1: 0.0, 5: 0.0007000000000000001, 10: 0.004699999999999999}"
200,test,P@ks_str,"{1: 0.0001, 5: 0.0003, 10: 0.0007000000000000001}"
40,test,P@ks_str,"{1: 0.0, 5: 0.0005, 10: 0.0008}"
400,test,P@ks_str,"{1: 0.0, 5: 0.0007000000000000001, 10: 0.0023}"
