checkpoint (in update steps),relation_type,metric_name,metric
545904,test,P@ks_str,"{1: 0.1143, 5: 0.237, 10: 0.2963}"
568650,test,P@ks_str,"{1: 0.1152, 5: 0.243, 10: 0.3016}"
614142,test,P@ks_str,"{1: 0.1155, 5: 0.2403, 10: 0.2994}"
159222,test,P@ks_str,"{1: 0.08900000000000001, 5: 0.1985, 10: 0.2572}"
45492,test,P@ks_str,"{1: 0.0529, 5: 0.1416, 10: 0.1875}"
341190,test,P@ks_str,"{1: 0.1082, 5: 0.2306, 10: 0.2893}"
318444,test,P@ks_str,"{1: 0.1065, 5: 0.2286, 10: 0.293}"
659634,test,P@ks_str,"{1: 0.11699999999999999, 5: 0.2421, 10: 0.3029}"
204714,test,P@ks_str,"{1: 0.0919, 5: 0.2072, 10: 0.2659}"
136476,test,P@ks_str,"{1: 0.0894, 5: 0.19949999999999998, 10: 0.2584}"
68238,test,P@ks_str,"{1: 0.0688, 5: 0.1663, 10: 0.2205}"
818856,test,P@ks_str,"{1: 0.1226, 5: 0.2522, 10: 0.3118}"
864348,test,P@ks_str,"{1: 0.1225, 5: 0.2519, 10: 0.3139}"
932586,test,P@ks_str,"{1: 0.1243, 5: 0.25429999999999997, 10: 0.318}"
250206,test,P@ks_str,"{1: 0.09789999999999999, 5: 0.21, 10: 0.2677}"
386682,test,P@ks_str,"{1: 0.1073, 5: 0.2311, 10: 0.2927}"
523158,test,P@ks_str,"{1: 0.1155, 5: 0.2416, 10: 0.3004}"
454920,test,P@ks_str,"{1: 0.1119, 5: 0.23800000000000002, 10: 0.3009}"
705126,test,P@ks_str,"{1: 0.1199, 5: 0.2426, 10: 0.306}"
500412,test,P@ks_str,"{1: 0.1159, 5: 0.2438, 10: 0.30329999999999996}"
432174,test,P@ks_str,"{1: 0.1109, 5: 0.233, 10: 0.2917}"
591396,test,P@ks_str,"{1: 0.11810000000000001, 5: 0.2452, 10: 0.3059}"
22746,test,P@ks_str,"{1: 0.030600000000000002, 5: 0.09939999999999999, 10: 0.1394}"
181968,test,P@ks_str,"{1: 0.09570000000000001, 5: 0.2048, 10: 0.26289999999999997}"
90984,test,P@ks_str,"{1: 0.0754, 5: 0.1739, 10: 0.2279}"
113730,test,P@ks_str,"{1: 0.08310000000000001, 5: 0.1923, 10: 0.2457}"
636888,test,P@ks_str,"{1: 0.11779999999999999, 5: 0.2463, 10: 0.3091}"
363936,test,P@ks_str,"{1: 0.10949999999999999, 5: 0.23370000000000002, 10: 0.2953}"
773364,test,P@ks_str,"{1: 0.1209, 5: 0.25079999999999997, 10: 0.3091}"
796110,test,P@ks_str,"{1: 0.12029999999999999, 5: 0.2495, 10: 0.3106}"
1000824,test,P@ks_str,"{1: 0.1277, 5: 0.2564, 10: 0.3201}"
955332,test,P@ks_str,"{1: 0.1268, 5: 0.2544, 10: 0.3201}"
887094,test,P@ks_str,"{1: 0.1245, 5: 0.2541, 10: 0.3145}"
978078,test,P@ks_str,"{1: 0.1267, 5: 0.2564, 10: 0.31980000000000003}"
841602,test,P@ks_str,"{1: 0.124, 5: 0.25429999999999997, 10: 0.315}"
909840,test,P@ks_str,"{1: 0.1272, 5: 0.2536, 10: 0.3164}"
750618,test,P@ks_str,"{1: 0.1223, 5: 0.2509, 10: 0.3109}"
682380,test,P@ks_str,"{1: 0.11779999999999999, 5: 0.24280000000000002, 10: 0.3031}"
477666,test,P@ks_str,"{1: 0.114, 5: 0.2421, 10: 0.2974}"
227460,test,P@ks_str,"{1: 0.1018, 5: 0.213, 10: 0.2713}"
295698,test,P@ks_str,"{1: 0.1041, 5: 0.2212, 10: 0.2798}"
727872,test,P@ks_str,"{1: 0.12050000000000001, 5: 0.2464, 10: 0.3064}"
409428,test,P@ks_str,"{1: 0.11380000000000001, 5: 0.23399999999999999, 10: 0.2945}"
272952,test,P@ks_str,"{1: 0.1048, 5: 0.2235, 10: 0.2808}"
10,test,P@ks_str,"{1: 0.0, 5: 0.0006, 10: 0.0007000000000000001}"
20,test,P@ks_str,"{1: 0.0, 5: 0.0006, 10: 0.0007000000000000001}"
0,test,P@ks_str,"{1: 0.0, 5: 0.0006, 10: 0.0007000000000000001}"
100,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0001}"
800,test,P@ks_str,"{1: 0.0, 5: 0.0004, 10: 0.0019}"
200,test,P@ks_str,"{1: 0.0, 5: 0.0006, 10: 0.0012}"
40,test,P@ks_str,"{1: 0.0, 5: 0.0007000000000000001, 10: 0.0007000000000000001}"
400,test,P@ks_str,"{1: 0.0003, 5: 0.0024, 10: 0.0028000000000000004}"
