checkpoint (in update steps),relation_type,metric_name,metric
224370,test,P@ks_str,"{1: 0.1003, 5: 0.21739999999999998, 10: 0.27699999999999997}"
381429,test,P@ks_str,"{1: 0.1125, 5: 0.23870000000000002, 10: 0.3006}"
179496,test,P@ks_str,"{1: 0.0942, 5: 0.2065, 10: 0.2663}"
628236,test,P@ks_str,"{1: 0.12359999999999999, 5: 0.25730000000000003, 10: 0.3206}"
471177,test,P@ks_str,"{1: 0.1167, 5: 0.2418, 10: 0.30329999999999996}"
22437,test,P@ks_str,"{1: 0.0313, 5: 0.1017, 10: 0.1445}"
583362,test,P@ks_str,"{1: 0.1241, 5: 0.2568, 10: 0.3172}"
134622,test,P@ks_str,"{1: 0.08900000000000001, 5: 0.1986, 10: 0.2579}"
426303,test,P@ks_str,"{1: 0.11410000000000001, 5: 0.2426, 10: 0.3071}"
605799,test,P@ks_str,"{1: 0.1226, 5: 0.2551, 10: 0.31579999999999997}"
403866,test,P@ks_str,"{1: 0.1158, 5: 0.24359999999999998, 10: 0.3038}"
157059,test,P@ks_str,"{1: 0.0934, 5: 0.201, 10: 0.2541}"
448740,test,P@ks_str,"{1: 0.11470000000000001, 5: 0.24170000000000003, 10: 0.3012}"
201933,test,P@ks_str,"{1: 0.096, 5: 0.213, 10: 0.2703}"
358992,test,P@ks_str,"{1: 0.10710000000000001, 5: 0.23010000000000003, 10: 0.2872}"
650673,test,P@ks_str,"{1: 0.124, 5: 0.2587, 10: 0.3187}"
246807,test,P@ks_str,"{1: 0.1005, 5: 0.2193, 10: 0.2793}"
740421,test,P@ks_str,"{1: 0.1244, 5: 0.2572, 10: 0.3221}"
762858,test,P@ks_str,"{1: 0.1264, 5: 0.2618, 10: 0.3235}"
785295,test,P@ks_str,"{1: 0.1285, 5: 0.2634, 10: 0.325}"
717984,test,P@ks_str,"{1: 0.1235, 5: 0.2593, 10: 0.3234}"
314118,test,P@ks_str,"{1: 0.1097, 5: 0.235, 10: 0.2975}"
291681,test,P@ks_str,"{1: 0.10369999999999999, 5: 0.2213, 10: 0.27899999999999997}"
560925,test,P@ks_str,"{1: 0.11869999999999999, 5: 0.2487, 10: 0.3102}"
112185,test,P@ks_str,"{1: 0.0821, 5: 0.1857, 10: 0.2443}"
493614,test,P@ks_str,"{1: 0.1161, 5: 0.2429, 10: 0.3056}"
44874,test,P@ks_str,"{1: 0.056600000000000004, 5: 0.1424, 10: 0.191}"
