checkpoint (in update steps),relation_type,metric_name,metric
12800,place_of_birth,P@ks_str,"{1: 0.0141, 5: 0.0512, 10: 0.07490000000000001}"
12800,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0006, 10: 0.0026}"
12800,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0015, 10: 0.0077}"
10,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0004, 10: 0.0004}"
10,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
10,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
100000,place_of_birth,P@ks_str,"{1: 0.059500000000000004, 5: 0.17850000000000002, 10: 0.2379}"
100000,date_of_birth,P@ks_str,"{1: 0.015300000000000001, 5: 0.0633, 10: 0.1304}"
100000,place_of_death,P@ks_str,"{1: 0.0154, 5: 0.0385, 10: 0.0616}"
380000,place_of_birth,P@ks_str,"{1: 0.0541, 5: 0.17550000000000002, 10: 0.24420000000000003}"
380000,date_of_birth,P@ks_str,"{1: 0.0179, 5: 0.0805, 10: 0.145}"
380000,place_of_death,P@ks_str,"{1: 0.037000000000000005, 5: 0.0909, 10: 0.1109}"
120000,place_of_birth,P@ks_str,"{1: 0.0836, 5: 0.188, 10: 0.2284}"
120000,date_of_birth,P@ks_str,"{1: 0.015300000000000001, 5: 0.0645, 10: 0.1272}"
120000,place_of_death,P@ks_str,"{1: 0.0385, 5: 0.0924, 10: 0.1109}"
20,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0004, 10: 0.0004}"
20,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
20,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
0,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0004, 10: 0.0004}"
0,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
0,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
160000,place_of_birth,P@ks_str,"{1: 0.0861, 5: 0.2026, 10: 0.2812}"
160000,date_of_birth,P@ks_str,"{1: 0.0128, 5: 0.0639, 10: 0.1348}"
160000,place_of_death,P@ks_str,"{1: 0.0139, 5: 0.0385, 10: 0.0663}"
100,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
100,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
100,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
140000,place_of_birth,P@ks_str,"{1: 0.0661, 5: 0.19510000000000002, 10: 0.2658}"
140000,date_of_birth,P@ks_str,"{1: 0.0179, 5: 0.0748, 10: 0.1335}"
140000,place_of_death,P@ks_str,"{1: 0.0123, 5: 0.0431, 10: 0.0678}"
280000,place_of_birth,P@ks_str,"{1: 0.0724, 5: 0.2034, 10: 0.2741}"
280000,date_of_birth,P@ks_str,"{1: 0.015300000000000001, 5: 0.0709, 10: 0.15460000000000002}"
280000,place_of_death,P@ks_str,"{1: 0.029300000000000003, 5: 0.057, 10: 0.0801}"
660000,place_of_birth,P@ks_str,"{1: 0.1032, 5: 0.2192, 10: 0.2725}"
660000,date_of_birth,P@ks_str,"{1: 0.0147, 5: 0.08560000000000001, 10: 0.1565}"
660000,place_of_death,P@ks_str,"{1: 0.018500000000000003, 5: 0.057, 10: 0.0755}"
720000,place_of_birth,P@ks_str,"{1: 0.0591, 5: 0.1572, 10: 0.19510000000000002}"
720000,date_of_birth,P@ks_str,"{1: 0.0115, 5: 0.0658, 10: 0.1419}"
720000,place_of_death,P@ks_str,"{1: 0.0092, 5: 0.0154, 10: 0.02}"
20000,place_of_birth,P@ks_str,"{1: 0.0004, 5: 0.0070999999999999995, 10: 0.0116}"
20000,date_of_birth,P@ks_str,"{1: 0.0089, 5: 0.0652, 10: 0.13419999999999999}"
20000,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0015, 10: 0.0046}"
980000,place_of_birth,P@ks_str,"{1: 0.054900000000000004, 5: 0.18760000000000002, 10: 0.24}"
980000,date_of_birth,P@ks_str,"{1: 0.0166, 5: 0.0735, 10: 0.1476}"
980000,place_of_death,P@ks_str,"{1: 0.0077, 5: 0.0139, 10: 0.0154}"
640000,place_of_birth,P@ks_str,"{1: 0.0824, 5: 0.223, 10: 0.2995}"
640000,date_of_birth,P@ks_str,"{1: 0.0147, 5: 0.0754, 10: 0.1495}"
640000,place_of_death,P@ks_str,"{1: 0.0308, 5: 0.0632, 10: 0.0832}"
700000,place_of_birth,P@ks_str,"{1: 0.11109999999999999, 5: 0.2359, 10: 0.3003}"
700000,date_of_birth,P@ks_str,"{1: 0.0064, 5: 0.0588, 10: 0.1304}"
700000,place_of_death,P@ks_str,"{1: 0.0123, 5: 0.037000000000000005, 10: 0.0555}"
580000,place_of_birth,P@ks_str,"{1: 0.0911, 5: 0.22920000000000001, 10: 0.2883}"
580000,date_of_birth,P@ks_str,"{1: 0.016, 5: 0.0786, 10: 0.1534}"
