checkpoint (in update steps),relation_type,metric_name,metric
906655,place_of_birth,P@ks_str,"{1: 0.049100000000000005, 5: 0.10439999999999999, 10: 0.1281}"
906655,date_of_birth,P@ks_str,"{1: 0.0102, 5: 0.053, 10: 0.10099999999999999}"
906655,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
927740,place_of_birth,P@ks_str,"{1: 0.0458, 5: 0.09359999999999999, 10: 0.12269999999999999}"
927740,date_of_birth,P@ks_str,"{1: 0.0089, 5: 0.0415, 10: 0.0754}"
927740,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0015, 10: 0.0031}"
210850,place_of_birth,P@ks_str,"{1: 0.0179, 5: 0.06280000000000001, 10: 0.0832}"
210850,date_of_birth,P@ks_str,"{1: 0.0013, 5: 0.0077, 10: 0.0204}"
210850,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0031, 10: 0.0031}"
358445,place_of_birth,P@ks_str,"{1: 0.0341, 5: 0.08529999999999999, 10: 0.1152}"
358445,date_of_birth,P@ks_str,"{1: 0.0013, 5: 0.0204, 10: 0.0435}"
358445,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0015, 10: 0.0015}"
168680,place_of_birth,P@ks_str,"{1: 0.029500000000000002, 5: 0.0836, 10: 0.10980000000000001}"
168680,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0019, 10: 0.0058}"
168680,place_of_death,P@ks_str,"{1: 0.0046, 5: 0.0062, 10: 0.0092}"
590380,place_of_birth,P@ks_str,"{1: 0.0104, 5: 0.0258, 10: 0.0383}"
590380,date_of_birth,P@ks_str,"{1: 0.0083, 5: 0.0313, 10: 0.0594}"
590380,place_of_death,P@ks_str,"{1: 0.0015, 5: 0.0031, 10: 0.0092}"
442785,place_of_birth,P@ks_str,"{1: 0.027000000000000003, 5: 0.07400000000000001, 10: 0.1007}"
442785,date_of_birth,P@ks_str,"{1: 0.0019, 5: 0.0096, 10: 0.021099999999999997}"
442785,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
21085,place_of_birth,P@ks_str,"{1: 0.005, 5: 0.025, 10: 0.044500000000000005}"
21085,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
21085,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0031, 10: 0.0046}"
548210,place_of_birth,P@ks_str,"{1: 0.0137, 5: 0.042, 10: 0.057}"
548210,date_of_birth,P@ks_str,"{1: 0.0038, 5: 0.0313, 10: 0.06709999999999999}"
548210,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
126510,place_of_birth,P@ks_str,"{1: 0.0062, 5: 0.027000000000000003, 10: 0.0449}"
126510,date_of_birth,P@ks_str,"{1: 0.0013, 5: 0.0013, 10: 0.0109}"
126510,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0077, 10: 0.0108}"
400615,place_of_birth,P@ks_str,"{1: 0.0037, 5: 0.0087, 10: 0.0121}"
400615,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0058, 10: 0.015300000000000001}"
400615,place_of_death,P@ks_str,"{1: 0.0062, 5: 0.0092, 10: 0.0108}"
948825,place_of_birth,P@ks_str,"{1: 0.0416, 5: 0.0932, 10: 0.1186}"
948825,date_of_birth,P@ks_str,"{1: 0.0096, 5: 0.042800000000000005, 10: 0.07919999999999999}"
948825,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0015, 10: 0.0015}"
885570,place_of_birth,P@ks_str,"{1: 0.0641, 5: 0.1618, 10: 0.2051}"
885570,date_of_birth,P@ks_str,"{1: 0.0064, 5: 0.0358, 10: 0.06709999999999999}"
885570,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0031, 10: 0.0031}"
569295,place_of_birth,P@ks_str,"{1: 0.0042, 5: 0.0129, 10: 0.0191}"
569295,date_of_birth,P@ks_str,"{1: 0.0032, 5: 0.023, 10: 0.0537}"
569295,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
