checkpoint (in update steps),relation_type,metric_name,metric
66694,place_of_birth,P@ks_str,"{1: 0.08650000000000001, 5: 0.228, 10: 0.3066}"
66694,date_of_birth,P@ks_str,"{1: 0.0141, 5: 0.07730000000000001, 10: 0.1597}"
66694,place_of_death,P@ks_str,"{1: 0.02, 5: 0.0385, 10: 0.0508}"
133388,place_of_birth,P@ks_str,"{1: 0.0824, 5: 0.188, 10: 0.2429}"
133388,date_of_birth,P@ks_str,"{1: 0.019799999999999998, 5: 0.0818, 10: 0.1444}"
133388,place_of_death,P@ks_str,"{1: 0.0077, 5: 0.0231, 10: 0.029300000000000003}"
200082,place_of_birth,P@ks_str,"{1: 0.0499, 5: 0.1552, 10: 0.2159}"
200082,date_of_birth,P@ks_str,"{1: 0.0134, 5: 0.07730000000000001, 10: 0.1636}"
200082,place_of_death,P@ks_str,"{1: 0.0216, 5: 0.0354, 10: 0.0401}"
266776,place_of_birth,P@ks_str,"{1: 0.0616, 5: 0.19219999999999998, 10: 0.2396}"
266776,date_of_birth,P@ks_str,"{1: 0.0141, 5: 0.0767, 10: 0.145}"
266776,place_of_death,P@ks_str,"{1: 0.0478, 5: 0.0786, 10: 0.1032}"
12800,place_of_birth,P@ks_str,"{1: 0.054900000000000004, 5: 0.11939999999999999, 10: 0.14429999999999998}"
12800,date_of_birth,P@ks_str,"{1: 0.0058, 5: 0.022400000000000003, 10: 0.053}"
12800,place_of_death,P@ks_str,"{1: 0.0108, 5: 0.0416, 10: 0.0601}"
10,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0004, 10: 0.0004}"
10,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
10,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0015}"
100000,place_of_birth,P@ks_str,"{1: 0.1036, 5: 0.25, 10: 0.3182}"
100000,date_of_birth,P@ks_str,"{1: 0.0179, 5: 0.0716, 10: 0.1406}"
100000,place_of_death,P@ks_str,"{1: 0.0216, 5: 0.037000000000000005, 10: 0.053899999999999997}"
380000,place_of_birth,P@ks_str,"{1: 0.0886, 5: 0.2375, 10: 0.3037}"
380000,date_of_birth,P@ks_str,"{1: 0.0109, 5: 0.0722, 10: 0.1393}"
380000,place_of_death,P@ks_str,"{1: 0.0385, 5: 0.058600000000000006, 10: 0.0663}"
120000,place_of_birth,P@ks_str,"{1: 0.0458, 5: 0.17300000000000001, 10: 0.2384}"
120000,date_of_birth,P@ks_str,"{1: 0.018500000000000003, 5: 0.0722, 10: 0.1374}"
120000,place_of_death,P@ks_str,"{1: 0.0092, 5: 0.0139, 10: 0.0216}"
20,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0004, 10: 0.0004}"
20,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
20,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0015}"
0,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0004}"
0,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
0,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0015}"
160000,place_of_birth,P@ks_str,"{1: 0.0703, 5: 0.1789, 10: 0.24420000000000003}"
160000,date_of_birth,P@ks_str,"{1: 0.0173, 5: 0.0658, 10: 0.1387}"
160000,place_of_death,P@ks_str,"{1: 0.0046, 5: 0.0108, 10: 0.0139}"
100,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0004}"
100,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
100,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
140000,place_of_birth,P@ks_str,"{1: 0.0761, 5: 0.1905, 10: 0.25120000000000003}"
140000,date_of_birth,P@ks_str,"{1: 0.015300000000000001, 5: 0.0703, 10: 0.1316}"
140000,place_of_death,P@ks_str,"{1: 0.0015, 5: 0.0169, 10: 0.0216}"
280000,place_of_birth,P@ks_str,"{1: 0.0487, 5: 0.1298, 10: 0.1664}"
280000,date_of_birth,P@ks_str,"{1: 0.018500000000000003, 5: 0.0716, 10: 0.131}"
280000,place_of_death,P@ks_str,"{1: 0.0108, 5: 0.0354, 10: 0.0478}"
660000,place_of_birth,P@ks_str,"{1: 0.1106, 5: 0.2267, 10: 0.275}"
660000,date_of_birth,P@ks_str,"{1: 0.0173, 5: 0.078, 10: 0.1508}"
660000,place_of_death,P@ks_str,"{1: 0.0647, 5: 0.0971, 10: 0.1109}"
720000,place_of_birth,P@ks_str,"{1: 0.1002, 5: 0.1913, 10: 0.2263}"
720000,date_of_birth,P@ks_str,"{1: 0.019799999999999998, 5: 0.0812, 10: 0.1565}"
720000,place_of_death,P@ks_str,"{1: 0.0154, 5: 0.032400000000000005, 10: 0.0462}"
20000,place_of_birth,P@ks_str,"{1: 0.03, 5: 0.0487, 10: 0.0682}"
20000,date_of_birth,P@ks_str,"{1: 0.0134, 5: 0.0748, 10: 0.1476}"
20000,place_of_death,P@ks_str,"{1: 0.0015, 5: 0.0015, 10: 0.0015}"
980000,place_of_birth,P@ks_str,"{1: 0.1131, 5: 0.2167, 10: 0.25170000000000003}"
980000,date_of_birth,P@ks_str,"{1: 0.0121, 5: 0.0741, 10: 0.1431}"
980000,place_of_death,P@ks_str,"{1: 0.0139, 5: 0.0308, 10: 0.0416}"
640000,place_of_birth,P@ks_str,"{1: 0.08689999999999999, 5: 0.2192, 10: 0.2625}"
640000,date_of_birth,P@ks_str,"{1: 0.0173, 5: 0.0639, 10: 0.1233}"
640000,place_of_death,P@ks_str,"{1: 0.0154, 5: 0.029300000000000003, 10: 0.0354}"
700000,place_of_birth,P@ks_str,"{1: 0.0882, 5: 0.17850000000000002, 10: 0.2076}"
700000,date_of_birth,P@ks_str,"{1: 0.0121, 5: 0.0626, 10: 0.1431}"
700000,place_of_death,P@ks_str,"{1: 0.024700000000000003, 5: 0.0431, 10: 0.0616}"
580000,place_of_birth,P@ks_str,"{1: 0.0928, 5: 0.2059, 10: 0.25120000000000003}"
580000,date_of_birth,P@ks_str,"{1: 0.016, 5: 0.0837, 10: 0.1534}"
580000,place_of_death,P@ks_str,"{1: 0.037000000000000005, 5: 0.0524, 10: 0.0678}"
3200,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
3200,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
3200,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
740000,place_of_birth,P@ks_str,"{1: 0.0416, 5: 0.0882, 10: 0.1069}"
740000,date_of_birth,P@ks_str,"{1: 0.0121, 5: 0.0709, 10: 0.1361}"
740000,place_of_death,P@ks_str,"{1: 0.0062, 5: 0.0077, 10: 0.0077}"
600000,place_of_birth,P@ks_str,"{1: 0.10439999999999999, 5: 0.20800000000000002, 10: 0.25420000000000004}"
600000,date_of_birth,P@ks_str,"{1: 0.023, 5: 0.0875, 10: 0.1591}"
600000,place_of_death,P@ks_str,"{1: 0.0262, 5: 0.057, 10: 0.0632}"
480000,place_of_birth,P@ks_str,"{1: 0.1002, 5: 0.22, 10: 0.2733}"
480000,date_of_birth,P@ks_str,"{1: 0.016, 5: 0.076, 10: 0.1655}"
480000,place_of_death,P@ks_str,"{1: 0.0478, 5: 0.0786, 10: 0.0863}"
40000,place_of_birth,P@ks_str,"{1: 0.0582, 5: 0.1747, 10: 0.2205}"
40000,date_of_birth,P@ks_str,"{1: 0.0128, 5: 0.0812, 10: 0.1629}"
40000,place_of_death,P@ks_str,"{1: 0.0015, 5: 0.0077, 10: 0.0108}"
880000,place_of_birth,P@ks_str,"{1: 0.0953, 5: 0.1943, 10: 0.2304}"
880000,date_of_birth,P@ks_str,"{1: 0.0121, 5: 0.0805, 10: 0.1617}"
880000,place_of_death,P@ks_str,"{1: 0.0123, 5: 0.018500000000000003, 10: 0.029300000000000003}"
60000,place_of_birth,P@ks_str,"{1: 0.0928, 5: 0.2242, 10: 0.2903}"
60000,date_of_birth,P@ks_str,"{1: 0.0166, 5: 0.07730000000000001, 10: 0.1559}"
60000,place_of_death,P@ks_str,"{1: 0.0015, 5: 0.0046, 10: 0.0062}"
800,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
800,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
800,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
760000,place_of_birth,P@ks_str,"{1: 0.0915, 5: 0.228, 10: 0.2729}"
760000,date_of_birth,P@ks_str,"{1: 0.0147, 5: 0.0767, 10: 0.1482}"
760000,place_of_death,P@ks_str,"{1: 0.0601, 5: 0.0786, 10: 0.0924}"
620000,place_of_birth,P@ks_str,"{1: 0.0782, 5: 0.14980000000000002, 10: 0.17800000000000002}"
620000,date_of_birth,P@ks_str,"{1: 0.0089, 5: 0.0741, 10: 0.1438}"
620000,place_of_death,P@ks_str,"{1: 0.024700000000000003, 5: 0.0431, 10: 0.053899999999999997}"
200,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
200,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
200,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
840000,place_of_birth,P@ks_str,"{1: 0.1065, 5: 0.2163, 10: 0.2571}"
840000,date_of_birth,P@ks_str,"{1: 0.0147, 5: 0.07730000000000001, 10: 0.1502}"
840000,place_of_death,P@ks_str,"{1: 0.0385, 5: 0.0724, 10: 0.0863}"
900000,place_of_birth,P@ks_str,"{1: 0.08439999999999999, 5: 0.2059, 10: 0.24}"
900000,date_of_birth,P@ks_str,"{1: 0.0134, 5: 0.09390000000000001, 10: 0.1578}"
900000,place_of_death,P@ks_str,"{1: 0.0077, 5: 0.02, 10: 0.029300000000000003}"
520000,place_of_birth,P@ks_str,"{1: 0.10189999999999999, 5: 0.2288, 10: 0.2924}"
520000,date_of_birth,P@ks_str,"{1: 0.021099999999999997, 5: 0.0748, 10: 0.1355}"
520000,place_of_death,P@ks_str,"{1: 0.0262, 5: 0.0524, 10: 0.0693}"
460000,place_of_birth,P@ks_str,"{1: 0.0882, 5: 0.19879999999999998, 10: 0.2475}"
460000,date_of_birth,P@ks_str,"{1: 0.0121, 5: 0.0728, 10: 0.1367}"
460000,place_of_death,P@ks_str,"{1: 0.0493, 5: 0.08779999999999999, 10: 0.1063}"
40,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
40,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
40,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
780000,place_of_birth,P@ks_str,"{1: 0.1127, 5: 0.2259, 10: 0.2733}"
780000,date_of_birth,P@ks_str,"{1: 0.0192, 5: 0.0767, 10: 0.15460000000000002}"
780000,place_of_death,P@ks_str,"{1: 0.0493, 5: 0.08779999999999999, 10: 0.1048}"
500000,place_of_birth,P@ks_str,"{1: 0.1223, 5: 0.2641, 10: 0.3261}"
500000,date_of_birth,P@ks_str,"{1: 0.0147, 5: 0.0863, 10: 0.1649}"
500000,place_of_death,P@ks_str,"{1: 0.02, 5: 0.0385, 10: 0.0493}"
440000,place_of_birth,P@ks_str,"{1: 0.0998, 5: 0.23, 10: 0.2808}"
440000,date_of_birth,P@ks_str,"{1: 0.0173, 5: 0.085, 10: 0.1534}"
440000,place_of_death,P@ks_str,"{1: 0.032400000000000005, 5: 0.0724, 10: 0.0863}"
80000,place_of_birth,P@ks_str,"{1: 0.0761, 5: 0.2005, 10: 0.26289999999999997}"
80000,date_of_birth,P@ks_str,"{1: 0.015300000000000001, 5: 0.0684, 10: 0.1297}"
80000,place_of_death,P@ks_str,"{1: 0.0062, 5: 0.0169, 10: 0.024700000000000003}"
