checkpoint (in update steps),relation_type,metric_name,metric
996396,place_of_birth,P@ks_str,"{1: 0.0316, 5: 0.1065, 10: 0.1668}"
996396,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
996396,place_of_death,P@ks_str,"{1: 0.0262, 5: 0.0986, 10: 0.1448}"
1019568,place_of_birth,P@ks_str,"{1: 0.0316, 5: 0.1057, 10: 0.1668}"
1019568,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
1019568,place_of_death,P@ks_str,"{1: 0.0262, 5: 0.1017, 10: 0.1464}"
231720,place_of_birth,P@ks_str,"{1: 0.0025, 5: 0.0116, 10: 0.0287}"
231720,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
231720,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0015}"
393924,place_of_birth,P@ks_str,"{1: 0.022000000000000002, 5: 0.0562, 10: 0.09609999999999999}"
393924,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
393924,place_of_death,P@ks_str,"{1: 0.0031, 5: 0.0139, 10: 0.0262}"
185376,place_of_birth,P@ks_str,"{1: 0.0037, 5: 0.02, 10: 0.0391}"
185376,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
185376,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
648816,place_of_birth,P@ks_str,"{1: 0.0129, 5: 0.0828, 10: 0.13019999999999998}"
648816,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
648816,place_of_death,P@ks_str,"{1: 0.0092, 5: 0.0416, 10: 0.0616}"
486612,place_of_birth,P@ks_str,"{1: 0.0025, 5: 0.0158, 10: 0.0337}"
486612,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
486612,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0046, 10: 0.0046}"
23172,place_of_birth,P@ks_str,"{1: 0.0004, 5: 0.0012, 10: 0.0054}"
23172,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
23172,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
602472,place_of_birth,P@ks_str,"{1: 0.0258, 5: 0.06280000000000001, 10: 0.084}"
602472,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
602472,place_of_death,P@ks_str,"{1: 0.0154, 5: 0.0431, 10: 0.0616}"
139032,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0008, 10: 0.0070999999999999995}"
139032,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
139032,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
440268,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0025, 10: 0.005}"
440268,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
440268,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
973224,place_of_birth,P@ks_str,"{1: 0.0304, 5: 0.1061, 10: 0.16760000000000003}"
973224,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
973224,place_of_death,P@ks_str,"{1: 0.0262, 5: 0.1063, 10: 0.1448}"
625644,place_of_birth,P@ks_str,"{1: 0.0070999999999999995, 5: 0.0553, 10: 0.11359999999999999}"
625644,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
625644,place_of_death,P@ks_str,"{1: 0.0108, 5: 0.029300000000000003, 10: 0.0462}"
417096,place_of_birth,P@ks_str,"{1: 0.0012, 5: 0.0083, 10: 0.0204}"
417096,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
417096,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0015, 10: 0.0046}"
162204,place_of_birth,P@ks_str,"{1: 0.0012, 5: 0.0062, 10: 0.0125}"
162204,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
162204,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
463440,place_of_birth,P@ks_str,"{1: 0.0383, 5: 0.0653, 10: 0.08689999999999999}"
463440,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
463440,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0031}"
208548,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
208548,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0006}"
208548,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
370752,place_of_birth,P@ks_str,"{1: 0.0058, 5: 0.0166, 10: 0.0316}"
370752,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
370752,place_of_death,P@ks_str,"{1: 0.0015, 5: 0.0015, 10: 0.0015}"
671988,place_of_birth,P@ks_str,"{1: 0.0171, 5: 0.08109999999999999, 10: 0.1306}"
671988,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
671988,place_of_death,P@ks_str,"{1: 0.0092, 5: 0.0508, 10: 0.0817}"
