checkpoint (in update steps),relation_type,metric_name,metric
545904,place_of_birth,P@ks_str,"{1: 0.094, 5: 0.2384, 10: 0.297}"
545904,date_of_birth,P@ks_str,"{1: 0.018500000000000003, 5: 0.0722, 10: 0.1623}"
545904,place_of_death,P@ks_str,"{1: 0.0632, 5: 0.1002, 10: 0.1125}"
568650,place_of_birth,P@ks_str,"{1: 0.13019999999999998, 5: 0.2492, 10: 0.3032}"
568650,date_of_birth,P@ks_str,"{1: 0.0141, 5: 0.0824, 10: 0.1553}"
568650,place_of_death,P@ks_str,"{1: 0.1048, 5: 0.1479, 10: 0.1649}"
614142,place_of_birth,P@ks_str,"{1: 0.1023, 5: 0.25670000000000004, 10: 0.33149999999999996}"
614142,date_of_birth,P@ks_str,"{1: 0.021099999999999997, 5: 0.0805, 10: 0.16870000000000002}"
614142,place_of_death,P@ks_str,"{1: 0.1002, 5: 0.1649, 10: 0.1772}"
159222,place_of_birth,P@ks_str,"{1: 0.09939999999999999, 5: 0.25329999999999997, 10: 0.324}"
159222,date_of_birth,P@ks_str,"{1: 0.0179, 5: 0.0716, 10: 0.1406}"
159222,place_of_death,P@ks_str,"{1: 0.1094, 5: 0.1957, 10: 0.2357}"
45492,place_of_birth,P@ks_str,"{1: 0.053200000000000004, 5: 0.1664, 10: 0.23629999999999998}"
45492,date_of_birth,P@ks_str,"{1: 0.0147, 5: 0.0684, 10: 0.145}"
45492,place_of_death,P@ks_str,"{1: 0.0678, 5: 0.1741, 10: 0.2173}"
341190,place_of_birth,P@ks_str,"{1: 0.11689999999999999, 5: 0.25370000000000004, 10: 0.3207}"
341190,date_of_birth,P@ks_str,"{1: 0.0173, 5: 0.0805, 10: 0.1553}"
341190,place_of_death,P@ks_str,"{1: 0.1002, 5: 0.168, 10: 0.1834}"
318444,place_of_birth,P@ks_str,"{1: 0.12689999999999999, 5: 0.2887, 10: 0.36560000000000004}"
318444,date_of_birth,P@ks_str,"{1: 0.018500000000000003, 5: 0.0882, 10: 0.17059999999999997}"
