checkpoint (in update steps),relation_type,metric_name,metric
224370,place_of_birth,P@ks_str,"{1: 0.09570000000000001, 5: 0.20129999999999998, 10: 0.2425}"
224370,date_of_birth,P@ks_str,"{1: 0.0179, 5: 0.0888, 10: 0.1693}"
224370,place_of_death,P@ks_str,"{1: 0.0154, 5: 0.0339, 10: 0.0385}"
381429,place_of_birth,P@ks_str,"{1: 0.1414, 5: 0.2754, 10: 0.3336}"
381429,date_of_birth,P@ks_str,"{1: 0.0141, 5: 0.0677, 10: 0.1374}"
381429,place_of_death,P@ks_str,"{1: 0.0277, 5: 0.037000000000000005, 10: 0.0447}"
179496,place_of_birth,P@ks_str,"{1: 0.0537, 5: 0.19219999999999998, 10: 0.2583}"
179496,date_of_birth,P@ks_str,"{1: 0.0128, 5: 0.0805, 10: 0.1617}"
179496,place_of_death,P@ks_str,"{1: 0.032400000000000005, 5: 0.0508, 10: 0.0632}"
628236,place_of_birth,P@ks_str,"{1: 0.14679999999999999, 5: 0.2874, 10: 0.35109999999999997}"
628236,date_of_birth,P@ks_str,"{1: 0.0147, 5: 0.0786, 10: 0.1655}"
628236,place_of_death,P@ks_str,"{1: 0.0709, 5: 0.1263, 10: 0.1433}"
471177,place_of_birth,P@ks_str,"{1: 0.1364, 5: 0.2824, 10: 0.35479999999999995}"
471177,date_of_birth,P@ks_str,"{1: 0.019799999999999998, 5: 0.0812, 10: 0.1559}"
471177,place_of_death,P@ks_str,"{1: 0.0632, 5: 0.1079, 10: 0.131}"
22437,place_of_birth,P@ks_str,"{1: 0.0137, 5: 0.0483, 10: 0.08070000000000001}"
22437,date_of_birth,P@ks_str,"{1: 0.015300000000000001, 5: 0.0658, 10: 0.13419999999999999}"
22437,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0077}"
583362,place_of_birth,P@ks_str,"{1: 0.1281, 5: 0.2562, 10: 0.3078}"
583362,date_of_birth,P@ks_str,"{1: 0.0147, 5: 0.0875, 10: 0.16870000000000002}"
583362,place_of_death,P@ks_str,"{1: 0.0401, 5: 0.077, 10: 0.08779999999999999}"
134622,place_of_birth,P@ks_str,"{1: 0.0894, 5: 0.223, 10: 0.2766}"
134622,date_of_birth,P@ks_str,"{1: 0.019799999999999998, 5: 0.0824, 10: 0.154}"
134622,place_of_death,P@ks_str,"{1: 0.0046, 5: 0.0092, 10: 0.0139}"
426303,place_of_birth,P@ks_str,"{1: 0.1023, 5: 0.2446, 10: 0.3157}"
426303,date_of_birth,P@ks_str,"{1: 0.0121, 5: 0.069, 10: 0.1617}"
426303,place_of_death,P@ks_str,"{1: 0.024700000000000003, 5: 0.0462, 10: 0.057}"
605799,place_of_birth,P@ks_str,"{1: 0.1456, 5: 0.2924, 10: 0.3532}"
605799,date_of_birth,P@ks_str,"{1: 0.0121, 5: 0.0767, 10: 0.1585}"
605799,place_of_death,P@ks_str,"{1: 0.08470000000000001, 5: 0.1371, 10: 0.1495}"
403866,place_of_birth,P@ks_str,"{1: 0.13390000000000002, 5: 0.287, 10: 0.35979999999999995}"
403866,date_of_birth,P@ks_str,"{1: 0.015300000000000001, 5: 0.0722, 10: 0.1585}"
403866,place_of_death,P@ks_str,"{1: 0.0154, 5: 0.0277, 10: 0.0416}"
157059,place_of_birth,P@ks_str,"{1: 0.07780000000000001, 5: 0.1797, 10: 0.21710000000000002}"
157059,date_of_birth,P@ks_str,"{1: 0.016, 5: 0.0843, 10: 0.1489}"
157059,place_of_death,P@ks_str,"{1: 0.0339, 5: 0.0555, 10: 0.0647}"
448740,place_of_birth,P@ks_str,"{1: 0.1439, 5: 0.2879, 10: 0.3611}"
448740,date_of_birth,P@ks_str,"{1: 0.0128, 5: 0.0665, 10: 0.1572}"
448740,place_of_death,P@ks_str,"{1: 0.0139, 5: 0.0231, 10: 0.0277}"
201933,place_of_birth,P@ks_str,"{1: 0.0599, 5: 0.1855, 10: 0.2267}"
201933,date_of_birth,P@ks_str,"{1: 0.0147, 5: 0.0665, 10: 0.1565}"
201933,place_of_death,P@ks_str,"{1: 0.0092, 5: 0.037000000000000005, 10: 0.0431}"
358992,place_of_birth,P@ks_str,"{1: 0.1144, 5: 0.27949999999999997, 10: 0.3644}"
358992,date_of_birth,P@ks_str,"{1: 0.0121, 5: 0.0748, 10: 0.1655}"
358992,place_of_death,P@ks_str,"{1: 0.0462, 5: 0.0678, 10: 0.0863}"
650673,place_of_birth,P@ks_str,"{1: 0.08990000000000001, 5: 0.1477, 10: 0.1789}"
650673,date_of_birth,P@ks_str,"{1: 0.0166, 5: 0.0888, 10: 0.1732}"
650673,place_of_death,P@ks_str,"{1: 0.0046, 5: 0.018500000000000003, 10: 0.0277}"
246807,place_of_birth,P@ks_str,"{1: 0.079, 5: 0.2047, 10: 0.25670000000000004}"
246807,date_of_birth,P@ks_str,"{1: 0.0109, 5: 0.0767, 10: 0.1534}"
246807,place_of_death,P@ks_str,"{1: 0.0108, 5: 0.018500000000000003, 10: 0.0231}"
740421,place_of_birth,P@ks_str,"{1: 0.1265, 5: 0.2051, 10: 0.23420000000000002}"
740421,date_of_birth,P@ks_str,"{1: 0.019799999999999998, 5: 0.0786, 10: 0.1597}"
740421,place_of_death,P@ks_str,"{1: 0.0616, 5: 0.094, 10: 0.1125}"
762858,place_of_birth,P@ks_str,"{1: 0.1418, 5: 0.2837, 10: 0.3465}"
762858,date_of_birth,P@ks_str,"{1: 0.0141, 5: 0.0767, 10: 0.17190000000000003}"
762858,place_of_death,P@ks_str,"{1: 0.0924, 5: 0.1757, 10: 0.2018}"
785295,place_of_birth,P@ks_str,"{1: 0.1094, 5: 0.2205, 10: 0.2596}"
785295,date_of_birth,P@ks_str,"{1: 0.0204, 5: 0.0882, 10: 0.1604}"
785295,place_of_death,P@ks_str,"{1: 0.0601, 5: 0.1032, 10: 0.11560000000000001}"
717984,place_of_birth,P@ks_str,"{1: 0.1015, 5: 0.1859, 10: 0.21420000000000003}"
717984,date_of_birth,P@ks_str,"{1: 0.0192, 5: 0.0843, 10: 0.17}"
717984,place_of_death,P@ks_str,"{1: 0.0462, 5: 0.07400000000000001, 10: 0.0801}"
314118,place_of_birth,P@ks_str,"{1: 0.1356, 5: 0.2729, 10: 0.35359999999999997}"
314118,date_of_birth,P@ks_str,"{1: 0.0179, 5: 0.0716, 10: 0.1489}"
314118,place_of_death,P@ks_str,"{1: 0.0046, 5: 0.0108, 10: 0.0108}"
291681,place_of_birth,P@ks_str,"{1: 0.11359999999999999, 5: 0.2421, 10: 0.2966}"
291681,date_of_birth,P@ks_str,"{1: 0.0128, 5: 0.0703, 10: 0.1476}"
291681,place_of_death,P@ks_str,"{1: 0.0169, 5: 0.024700000000000003, 10: 0.0277}"
560925,place_of_birth,P@ks_str,"{1: 0.1448, 5: 0.2966, 10: 0.3835}"
560925,date_of_birth,P@ks_str,"{1: 0.0236, 5: 0.099, 10: 0.1827}"
560925,place_of_death,P@ks_str,"{1: 0.0478, 5: 0.077, 10: 0.0894}"
112185,place_of_birth,P@ks_str,"{1: 0.0603, 5: 0.1631, 10: 0.1909}"
112185,date_of_birth,P@ks_str,"{1: 0.0173, 5: 0.0812, 10: 0.1623}"
112185,place_of_death,P@ks_str,"{1: 0.0139, 5: 0.0216, 10: 0.032400000000000005}"
493614,place_of_birth,P@ks_str,"{1: 0.1119, 5: 0.2463, 10: 0.31989999999999996}"
493614,date_of_birth,P@ks_str,"{1: 0.019799999999999998, 5: 0.085, 10: 0.1655}"
493614,place_of_death,P@ks_str,"{1: 0.0416, 5: 0.0801, 10: 0.0955}"
44874,place_of_birth,P@ks_str,"{1: 0.0354, 5: 0.1015, 10: 0.1377}"
44874,date_of_birth,P@ks_str,"{1: 0.0096, 5: 0.0767, 10: 0.154}"
44874,place_of_death,P@ks_str,"{1: 0.0015, 5: 0.0015, 10: 0.0015}"
897480,place_of_birth,P@ks_str,"{1: 0.1452, 5: 0.2783, 10: 0.3328}"
897480,date_of_birth,P@ks_str,"{1: 0.0173, 5: 0.0799, 10: 0.1578}"
897480,place_of_death,P@ks_str,"{1: 0.058600000000000006, 5: 0.1032, 10: 0.1202}"
516051,place_of_birth,P@ks_str,"{1: 0.1485, 5: 0.2912, 10: 0.37229999999999996}"
516051,date_of_birth,P@ks_str,"{1: 0.019799999999999998, 5: 0.0818, 10: 0.1591}"
516051,place_of_death,P@ks_str,"{1: 0.0123, 5: 0.0262, 10: 0.0354}"
