checkpoint (in update steps),relation_type,metric_name,metric
12800,test,P@ks_str,"{1: 0.013999999999999999, 5: 0.0385, 10: 0.0664}"
10,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
100000,test,P@ks_str,"{1: 0.0385, 5: 0.1783, 10: 0.2378}"
380000,test,P@ks_str,"{1: 0.0699, 5: 0.2273, 10: 0.2937}"
120000,test,P@ks_str,"{1: 0.0455, 5: 0.1818, 10: 0.2483}"
20,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
0,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
160000,test,P@ks_str,"{1: 0.0455, 5: 0.2028, 10: 0.29719999999999996}"
100,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
140000,test,P@ks_str,"{1: 0.0524, 5: 0.18530000000000002, 10: 0.2692}"
280000,test,P@ks_str,"{1: 0.0629, 5: 0.2273, 10: 0.3007}"
660000,test,P@ks_str,"{1: 0.09789999999999999, 5: 0.2552, 10: 0.34619999999999995}"
720000,test,P@ks_str,"{1: 0.07690000000000001, 5: 0.24480000000000002, 10: 0.32520000000000004}"
20000,test,P@ks_str,"{1: 0.0175, 5: 0.0594, 10: 0.10490000000000001}"
980000,test,P@ks_str,"{1: 0.09789999999999999, 5: 0.2832, 10: 0.3497}"
640000,test,P@ks_str,"{1: 0.07690000000000001, 5: 0.2483, 10: 0.3287}"
700000,test,P@ks_str,"{1: 0.0944, 5: 0.24480000000000002, 10: 0.34619999999999995}"
580000,test,P@ks_str,"{1: 0.0839, 5: 0.2657, 10: 0.3357}"
3200,test,P@ks_str,"{1: 0.0, 5: 0.006999999999999999, 10: 0.013999999999999999}"
740000,test,P@ks_str,"{1: 0.0909, 5: 0.24480000000000002, 10: 0.3322}"
600000,test,P@ks_str,"{1: 0.08039999999999999, 5: 0.23079999999999998, 10: 0.31120000000000003}"
480000,test,P@ks_str,"{1: 0.0699, 5: 0.23079999999999998, 10: 0.31120000000000003}"
40000,test,P@ks_str,"{1: 0.021, 5: 0.1014, 10: 0.1469}"
880000,test,P@ks_str,"{1: 0.0944, 5: 0.2832, 10: 0.3601}"
60000,test,P@ks_str,"{1: 0.035, 5: 0.1294, 10: 0.20629999999999998}"
800,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
760000,test,P@ks_str,"{1: 0.0839, 5: 0.2657, 10: 0.34619999999999995}"
620000,test,P@ks_str,"{1: 0.08039999999999999, 5: 0.24480000000000002, 10: 0.32170000000000004}"
200,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
840000,test,P@ks_str,"{1: 0.09789999999999999, 5: 0.2937, 10: 0.3566}"
900000,test,P@ks_str,"{1: 0.09789999999999999, 5: 0.2937, 10: 0.3636}"
520000,test,P@ks_str,"{1: 0.1014, 5: 0.2622, 10: 0.3357}"
460000,test,P@ks_str,"{1: 0.08039999999999999, 5: 0.22030000000000002, 10: 0.3007}"
40,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
780000,test,P@ks_str,"{1: 0.0944, 5: 0.2937, 10: 0.3392}"
