checkpoint (in update steps),relation_type,metric_name,metric
906655,test,P@ks_str,"{1: 0.1014, 5: 0.2832, 10: 0.3497}"
927740,test,P@ks_str,"{1: 0.0874, 5: 0.2692, 10: 0.3357}"
210850,test,P@ks_str,"{1: 0.0455, 5: 0.1923, 10: 0.2867}"
358445,test,P@ks_str,"{1: 0.0629, 5: 0.20980000000000001, 10: 0.3007}"
168680,test,P@ks_str,"{1: 0.0559, 5: 0.2028, 10: 0.2657}"
590380,test,P@ks_str,"{1: 0.07690000000000001, 5: 0.2483, 10: 0.3147}"
442785,test,P@ks_str,"{1: 0.07690000000000001, 5: 0.2378, 10: 0.32170000000000004}"
21085,test,P@ks_str,"{1: 0.027999999999999997, 5: 0.0629, 10: 0.0874}"
548210,test,P@ks_str,"{1: 0.07690000000000001, 5: 0.24480000000000002, 10: 0.3182}"
126510,test,P@ks_str,"{1: 0.049, 5: 0.1573, 10: 0.2413}"
400615,test,P@ks_str,"{1: 0.0839, 5: 0.2133, 10: 0.2797}"
948825,test,P@ks_str,"{1: 0.0874, 5: 0.2797, 10: 0.3427}"
885570,test,P@ks_str,"{1: 0.0909, 5: 0.2797, 10: 0.34619999999999995}"
569295,test,P@ks_str,"{1: 0.0874, 5: 0.23079999999999998, 10: 0.3042}"
379530,test,P@ks_str,"{1: 0.0839, 5: 0.2552, 10: 0.3287}"
147595,test,P@ks_str,"{1: 0.0559, 5: 0.1888, 10: 0.25170000000000003}"
421700,test,P@ks_str,"{1: 0.0699, 5: 0.23079999999999998, 10: 0.2867}"
189765,test,P@ks_str,"{1: 0.0699, 5: 0.2168, 10: 0.3007}"
337360,test,P@ks_str,"{1: 0.08039999999999999, 5: 0.20629999999999998, 10: 0.2797}"
611465,test,P@ks_str,"{1: 0.0559, 5: 0.24480000000000002, 10: 0.32520000000000004}"
231935,test,P@ks_str,"{1: 0.0699, 5: 0.1888, 10: 0.2832}"
695805,test,P@ks_str,"{1: 0.08039999999999999, 5: 0.2378, 10: 0.3357}"
716890,test,P@ks_str,"{1: 0.0839, 5: 0.2657, 10: 0.32170000000000004}"
737975,test,P@ks_str,"{1: 0.0699, 5: 0.2343, 10: 0.3287}"
674720,test,P@ks_str,"{1: 0.07339999999999999, 5: 0.2413, 10: 0.31120000000000003}"
295190,test,P@ks_str,"{1: 0.0594, 5: 0.1993, 10: 0.2762}"
274105,test,P@ks_str,"{1: 0.0839, 5: 0.2168, 10: 0.2797}"
527125,test,P@ks_str,"{1: 0.0629, 5: 0.24480000000000002, 10: 0.3077}"
105425,test,P@ks_str,"{1: 0.049, 5: 0.1573, 10: 0.2378}"
463870,test,P@ks_str,"{1: 0.07339999999999999, 5: 0.2378, 10: 0.31120000000000003}"
42170,test,P@ks_str,"{1: 0.027999999999999997, 5: 0.0874, 10: 0.12240000000000001}"
990995,test,P@ks_str,"{1: 0.08039999999999999, 5: 0.2762, 10: 0.3427}"
843400,test,P@ks_str,"{1: 0.0874, 5: 0.2762, 10: 0.3357}"
484955,test,P@ks_str,"{1: 0.0594, 5: 0.2343, 10: 0.3182}"
63255,test,P@ks_str,"{1: 0.0315, 5: 0.1189, 10: 0.17129999999999998}"
506040,test,P@ks_str,"{1: 0.07690000000000001, 5: 0.2028, 10: 0.3042}"
84340,test,P@ks_str,"{1: 0.0385, 5: 0.11539999999999999, 10: 0.20980000000000001}"
253020,test,P@ks_str,"{1: 0.0455, 5: 0.22030000000000002, 10: 0.3077}"
316275,test,P@ks_str,"{1: 0.0909, 5: 0.2378, 10: 0.3147}"
864485,test,P@ks_str,"{1: 0.07339999999999999, 5: 0.2692, 10: 0.3427}"
969910,test,P@ks_str,"{1: 0.0839, 5: 0.2762, 10: 0.3357}"
1012080,test,P@ks_str,"{1: 0.0839, 5: 0.2762, 10: 0.34619999999999995}"
780145,test,P@ks_str,"{1: 0.0699, 5: 0.24480000000000002, 10: 0.3287}"
632550,test,P@ks_str,"{1: 0.0594, 5: 0.2343, 10: 0.2867}"
822315,test,P@ks_str,"{1: 0.0839, 5: 0.25170000000000003, 10: 0.3287}"
801230,test,P@ks_str,"{1: 0.0909, 5: 0.2343, 10: 0.3357}"
653635,test,P@ks_str,"{1: 0.0699, 5: 0.2378, 10: 0.3147}"
759060,test,P@ks_str,"{1: 0.0874, 5: 0.2867, 10: 0.3636}"
10,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
20,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
0,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
100,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
800,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
200,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
40,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
400,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
