checkpoint (in update steps),relation_type,metric_name,metric
66694,test,P@ks_str,"{1: 0.0524, 5: 0.15380000000000002, 10: 0.2343}"
133388,test,P@ks_str,"{1: 0.0524, 5: 0.1993, 10: 0.2902}"
200082,test,P@ks_str,"{1: 0.0559, 5: 0.2343, 10: 0.3147}"
266776,test,P@ks_str,"{1: 0.1014, 5: 0.2413, 10: 0.3147}"
12800,test,P@ks_str,"{1: 0.0105, 5: 0.0455, 10: 0.0629}"
10,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
100000,test,P@ks_str,"{1: 0.0315, 5: 0.1923, 10: 0.2797}"
380000,test,P@ks_str,"{1: 0.08039999999999999, 5: 0.2587, 10: 0.3392}"
120000,test,P@ks_str,"{1: 0.0524, 5: 0.2133, 10: 0.2797}"
20,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
0,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
160000,test,P@ks_str,"{1: 0.0699, 5: 0.1923, 10: 0.2902}"
100,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
140000,test,P@ks_str,"{1: 0.0455, 5: 0.18530000000000002, 10: 0.2762}"
280000,test,P@ks_str,"{1: 0.0909, 5: 0.25170000000000003, 10: 0.3322}"
660000,test,P@ks_str,"{1: 0.1294, 5: 0.2867, 10: 0.39159999999999995}"
720000,test,P@ks_str,"{1: 0.11539999999999999, 5: 0.31120000000000003, 10: 0.4021}"
20000,test,P@ks_str,"{1: 0.021, 5: 0.07339999999999999, 10: 0.1014}"
980000,test,P@ks_str,"{1: 0.1189, 5: 0.3357, 10: 0.41259999999999997}"
640000,test,P@ks_str,"{1: 0.0944, 5: 0.2657, 10: 0.3671}"
700000,test,P@ks_str,"{1: 0.1084, 5: 0.29719999999999996, 10: 0.3846}"
580000,test,P@ks_str,"{1: 0.11539999999999999, 5: 0.2692, 10: 0.3636}"
3200,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0034999999999999996}"
740000,test,P@ks_str,"{1: 0.09789999999999999, 5: 0.2762, 10: 0.3846}"
600000,test,P@ks_str,"{1: 0.0909, 5: 0.2552, 10: 0.3566}"
480000,test,P@ks_str,"{1: 0.09789999999999999, 5: 0.2552, 10: 0.3427}"
40000,test,P@ks_str,"{1: 0.0245, 5: 0.10490000000000001, 10: 0.1818}"
880000,test,P@ks_str,"{1: 0.1294, 5: 0.3287, 10: 0.39159999999999995}"
60000,test,P@ks_str,"{1: 0.0455, 5: 0.1364, 10: 0.2238}"
800,test,P@ks_str,"{1: 0.0, 5: 0.0034999999999999996, 10: 0.0034999999999999996}"
760000,test,P@ks_str,"{1: 0.1189, 5: 0.2867, 10: 0.3986}"
620000,test,P@ks_str,"{1: 0.0874, 5: 0.2727, 10: 0.3497}"
200,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
840000,test,P@ks_str,"{1: 0.0944, 5: 0.2937, 10: 0.3951}"
900000,test,P@ks_str,"{1: 0.11539999999999999, 5: 0.3497, 10: 0.41960000000000003}"
520000,test,P@ks_str,"{1: 0.11539999999999999, 5: 0.25170000000000003, 10: 0.3531}"
460000,test,P@ks_str,"{1: 0.0909, 5: 0.2902, 10: 0.3671}"
40,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
780000,test,P@ks_str,"{1: 0.1189, 5: 0.3147, 10: 0.39159999999999995}"
500000,test,P@ks_str,"{1: 0.0839, 5: 0.2552, 10: 0.3601}"
440000,test,P@ks_str,"{1: 0.1014, 5: 0.2552, 10: 0.3287}"
80000,test,P@ks_str,"{1: 0.049, 5: 0.1573, 10: 0.22030000000000002}"
860000,test,P@ks_str,"{1: 0.1189, 5: 0.3287, 10: 0.3986}"
920000,test,P@ks_str,"{1: 0.11539999999999999, 5: 0.3322, 10: 0.40909999999999996}"
960000,test,P@ks_str,"{1: 0.1189, 5: 0.3322, 10: 0.4056}"
820000,test,P@ks_str,"{1: 0.1119, 5: 0.29719999999999996, 10: 0.3986}"
680000,test,P@ks_str,"{1: 0.1259, 5: 0.2902, 10: 0.3881}"
400000,test,P@ks_str,"{1: 0.0909, 5: 0.2483, 10: 0.3776}"
540000,test,P@ks_str,"{1: 0.07339999999999999, 5: 0.2483, 10: 0.3427}"
1600,test,P@ks_str,"{1: 0.0, 5: 0.0034999999999999996, 10: 0.0034999999999999996}"
420000,test,P@ks_str,"{1: 0.0874, 5: 0.2273, 10: 0.3147}"
560000,test,P@ks_str,"{1: 0.1084, 5: 0.2622, 10: 0.3497}"
940000,test,P@ks_str,"{1: 0.1189, 5: 0.3287, 10: 0.4056}"
800000,test,P@ks_str,"{1: 0.12240000000000001, 5: 0.3042, 10: 0.3811}"
180000,test,P@ks_str,"{1: 0.0559, 5: 0.2133, 10: 0.3042}"
240000,test,P@ks_str,"{1: 0.0559, 5: 0.2413, 10: 0.3182}"
