checkpoint (in update steps),relation_type,metric_name,metric
996396,test,P@ks_str,"{1: 0.0315, 5: 0.0944, 10: 0.1119}"
1019568,test,P@ks_str,"{1: 0.0315, 5: 0.0944, 10: 0.1084}"
231720,test,P@ks_str,"{1: 0.013999999999999999, 5: 0.0315, 10: 0.0559}"
393924,test,P@ks_str,"{1: 0.0245, 5: 0.049, 10: 0.07690000000000001}"
185376,test,P@ks_str,"{1: 0.021, 5: 0.0385, 10: 0.0524}"
648816,test,P@ks_str,"{1: 0.027999999999999997, 5: 0.08039999999999999, 10: 0.1014}"
486612,test,P@ks_str,"{1: 0.0175, 5: 0.0629, 10: 0.07339999999999999}"
23172,test,P@ks_str,"{1: 0.006999999999999999, 5: 0.021, 10: 0.0385}"
602472,test,P@ks_str,"{1: 0.0175, 5: 0.0699, 10: 0.0944}"
139032,test,P@ks_str,"{1: 0.013999999999999999, 5: 0.0385, 10: 0.0559}"
440268,test,P@ks_str,"{1: 0.0175, 5: 0.0559, 10: 0.08039999999999999}"
973224,test,P@ks_str,"{1: 0.035, 5: 0.0909, 10: 0.11539999999999999}"
625644,test,P@ks_str,"{1: 0.0245, 5: 0.0839, 10: 0.09789999999999999}"
417096,test,P@ks_str,"{1: 0.013999999999999999, 5: 0.0385, 10: 0.0559}"
162204,test,P@ks_str,"{1: 0.0175, 5: 0.035, 10: 0.0524}"
463440,test,P@ks_str,"{1: 0.0175, 5: 0.042, 10: 0.0559}"
208548,test,P@ks_str,"{1: 0.013999999999999999, 5: 0.0245, 10: 0.042}"
370752,test,P@ks_str,"{1: 0.006999999999999999, 5: 0.042, 10: 0.0629}"
671988,test,P@ks_str,"{1: 0.027999999999999997, 5: 0.07690000000000001, 10: 0.1084}"
254892,test,P@ks_str,"{1: 0.0034999999999999996, 5: 0.0385, 10: 0.0559}"
764676,test,P@ks_str,"{1: 0.0245, 5: 0.09789999999999999, 10: 0.1329}"
787848,test,P@ks_str,"{1: 0.0315, 5: 0.1084, 10: 0.1434}"
811020,test,P@ks_str,"{1: 0.0245, 5: 0.08039999999999999, 10: 0.11539999999999999}"
741504,test,P@ks_str,"{1: 0.0315, 5: 0.08039999999999999, 10: 0.1014}"
324408,test,P@ks_str,"{1: 0.0175, 5: 0.042, 10: 0.0629}"
301236,test,P@ks_str,"{1: 0.006999999999999999, 5: 0.049, 10: 0.0524}"
579300,test,P@ks_str,"{1: 0.0175, 5: 0.0664, 10: 0.0909}"
115860,test,P@ks_str,"{1: 0.0105, 5: 0.035, 10: 0.035}"
509784,test,P@ks_str,"{1: 0.021, 5: 0.049, 10: 0.0629}"
46344,test,P@ks_str,"{1: 0.006999999999999999, 5: 0.035, 10: 0.0455}"
926880,test,P@ks_str,"{1: 0.0245, 5: 0.08039999999999999, 10: 0.1084}"
532956,test,P@ks_str,"{1: 0.0175, 5: 0.0524, 10: 0.0664}"
69516,test,P@ks_str,"{1: 0.006999999999999999, 5: 0.0245, 10: 0.0315}"
556128,test,P@ks_str,"{1: 0.0175, 5: 0.049, 10: 0.0699}"
92688,test,P@ks_str,"{1: 0.0105, 5: 0.035, 10: 0.049}"
278064,test,P@ks_str,"{1: 0.0105, 5: 0.049, 10: 0.0699}"
347580,test,P@ks_str,"{1: 0.0175, 5: 0.042, 10: 0.0699}"
950052,test,P@ks_str,"{1: 0.0315, 5: 0.0944, 10: 0.1294}"
857364,test,P@ks_str,"{1: 0.035, 5: 0.07690000000000001, 10: 0.11539999999999999}"
695160,test,P@ks_str,"{1: 0.0315, 5: 0.07339999999999999, 10: 0.1084}"
903708,test,P@ks_str,"{1: 0.042, 5: 0.0839, 10: 0.1189}"
880536,test,P@ks_str,"{1: 0.013999999999999999, 5: 0.07690000000000001, 10: 0.1119}"
718332,test,P@ks_str,"{1: 0.0385, 5: 0.0909, 10: 0.1119}"
834192,test,P@ks_str,"{1: 0.021, 5: 0.07690000000000001, 10: 0.1119}"
10,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
20,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
0,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
100,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
800,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0034999999999999996}"
200,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
40,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
400,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
