checkpoint (in update steps),relation_type,metric_name,metric
545904,test,P@ks_str,"{1: 0.0944, 5: 0.3007, 10: 0.3741}"
568650,test,P@ks_str,"{1: 0.0909, 5: 0.29719999999999996, 10: 0.3741}"
614142,test,P@ks_str,"{1: 0.1119, 5: 0.3042, 10: 0.3811}"
159222,test,P@ks_str,"{1: 0.08039999999999999, 5: 0.2587, 10: 0.3357}"
45492,test,P@ks_str,"{1: 0.049, 5: 0.1469, 10: 0.20629999999999998}"
341190,test,P@ks_str,"{1: 0.09789999999999999, 5: 0.3182, 10: 0.41609999999999997}"
318444,test,P@ks_str,"{1: 0.0874, 5: 0.2902, 10: 0.39159999999999995}"
659634,test,P@ks_str,"{1: 0.12240000000000001, 5: 0.3182, 10: 0.3671}"
204714,test,P@ks_str,"{1: 0.0699, 5: 0.2657, 10: 0.3601}"
136476,test,P@ks_str,"{1: 0.0839, 5: 0.2832, 10: 0.34619999999999995}"
68238,test,P@ks_str,"{1: 0.0524, 5: 0.1643, 10: 0.24480000000000002}"
818856,test,P@ks_str,"{1: 0.1329, 5: 0.3147, 10: 0.3846}"
864348,test,P@ks_str,"{1: 0.10490000000000001, 5: 0.3427, 10: 0.40909999999999996}"
932586,test,P@ks_str,"{1: 0.12240000000000001, 5: 0.32520000000000004, 10: 0.4056}"
250206,test,P@ks_str,"{1: 0.07690000000000001, 5: 0.2622, 10: 0.3531}"
386682,test,P@ks_str,"{1: 0.12240000000000001, 5: 0.2937, 10: 0.3881}"
523158,test,P@ks_str,"{1: 0.0944, 5: 0.2867, 10: 0.3671}"
454920,test,P@ks_str,"{1: 0.09789999999999999, 5: 0.3077, 10: 0.3601}"
705126,test,P@ks_str,"{1: 0.1189, 5: 0.29719999999999996, 10: 0.3497}"
500412,test,P@ks_str,"{1: 0.1084, 5: 0.2797, 10: 0.3776}"
432174,test,P@ks_str,"{1: 0.1014, 5: 0.2902, 10: 0.3671}"
591396,test,P@ks_str,"{1: 0.1084, 5: 0.31120000000000003, 10: 0.3811}"
22746,test,P@ks_str,"{1: 0.0315, 5: 0.0839, 10: 0.12240000000000001}"
181968,test,P@ks_str,"{1: 0.0909, 5: 0.2727, 10: 0.3531}"
90984,test,P@ks_str,"{1: 0.0594, 5: 0.1993, 10: 0.2727}"
113730,test,P@ks_str,"{1: 0.0664, 5: 0.2378, 10: 0.32170000000000004}"
636888,test,P@ks_str,"{1: 0.0944, 5: 0.3147, 10: 0.3741}"
363936,test,P@ks_str,"{1: 0.0909, 5: 0.2832, 10: 0.3636}"
773364,test,P@ks_str,"{1: 0.1119, 5: 0.3147, 10: 0.3846}"
796110,test,P@ks_str,"{1: 0.1119, 5: 0.3007, 10: 0.3636}"
1000824,test,P@ks_str,"{1: 0.09789999999999999, 5: 0.34619999999999995, 10: 0.40909999999999996}"
955332,test,P@ks_str,"{1: 0.1084, 5: 0.34619999999999995, 10: 0.4056}"
887094,test,P@ks_str,"{1: 0.1119, 5: 0.3147, 10: 0.40909999999999996}"
978078,test,P@ks_str,"{1: 0.1014, 5: 0.34619999999999995, 10: 0.4056}"
841602,test,P@ks_str,"{1: 0.0874, 5: 0.29719999999999996, 10: 0.3951}"
909840,test,P@ks_str,"{1: 0.1259, 5: 0.32520000000000004, 10: 0.41609999999999997}"
750618,test,P@ks_str,"{1: 0.09789999999999999, 5: 0.31120000000000003, 10: 0.40909999999999996}"
682380,test,P@ks_str,"{1: 0.1014, 5: 0.3007, 10: 0.3671}"
477666,test,P@ks_str,"{1: 0.09789999999999999, 5: 0.2902, 10: 0.39159999999999995}"
227460,test,P@ks_str,"{1: 0.0699, 5: 0.25170000000000003, 10: 0.3497}"
295698,test,P@ks_str,"{1: 0.0629, 5: 0.2867, 10: 0.3951}"
727872,test,P@ks_str,"{1: 0.11539999999999999, 5: 0.3042, 10: 0.3776}"
409428,test,P@ks_str,"{1: 0.07690000000000001, 5: 0.29719999999999996, 10: 0.3811}"
272952,test,P@ks_str,"{1: 0.07339999999999999, 5: 0.2552, 10: 0.3741}"
10,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
20,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
0,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
100,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
800,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0034999999999999996}"
200,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
40,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
400,test,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
