checkpoint (in update steps),relation_type,metric_name,metric
224370,test,P@ks_str,"{1: 0.1014, 5: 0.2552, 10: 0.3531}"
381429,test,P@ks_str,"{1: 0.12240000000000001, 5: 0.2937, 10: 0.3986}"
179496,test,P@ks_str,"{1: 0.08039999999999999, 5: 0.24480000000000002, 10: 0.32520000000000004}"
628236,test,P@ks_str,"{1: 0.1259, 5: 0.3042, 10: 0.42310000000000003}"
471177,test,P@ks_str,"{1: 0.1119, 5: 0.2867, 10: 0.40909999999999996}"
22437,test,P@ks_str,"{1: 0.0105, 5: 0.09789999999999999, 10: 0.1364}"
583362,test,P@ks_str,"{1: 0.1294, 5: 0.3636, 10: 0.4301}"
134622,test,P@ks_str,"{1: 0.07339999999999999, 5: 0.2378, 10: 0.31120000000000003}"
426303,test,P@ks_str,"{1: 0.1119, 5: 0.3042, 10: 0.3811}"
605799,test,P@ks_str,"{1: 0.1364, 5: 0.3147, 10: 0.3951}"
403866,test,P@ks_str,"{1: 0.1119, 5: 0.2937, 10: 0.39159999999999995}"
157059,test,P@ks_str,"{1: 0.0839, 5: 0.2587, 10: 0.32520000000000004}"
448740,test,P@ks_str,"{1: 0.1259, 5: 0.31120000000000003, 10: 0.4056}"
201933,test,P@ks_str,"{1: 0.0874, 5: 0.24480000000000002, 10: 0.32520000000000004}"
358992,test,P@ks_str,"{1: 0.07339999999999999, 5: 0.2587, 10: 0.3531}"
650673,test,P@ks_str,"{1: 0.1189, 5: 0.32520000000000004, 10: 0.40909999999999996}"
246807,test,P@ks_str,"{1: 0.0874, 5: 0.25170000000000003, 10: 0.31120000000000003}"
740421,test,P@ks_str,"{1: 0.1189, 5: 0.3357, 10: 0.4266}"
762858,test,P@ks_str,"{1: 0.1189, 5: 0.3497, 10: 0.4301}"
785295,test,P@ks_str,"{1: 0.1364, 5: 0.32170000000000004, 10: 0.4336}"
717984,test,P@ks_str,"{1: 0.1189, 5: 0.3007, 10: 0.4301}"
314118,test,P@ks_str,"{1: 0.0944, 5: 0.2762, 10: 0.34619999999999995}"
291681,test,P@ks_str,"{1: 0.09789999999999999, 5: 0.2797, 10: 0.3636}"
560925,test,P@ks_str,"{1: 0.1084, 5: 0.3042, 10: 0.3881}"
112185,test,P@ks_str,"{1: 0.0664, 5: 0.2273, 10: 0.29719999999999996}"
493614,test,P@ks_str,"{1: 0.11539999999999999, 5: 0.2832, 10: 0.3951}"
44874,test,P@ks_str,"{1: 0.0315, 5: 0.1364, 10: 0.2133}"
897480,test,P@ks_str,"{1: 0.12240000000000001, 5: 0.32520000000000004, 10: 0.4336}"
516051,test,P@ks_str,"{1: 0.1014, 5: 0.3392, 10: 0.3846}"
67311,test,P@ks_str,"{1: 0.0455, 5: 0.1818, 10: 0.2552}"
538488,test,P@ks_str,"{1: 0.11539999999999999, 5: 0.3077, 10: 0.3811}"
