checkpoint (in update steps),relation_type,metric_name,metric
0,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
0,N-1,P@ks_str,"{1: 0.0, 5: 0.00024782608695652177, 10: 0.00044782608695652175}"
0,N-M,P@ks_str,"{1: 0.0, 5: 0.00010625000000000001, 10: 0.0002}"
10,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
10,N-1,P@ks_str,"{1: 0.0, 5: 0.00024782608695652177, 10: 0.00044782608695652175}"
10,N-M,P@ks_str,"{1: 0.0, 5: 0.00010625000000000001, 10: 0.0002}"
20,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
20,N-1,P@ks_str,"{1: 0.0, 5: 0.00024782608695652177, 10: 0.00044782608695652175}"
20,N-M,P@ks_str,"{1: 0.0, 5: 0.00010625000000000001, 10: 0.0002}"
40,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
40,N-1,P@ks_str,"{1: 0.0, 5: 4.782608695652174e-05, 10: 0.00024782608695652177}"
40,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0002}"
100,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
100,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
100,N-M,P@ks_str,"{1: 0.0, 5: 0.00030625, 10: 0.0006187499999999999}"
200,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
200,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
200,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
400,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
400,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.00016086956521739132}"
400,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0004375}"
800,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
800,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
800,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
1600,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
1600,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
1600,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
3200,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
3200,N-1,P@ks_str,"{1: 0.0, 5: 0.00015217391304347827, 10: 0.0002}"
3200,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
6400,1-1,P@ks_str,"{1: 0.0028000000000000004, 5: 0.0066500000000000005, 10: 0.01055}"
6400,N-1,P@ks_str,"{1: 0.005921739130434783, 5: 0.01319565217391304, 10: 0.01848695652173913}"
6400,N-M,P@ks_str,"{1: 0.0041, 5: 0.01088125, 10: 0.018062500000000002}"
12800,1-1,P@ks_str,"{1: 0.0178, 5: 0.04965, 10: 0.07730000000000001}"
12800,N-1,P@ks_str,"{1: 0.04661304347826086, 5: 0.09695652173913043, 10: 0.14864347826086954}"
12800,N-M,P@ks_str,"{1: 0.05795, 5: 0.11145625, 10: 0.13375625000000002}"
20000,1-1,P@ks_str,"{1: 0.041400000000000006, 5: 0.15015, 10: 0.20705}"
20000,N-1,P@ks_str,"{1: 0.07514347826086955, 5: 0.17203913043478264, 10: 0.22065217391304348}"
20000,N-M,P@ks_str,"{1: 0.09207499999999999, 5: 0.14345, 10: 0.182325}"
40000,1-1,P@ks_str,"{1: 0.09655, 5: 0.27195, 10: 0.35109999999999997}"
40000,N-1,P@ks_str,"{1: 0.1254913043478261, 5: 0.2596695652173913, 10: 0.3153130434782609}"
40000,N-M,P@ks_str,"{1: 0.111375, 5: 0.19523125, 10: 0.2512875}"
60000,1-1,P@ks_str,"{1: 0.18835, 5: 0.40405, 10: 0.47655000000000003}"
60000,N-1,P@ks_str,"{1: 0.13231739130434783, 5: 0.2768260869565218, 10: 0.33728695652173907}"
60000,N-M,P@ks_str,"{1: 0.107425, 5: 0.2067875, 10: 0.26724375}"
80000,1-1,P@ks_str,"{1: 0.26175, 5: 0.4869, 10: 0.5378499999999999}"
80000,N-1,P@ks_str,"{1: 0.17074347826086955, 5: 0.29834347826086954, 10: 0.3723}"
80000,N-M,P@ks_str,"{1: 0.12021875, 5: 0.2403875000000001, 10: 0.3208937500000001}"
100000,1-1,P@ks_str,"{1: 0.29764999999999997, 5: 0.4834, 10: 0.55365}"
100000,N-1,P@ks_str,"{1: 0.18399565217391306, 5: 0.34231304347826086, 10: 0.40185217391304345}"
100000,N-M,P@ks_str,"{1: 0.13221249999999998, 5: 0.24992499999999998, 10: 0.32356875}"
120000,1-1,P@ks_str,"{1: 0.3669, 5: 0.5649500000000001, 10: 0.6144499999999999}"
120000,N-1,P@ks_str,"{1: 0.20438260869565222, 5: 0.3426521739130435, 10: 0.41884347826086954}"
120000,N-M,P@ks_str,"{1: 0.15240625000000005, 5: 0.27466250000000003, 10: 0.35068125}"
140000,1-1,P@ks_str,"{1: 0.37385, 5: 0.5862499999999999, 10: 0.64595}"
140000,N-1,P@ks_str,"{1: 0.19423478260869564, 5: 0.3536739130434782, 10: 0.43287391304347833}"
140000,N-M,P@ks_str,"{1: 0.16045625, 5: 0.30097500000000005, 10: 0.37314375}"
160000,1-1,P@ks_str,"{1: 0.34919999999999995, 5: 0.5877, 10: 0.6416999999999999}"
160000,N-1,P@ks_str,"{1: 0.19310434782608699, 5: 0.3431130434782609, 10: 0.4212000000000001}"
160000,N-M,P@ks_str,"{1: 0.14353749999999996, 5: 0.28451875000000004, 10: 0.36695}"
180000,1-1,P@ks_str,"{1: 0.36015, 5: 0.5889500000000001, 10: 0.6409}"
180000,N-1,P@ks_str,"{1: 0.19073913043478258, 5: 0.34078260869565213, 10: 0.4153869565217391}"
180000,N-M,P@ks_str,"{1: 0.13295, 5: 0.26139375, 10: 0.3450937499999999}"
200000,1-1,P@ks_str,"{1: 0.42264999999999997, 5: 0.6195999999999999, 10: 0.66525}"
200000,N-1,P@ks_str,"{1: 0.19419999999999998, 5: 0.3552304347826087, 10: 0.4374869565217391}"
200000,N-M,P@ks_str,"{1: 0.14365624999999999, 5: 0.28263750000000004, 10: 0.3707625}"
220000,1-1,P@ks_str,"{1: 0.403, 5: 0.59595, 10: 0.6494}"
220000,N-1,P@ks_str,"{1: 0.2150608695652174, 5: 0.3900652173913044, 10: 0.4660086956521739}"
220000,N-M,P@ks_str,"{1: 0.16156250000000003, 5: 0.3071062499999999, 10: 0.38655000000000006}"
240000,1-1,P@ks_str,"{1: 0.43515000000000004, 5: 0.6227, 10: 0.68345}"
240000,N-1,P@ks_str,"{1: 0.20468260869565222, 5: 0.3561739130434782, 10: 0.43106521739130427}"
240000,N-M,P@ks_str,"{1: 0.14026249999999998, 5: 0.26503125, 10: 0.34396875}"
