checkpoint (in update steps),relation_type,metric_name,metric
906655,N-1,P@ks_str,"{1: 0.0346, 5: 0.09230000000000001, 10: 0.1115}"
906655,N-1,P@ks_str,"{1: 0.0012, 5: 0.0012, 10: 0.0012}"
906655,N-1,P@ks_str,"{1: 0.10529999999999999, 5: 0.2572, 10: 0.33039999999999997}"
906655,N-1,P@ks_str,"{1: 0.2944, 5: 0.6033, 10: 0.7333}"
906655,N-1,P@ks_str,"{1: 0.0, 5: 0.022099999999999998, 10: 0.0998}"
906655,N-1,P@ks_str,"{1: 0.166, 5: 0.5143, 10: 0.7844}"
906655,N-M,P@ks_str,"{1: 0.0276, 5: 0.18280000000000002, 10: 0.2903}"
906655,N-1,P@ks_str,"{1: 0.17600000000000002, 5: 0.3004, 10: 0.35840000000000005}"
906655,N-1,P@ks_str,"{1: 0.3492, 5: 0.6098, 10: 0.7222}"
906655,N-M,P@ks_str,"{1: 0.6945999999999999, 5: 0.7734000000000001, 10: 0.8029999999999999}"
906655,N-M,P@ks_str,"{1: 0.0541, 5: 0.1414, 10: 0.1885}"
906655,N-M,P@ks_str,"{1: 0.0024, 5: 0.084, 10: 0.14859999999999998}"
906655,N-M,P@ks_str,"{1: 0.0377, 5: 0.12869999999999998, 10: 0.182}"
906655,N-M,P@ks_str,"{1: 0.0168, 5: 0.0916, 10: 0.1705}"
906655,N-1,P@ks_str,"{1: 0.6371, 5: 0.7911, 10: 0.8428}"
906655,N-M,P@ks_str,"{1: 0.0, 5: 0.0219, 10: 0.0553}"
906655,N-1,P@ks_str,"{1: 0.0922, 5: 0.15990000000000001, 10: 0.1844}"
906655,N-1,P@ks_str,"{1: 0.0083, 5: 0.025, 10: 0.0407}"
906655,N-M,P@ks_str,"{1: 0.6456999999999999, 5: 0.8177, 10: 0.8722}"
906655,1-1,P@ks_str,"{1: 0.4413, 5: 0.6872, 10: 0.7151000000000001}"
906655,N-1,P@ks_str,"{1: 0.1316, 5: 0.3239, 10: 0.4129}"
906655,N-M,P@ks_str,"{1: 0.4242, 5: 0.8117, 10: 0.8626}"
906655,N-M,P@ks_str,"{1: 0.0397, 5: 0.16399999999999998, 10: 0.25129999999999997}"
906655,N-1,P@ks_str,"{1: 0.0, 5: 0.2643, 10: 0.5146000000000001}"
906655,N-1,P@ks_str,"{1: 0.0493, 5: 0.20829999999999999, 10: 0.2961}"
906655,N-M,P@ks_str,"{1: 0.0, 5: 0.0124, 10: 0.0371}"
906655,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
906655,N-1,P@ks_str,"{1: 0.32030000000000003, 5: 0.46270000000000006, 10: 0.5229}"
906655,N-M,P@ks_str,"{1: 0.1934, 5: 0.3435, 10: 0.4056}"
906655,N-1,P@ks_str,"{1: 0.0138, 5: 0.5184000000000001, 10: 0.5714}"
906655,N-M,P@ks_str,"{1: 0.0078000000000000005, 5: 0.039, 10: 0.2437}"
