checkpoint (in update steps),relation_type,metric_name,metric
0,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
0,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
0,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
10,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
10,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
10,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
20,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
20,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
20,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
40,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
40,N-1,P@ks_str,"{1: 0.0, 5: 4.782608695652174e-05, 10: 4.782608695652174e-05}"
40,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
100,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
100,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
100,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
200,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
200,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 4.782608695652174e-05}"
200,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
400,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
400,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
400,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
800,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
800,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 4.782608695652174e-05}"
800,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
1600,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
1600,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
1600,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
3200,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
3200,N-1,P@ks_str,"{1: 0.0001434782608695652, 5: 0.000291304347826087, 10: 0.00034782608695652176}"
