checkpoint (in update steps),relation_type,metric_name,metric
0,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
0,N-1,P@ks_str,"{1: 0.0, 5: 0.00024782608695652177, 10: 0.00044782608695652175}"
0,N-M,P@ks_str,"{1: 0.0, 5: 0.00010625000000000001, 10: 0.0002}"
10,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
10,N-1,P@ks_str,"{1: 0.0, 5: 0.00024782608695652177, 10: 0.00044782608695652175}"
10,N-M,P@ks_str,"{1: 0.0, 5: 0.00010625000000000001, 10: 0.0002}"
20,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
20,N-1,P@ks_str,"{1: 0.0, 5: 0.00024782608695652177, 10: 0.0005478260869565217}"
20,N-M,P@ks_str,"{1: 0.0, 5: 0.00010625000000000001, 10: 0.0002}"
40,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
40,N-1,P@ks_str,"{1: 0.0, 5: 0.00044782608695652175, 10: 0.0007478260869565218}"
40,N-M,P@ks_str,"{1: 0.00010625000000000001, 5: 0.00010625000000000001, 10: 0.0002}"
100,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
100,N-1,P@ks_str,"{1: 0.0, 5: 4.782608695652174e-05, 10: 0.00030434782608695655}"
100,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.00010625000000000001}"
200,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
200,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
200,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
400,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
400,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 9.565217391304348e-05}"
400,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
800,1-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
800,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
800,N-M,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
23172,1-1,P@ks_str,"{1: 0.00385, 5: 0.02555, 10: 0.03395}"
23172,N-1,P@ks_str,"{1: 0.032499999999999994, 5: 0.08208695652173914, 10: 0.1260043478260869}"
23172,N-M,P@ks_str,"{1: 0.055143750000000005, 5: 0.08904375, 10: 0.12002499999999999}"
46344,1-1,P@ks_str,"{1: 0.022600000000000002, 5: 0.06025, 10: 0.0831}"
46344,N-1,P@ks_str,"{1: 0.0402695652173913, 5: 0.07867826086956523, 10: 0.10333043478260871}"
46344,N-M,P@ks_str,"{1: 0.05845, 5: 0.12085624999999998, 10: 0.14582499999999995}"
69516,1-1,P@ks_str,"{1: 0.023399999999999997, 5: 0.06795, 10: 0.09645000000000001}"
69516,N-1,P@ks_str,"{1: 0.04096521739130434, 5: 0.08118260869565218, 10: 0.11243043478260872}"
69516,N-M,P@ks_str,"{1: 0.06256250000000001, 5: 0.0958, 10: 0.1164}"
92688,1-1,P@ks_str,"{1: 0.0439, 5: 0.11075, 10: 0.1362}"
92688,N-1,P@ks_str,"{1: 0.039208695652173914, 5: 0.0858695652173913, 10: 0.1208}"
92688,N-M,P@ks_str,"{1: 0.05890625, 5: 0.1057375, 10: 0.1385}"
115860,1-1,P@ks_str,"{1: 0.02445, 5: 0.06180000000000001, 10: 0.08125}"
115860,N-1,P@ks_str,"{1: 0.03204782608695652, 5: 0.07082173913043477, 10: 0.0999695652173913}"
115860,N-M,P@ks_str,"{1: 0.05899375, 5: 0.09514375000000001, 10: 0.12014375000000002}"
139032,1-1,P@ks_str,"{1: 0.00215, 5: 0.00745, 10: 0.01235}"
139032,N-1,P@ks_str,"{1: 0.04383478260869566, 5: 0.1552521739130435, 10: 0.1888217391304348}"
139032,N-M,P@ks_str,"{1: 0.056875, 5: 0.10836875000000003, 10: 0.13071875}"
162204,1-1,P@ks_str,"{1: 0.02475, 5: 0.06715, 10: 0.1024}"
162204,N-1,P@ks_str,"{1: 0.041778260869565216, 5: 0.13537391304347826, 10: 0.18653478260869566}"
162204,N-M,P@ks_str,"{1: 0.06373125, 5: 0.11296874999999999, 10: 0.14348750000000002}"
185376,1-1,P@ks_str,"{1: 0.065, 5: 0.1149, 10: 0.14734999999999998}"
185376,N-1,P@ks_str,"{1: 0.04215652173913043, 5: 0.12376086956521738, 10: 0.1650347826086957}"
185376,N-M,P@ks_str,"{1: 0.057362500000000004, 5: 0.10898125000000002, 10: 0.13869375}"
208548,1-1,P@ks_str,"{1: 0.0092, 5: 0.031150000000000004, 10: 0.03965}"
208548,N-1,P@ks_str,"{1: 0.03561739130434783, 5: 0.11872608695652175, 10: 0.16081304347826086}"
208548,N-M,P@ks_str,"{1: 0.0511, 5: 0.1151, 10: 0.14098125000000003}"
231720,1-1,P@ks_str,"{1: 0.02155, 5: 0.0806, 10: 0.1116}"
231720,N-1,P@ks_str,"{1: 0.05440869565217392, 5: 0.15873043478260873, 10: 0.20873478260869566}"
231720,N-M,P@ks_str,"{1: 0.053275, 5: 0.122, 10: 0.1475125}"
254892,1-1,P@ks_str,"{1: 0.022600000000000002, 5: 0.0661, 10: 0.1024}"
254892,N-1,P@ks_str,"{1: 0.03228695652173913, 5: 0.09739565217391306, 10: 0.15776521739130436}"
254892,N-M,P@ks_str,"{1: 0.03918749999999999, 5: 0.10758749999999999, 10: 0.136375}"
278064,1-1,P@ks_str,"{1: 0.01555, 5: 0.031799999999999995, 10: 0.05255}"
278064,N-1,P@ks_str,"{1: 0.035278260869565224, 5: 0.10549130434782612, 10: 0.15623478260869564}"
278064,N-M,P@ks_str,"{1: 0.05263749999999999, 5: 0.1116875, 10: 0.13615000000000002}"
301236,1-1,P@ks_str,"{1: 0.03005, 5: 0.0834, 10: 0.115}"
301236,N-1,P@ks_str,"{1: 0.012795652173913041, 5: 0.03786956521739131, 10: 0.07174782608695651}"
301236,N-M,P@ks_str,"{1: 0.039425, 5: 0.0975, 10: 0.12193124999999999}"
324408,1-1,P@ks_str,"{1: 0.05775, 5: 0.1447, 10: 0.17195}"
324408,N-1,P@ks_str,"{1: 0.05013913043478261, 5: 0.12653043478260867, 10: 0.17059130434782607}"
324408,N-M,P@ks_str,"{1: 0.04909375, 5: 0.12455000000000001, 10: 0.152125}"
347580,1-1,P@ks_str,"{1: 0.0633, 5: 0.14479999999999998, 10: 0.18155}"
347580,N-1,P@ks_str,"{1: 0.035678260869565215, 5: 0.11714347826086959, 10: 0.15487391304347825}"
347580,N-M,P@ks_str,"{1: 0.051312500000000004, 5: 0.11271874999999999, 10: 0.1490625}"
370752,1-1,P@ks_str,"{1: 0.025550000000000003, 5: 0.0765, 10: 0.09775}"
370752,N-1,P@ks_str,"{1: 0.015, 5: 0.043965217391304344, 10: 0.07118260869565217}"
370752,N-M,P@ks_str,"{1: 0.03534375, 5: 0.08148125, 10: 0.10771875}"
