checkpoint (in update steps),relation_type,metric_name,metric
545904,N-1,P@ks_str,"{1: 0.1244, 5: 0.2462, 10: 0.2962}"
545904,N-1,P@ks_str,"{1: 0.2032, 5: 0.2803, 10: 0.3011}"
545904,N-1,P@ks_str,"{1: 0.26940000000000003, 5: 0.5588000000000001, 10: 0.6164000000000001}"
545904,N-1,P@ks_str,"{1: 0.23670000000000002, 5: 0.5344, 10: 0.6778}"
545904,N-1,P@ks_str,"{1: 0.0, 5: 0.0095, 10: 0.0672}"
545904,N-1,P@ks_str,"{1: 0.1066, 5: 0.6357, 10: 0.7348}"
545904,N-M,P@ks_str,"{1: 0.0415, 5: 0.1782, 10: 0.298}"
545904,N-1,P@ks_str,"{1: 0.0837, 5: 0.1996, 10: 0.2639}"
545904,N-1,P@ks_str,"{1: 0.35850000000000004, 5: 0.6296, 10: 0.7169}"
545904,N-M,P@ks_str,"{1: 0.6108, 5: 0.7931, 10: 0.8029999999999999}"
545904,N-M,P@ks_str,"{1: 0.1047, 5: 0.26, 10: 0.3543}"
545904,N-M,P@ks_str,"{1: 0.0158, 5: 0.12789999999999999, 10: 0.2241}"
545904,N-M,P@ks_str,"{1: 0.0167, 5: 0.1297, 10: 0.2029}"
545904,N-M,P@ks_str,"{1: 0.02, 5: 0.10210000000000001, 10: 0.22210000000000002}"
545904,N-1,P@ks_str,"{1: 0.3428, 5: 0.7015, 10: 0.7848}"
545904,N-M,P@ks_str,"{1: 0.001, 5: 0.0898, 10: 0.1388}"
545904,N-1,P@ks_str,"{1: 0.3547, 5: 0.5367999999999999, 10: 0.5904}"
545904,N-1,P@ks_str,"{1: 0.16269999999999998, 5: 0.5579, 10: 0.7278}"
545904,N-M,P@ks_str,"{1: 0.39520000000000005, 5: 0.6167, 10: 0.7240000000000001}"
545904,1-1,P@ks_str,"{1: 0.43579999999999997, 5: 0.6816, 10: 0.7765000000000001}"
545904,N-1,P@ks_str,"{1: 0.1252, 5: 0.35100000000000003, 10: 0.46840000000000004}"
545904,N-M,P@ks_str,"{1: 0.28350000000000003, 5: 0.6158, 10: 0.7023999999999999}"
545904,N-M,P@ks_str,"{1: 0.0132, 5: 0.1508, 10: 0.2937}"
545904,N-1,P@ks_str,"{1: 0.0023, 5: 0.1118, 10: 0.4191}"
545904,N-1,P@ks_str,"{1: 0.2961, 5: 0.5461, 10: 0.6469}"
545904,N-M,P@ks_str,"{1: 0.1423, 5: 0.33399999999999996, 10: 0.4082}"
545904,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
545904,N-1,P@ks_str,"{1: 0.2144, 5: 0.41700000000000004, 10: 0.5007}"
545904,N-M,P@ks_str,"{1: 0.095, 5: 0.1934, 10: 0.2544}"
545904,N-1,P@ks_str,"{1: 0.0046, 5: 0.0622, 10: 0.41009999999999996}"
545904,N-M,P@ks_str,"{1: 0.037000000000000005, 5: 0.11109999999999999, 10: 0.1852}"
545904,N-1,P@ks_str,"{1: 0.20190000000000002, 5: 0.36829999999999996, 10: 0.4879}"
