checkpoint (in update steps),relation_type,metric_name,metric
224370,N-1,P@ks_str,"{1: 0.1167, 5: 0.20379999999999998, 10: 0.2641}"
224370,N-1,P@ks_str,"{1: 0.0796, 5: 0.1065, 10: 0.12359999999999999}"
224370,N-1,P@ks_str,"{1: 0.2306, 5: 0.4268, 10: 0.5033}"
224370,N-1,P@ks_str,"{1: 0.2078, 5: 0.58, 10: 0.6989}"
224370,N-1,P@ks_str,"{1: 0.0063, 5: 0.028399999999999998, 10: 0.15439999999999998}"
224370,N-1,P@ks_str,"{1: 0.0805, 5: 0.2082, 10: 0.46340000000000003}"
224370,N-M,P@ks_str,"{1: 0.0323, 5: 0.149, 10: 0.2657}"
224370,N-1,P@ks_str,"{1: 0.2082, 5: 0.38409999999999994, 10: 0.4571}"
224370,N-1,P@ks_str,"{1: 0.1124, 5: 0.5661, 10: 0.7011}"
224370,N-M,P@ks_str,"{1: 0.7192000000000001, 5: 0.7833, 10: 0.8029999999999999}"
224370,N-M,P@ks_str,"{1: 0.0733, 5: 0.2164, 10: 0.3333}"
224370,N-M,P@ks_str,"{1: 0.0049, 5: 0.0353, 10: 0.0828}"
224370,N-M,P@ks_str,"{1: 0.0042, 5: 0.0262, 10: 0.060700000000000004}"
224370,N-M,P@ks_str,"{1: 0.0011, 5: 0.10529999999999999, 10: 0.2347}"
224370,N-1,P@ks_str,"{1: 0.21100000000000002, 5: 0.4346, 10: 0.5368999999999999}"
224370,N-M,P@ks_str,"{1: 0.0, 5: 0.0031, 10: 0.0104}"
224370,N-1,P@ks_str,"{1: 0.2077, 5: 0.3909, 10: 0.4411}"
224370,N-1,P@ks_str,"{1: 0.0177, 5: 0.1783, 10: 0.3191}"
224370,N-M,P@ks_str,"{1: 0.4668, 5: 0.6491, 10: 0.7273999999999999}"
224370,1-1,P@ks_str,"{1: 0.38549999999999995, 5: 0.6257, 10: 0.6816}"
224370,N-1,P@ks_str,"{1: 0.0697, 5: 0.2413, 10: 0.3432}"
224370,N-M,P@ks_str,"{1: 0.0108, 5: 0.10279999999999999, 10: 0.23379999999999998}"
224370,N-M,P@ks_str,"{1: 0.0291, 5: 0.16140000000000002, 10: 0.2963}"
224370,N-1,P@ks_str,"{1: 0.0, 5: 0.1234, 10: 0.4924}"
224370,N-1,P@ks_str,"{1: 0.1382, 5: 0.4276, 10: 0.5592}"
224370,N-M,P@ks_str,"{1: 0.0062, 5: 0.0165, 10: 0.024700000000000003}"
224370,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
224370,N-1,P@ks_str,"{1: 0.18170000000000003, 5: 0.34509999999999996, 10: 0.4078}"
224370,N-M,P@ks_str,"{1: 0.0012, 5: 0.009399999999999999, 10: 0.056299999999999996}"
224370,N-1,P@ks_str,"{1: 0.0, 5: 0.0737, 10: 0.5368999999999999}"
224370,N-M,P@ks_str,"{1: 0.0019, 5: 0.0273, 10: 0.0741}"
224370,N-1,P@ks_str,"{1: 0.18899999999999997, 5: 0.2666, 10: 0.3134}"
224370,N-1,P@ks_str,"{1: 0.08710000000000001, 5: 0.7595000000000001, 10: 0.9248999999999999}"
224370,N-M,P@ks_str,"{1: 0.0269, 5: 0.08960000000000001, 10: 0.1463}"
224370,N-M,P@ks_str,"{1: 0.6204999999999999, 5: 0.8268000000000001, 10: 0.8734999999999999}"
224370,N-M,P@ks_str,"{1: 0.1361, 5: 0.32539999999999997, 10: 0.41950000000000004}"
224370,N-1,P@ks_str,"{1: 0.0077, 5: 0.0166, 10: 0.022099999999999998}"
224370,N-1,P@ks_str,"{1: 0.2597, 5: 0.43450000000000005, 10: 0.5181}"
224370,1-1,P@ks_str,"{1: 0.1362, 5: 0.2702, 10: 0.3489}"
224370,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
224370,N-1,P@ks_str,"{1: 0.0304, 5: 0.131, 10: 0.2024}"
381429,N-1,P@ks_str,"{1: 0.17559999999999998, 5: 0.2949, 10: 0.3436}"
381429,N-1,P@ks_str,"{1: 0.09910000000000001, 5: 0.1408, 10: 0.17629999999999998}"
381429,N-1,P@ks_str,"{1: 0.2772, 5: 0.531, 10: 0.5920000000000001}"
381429,N-1,P@ks_str,"{1: 0.4422, 5: 0.7232999999999999, 10: 0.83}"
381429,N-1,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0021}"
381429,N-1,P@ks_str,"{1: 0.2082, 5: 0.6072, 10: 0.7918000000000001}"
381429,N-M,P@ks_str,"{1: 0.0507, 5: 0.1935, 10: 0.3072}"
381429,N-1,P@ks_str,"{1: 0.16949999999999998, 5: 0.38630000000000003, 10: 0.4678}"
381429,N-1,P@ks_str,"{1: 0.34259999999999996, 5: 0.6296, 10: 0.7526}"
381429,N-M,P@ks_str,"{1: 0.7340000000000001, 5: 0.7685, 10: 0.7833}"
381429,N-M,P@ks_str,"{1: 0.0768, 5: 0.2286, 10: 0.3543}"
381429,N-M,P@ks_str,"{1: 0.0060999999999999995, 5: 0.0536, 10: 0.1681}"
381429,N-M,P@ks_str,"{1: 0.0, 5: 0.0105, 10: 0.031400000000000004}"
381429,N-M,P@ks_str,"{1: 0.0179, 5: 0.0832, 10: 0.18739999999999998}"
381429,N-1,P@ks_str,"{1: 0.5728, 5: 0.7816, 10: 0.8808}"
381429,N-M,P@ks_str,"{1: 0.0, 5: 0.0052, 10: 0.015700000000000002}"
381429,N-1,P@ks_str,"{1: 0.5788, 5: 0.7841, 10: 0.8681}"
381429,N-1,P@ks_str,"{1: 0.10949999999999999, 5: 0.2857, 10: 0.5798}"
381429,N-M,P@ks_str,"{1: 0.5025999999999999, 5: 0.7053, 10: 0.8210999999999999}"
381429,1-1,P@ks_str,"{1: 0.5196000000000001, 5: 0.7095, 10: 0.7542}"
381429,N-1,P@ks_str,"{1: 0.16899999999999998, 5: 0.3265, 10: 0.39740000000000003}"
381429,N-M,P@ks_str,"{1: 0.5367999999999999, 5: 0.7219, 10: 0.7879}"
381429,N-M,P@ks_str,"{1: 0.0291, 5: 0.1005, 10: 0.2169}"
381429,N-1,P@ks_str,"{1: 0.078, 5: 0.3912, 10: 0.5437}"
381429,N-1,P@ks_str,"{1: 0.21489999999999998, 5: 0.4496, 10: 0.557}"
381429,N-M,P@ks_str,"{1: 0.030899999999999997, 5: 0.07629999999999999, 10: 0.11130000000000001}"
