checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,accuracy,0.7285067873303167
0,last,accuracy,0.7285067873303167
10,last,accuracy,0.7277750887383027
20,last,accuracy,0.7262295081967213
40,last,accuracy,0.7265475430759413
100,last,accuracy,0.7271459312983183
200,last,accuracy,0.7301346935522436
400,last,accuracy,0.7315401474397291
800,last,accuracy,0.7367708001275104
21085,last,accuracy,0.9394325788970354
42170,last,accuracy,0.9486372330251833
63255,last,accuracy,0.94975294867708
84340,last,accuracy,0.9505498884284348
105425,last,accuracy,0.9549330570608862
126510,last,accuracy,0.9561683136754862
147595,last,accuracy,0.9582403570290086
168680,last,accuracy,0.9558495377749442
189765,last,accuracy,0.9574832642652216
210850,last,accuracy,0.9583200510041441
231935,last,accuracy,0.9570449474019764
253020,last,accuracy,0.9586786738922537
274105,last,accuracy,0.9585989799171183
295190,last,accuracy,0.9578020401657634
316275,last,accuracy,0.9572043353522474
337360,last,accuracy,0.9588380618425247
358445,last,accuracy,0.9583997449792796
379530,last,accuracy,0.9588779088300925
400615,last,accuracy,0.9583997449792796
421700,last,accuracy,0.9590771437679312
442785,last,accuracy,0.958479438954415
463870,last,accuracy,0.9596350015938795
484955,last,accuracy,0.9573637233025183
506040,last,accuracy,0.9600733184571246
527125,last,accuracy,0.9611890341090213
548210,last,accuracy,0.9611093401338858
569295,last,accuracy,0.9601530124322601
590380,last,accuracy,0.9608304112209117
611465,last,accuracy,0.9601530124322601
632550,last,accuracy,0.9598740835192859
653635,last,accuracy,0.9603920943576666
674720,last,accuracy,0.960471788332802
695805,last,accuracy,0.9603920943576666
716890,last,accuracy,0.9596350015938795
737975,last,accuracy,0.9593162256933376
759060,last,accuracy,0.9600334714695569
780145,last,accuracy,0.9610296461587504
801230,last,accuracy,0.9594756136436086
822315,last,accuracy,0.9599139305068537
843400,last,accuracy,0.9604319413452344
864485,last,accuracy,0.9599139305068537
885570,last,accuracy,0.9607507172457762
906655,last,accuracy,0.9597943895441504
927740,last,accuracy,0.9591169907554988
948825,last,accuracy,0.9587185208798215
969910,last,accuracy,0.9591966847306344
990995,last,accuracy,0.9592365317182021
1012080,last,accuracy,0.9593560726809053
