checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,accuracy,0.7285067873303167
10,last,accuracy,0.727357533968769
20,last,accuracy,0.7265340431493416
40,last,accuracy,0.7264715265592598
100,last,accuracy,0.7273307026983937
200,last,accuracy,0.7300442354441478
400,last,accuracy,0.7307722961664143
800,last,accuracy,0.7318297736691106
22746,last,accuracy,0.9338540006375518
45492,last,accuracy,0.9385957921581128
68238,last,accuracy,0.9439751354797578
90984,last,accuracy,0.9457284029327383
113730,last,accuracy,0.9450510041440867
136476,last,accuracy,0.9499521836149187
159222,last,accuracy,0.9481989161619382
181968,last,accuracy,0.9481590691743704
204714,last,accuracy,0.9474418233981511
227460,last,accuracy,0.9495537137392414
250206,last,accuracy,0.9499920306024865
272952,last,accuracy,0.9508686643289768
295698,last,accuracy,0.9490357029008607
318444,last,accuracy,0.9500717245776219
341190,last,accuracy,0.9491552438635639
363936,last,accuracy,0.94975294867708
386682,last,accuracy,0.9489161619381574
409428,last,accuracy,0.9486372330251833
432174,last,accuracy,0.9492349378386994
454920,last,accuracy,0.94975294867708
477666,last,accuracy,0.9506694293911381
500412,last,accuracy,0.9519445329933057
523158,last,accuracy,0.94975294867708
545904,last,accuracy,0.9521836149187122
568650,last,accuracy,0.9507889703538412
591396,last,accuracy,0.9514265221549251
614142,last,accuracy,0.9519445329933057
636888,last,accuracy,0.9508686643289768
659634,last,accuracy,0.9523430028689831
682380,last,accuracy,0.9519445329933057
705126,last,accuracy,0.9523430028689831
727872,last,accuracy,0.9519445329933057
750618,last,accuracy,0.9516257570927638
773364,last,accuracy,0.9533790245457443
796110,last,accuracy,0.9533790245457443
818856,last,accuracy,0.9531000956327702
841602,last,accuracy,0.9527016257570927
864348,last,accuracy,0.9518249920306024
887094,last,accuracy,0.9527414727446605
909840,last,accuracy,0.9540564233343959
932586,last,accuracy,0.9542955052598023
955332,last,accuracy,0.9540165763468281
978078,last,accuracy,0.9527414727446605
1000824,last,accuracy,0.9539767293592605
