checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,f1-measure-overall,0.5810701854436977
10,last,f1-measure-overall,0.5773424721551026
20,last,f1-measure-overall,0.5761703946984364
40,last,f1-measure-overall,0.5762092621022882
100,last,f1-measure-overall,0.5829755280435417
200,last,f1-measure-overall,0.5921004203552184
400,last,f1-measure-overall,0.5973354079548273
800,last,f1-measure-overall,0.6034886236258377
1600,last,f1-measure-overall,0.599585629959686
3200,last,f1-measure-overall,0.6060925189171825
6400,last,f1-measure-overall,0.6156584318352796
12800,last,f1-measure-overall,0.8813705375461135
20000,last,f1-measure-overall,0.9005869632375157
40000,last,f1-measure-overall,0.9170522141440348
60000,last,f1-measure-overall,0.9148347107437517
80000,last,f1-measure-overall,0.9238093266822095
100000,last,f1-measure-overall,0.9243561898851501
120000,last,f1-measure-overall,0.9261875660333863
140000,last,f1-measure-overall,0.9238089327457661
160000,last,f1-measure-overall,0.9212056018699982
180000,last,f1-measure-overall,0.920303487626834
200000,last,f1-measure-overall,0.924188473004256
220000,last,f1-measure-overall,0.9222339391683225
240000,last,f1-measure-overall,0.9208900642548209
260000,last,f1-measure-overall,0.9242991620978087
280000,last,f1-measure-overall,0.9215029761904262
300000,last,f1-measure-overall,0.9232041343668751
320000,last,f1-measure-overall,0.9239137178664734
340000,last,f1-measure-overall,0.9230832833784149
360000,last,f1-measure-overall,0.9265518025936994
380000,last,f1-measure-overall,0.9256868586560242
400000,last,f1-measure-overall,0.9250227705555516
420000,last,f1-measure-overall,0.9259680857668644
440000,last,f1-measure-overall,0.9259335927796138
460000,last,f1-measure-overall,0.9261144914938032
480000,last,f1-measure-overall,0.9245567944394528
500000,last,f1-measure-overall,0.9267363626953231
520000,last,f1-measure-overall,0.9263000993706026
540000,last,f1-measure-overall,0.9265857397356256
560000,last,f1-measure-overall,0.9280076239407817
580000,last,f1-measure-overall,0.9273442351479525
600000,last,f1-measure-overall,0.928658751372694
620000,last,f1-measure-overall,0.9270766492102748
640000,last,f1-measure-overall,0.9270382712726923
660000,last,f1-measure-overall,0.9277210708295739
680000,last,f1-measure-overall,0.9280331262939459
700000,last,f1-measure-overall,0.9277377700520981
720000,last,f1-measure-overall,0.9278320635971677
740000,last,f1-measure-overall,0.9269433806023721
760000,last,f1-measure-overall,0.9269231565222291
780000,last,f1-measure-overall,0.9282298631667788
800000,last,f1-measure-overall,0.927110927152268
820000,last,f1-measure-overall,0.9273946518751053
840000,last,f1-measure-overall,0.9273548547511
860000,last,f1-measure-overall,0.9277253147779488
880000,last,f1-measure-overall,0.9280434017351912
900000,last,f1-measure-overall,0.927883320557658
920000,last,f1-measure-overall,0.9291038595328306
940000,last,f1-measure-overall,0.9283258068525
960000,last,f1-measure-overall,0.9287016322810007
980000,last,f1-measure-overall,0.9273340646148889
1000000,last,f1-measure-overall,0.9281779397754543
