checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,f1-measure-overall,0.5810701854436977
0,last,f1-measure-overall,0.5810701854436977
10,last,f1-measure-overall,0.5764511424403976
20,last,f1-measure-overall,0.5761480013213907
40,last,f1-measure-overall,0.5753802521416003
100,last,f1-measure-overall,0.5768206643213435
200,last,f1-measure-overall,0.5916731216111044
400,last,f1-measure-overall,0.5776770761500831
800,last,f1-measure-overall,0.5962978166109082
21085,last,f1-measure-overall,0.9029996907534806
42170,last,f1-measure-overall,0.9212655451403478
63255,last,f1-measure-overall,0.9231215189348736
84340,last,f1-measure-overall,0.9192965052596271
105425,last,f1-measure-overall,0.9235700401174074
126510,last,f1-measure-overall,0.9226636913985327
147595,last,f1-measure-overall,0.9236429782131875
168680,last,f1-measure-overall,0.9234077750206283
189765,last,f1-measure-overall,0.9219732054250244
210850,last,f1-measure-overall,0.9243082268270999
231935,last,f1-measure-overall,0.9242853304119055
253020,last,f1-measure-overall,0.9248681625477735
274105,last,f1-measure-overall,0.9231150896197635
295190,last,f1-measure-overall,0.9230323954435009
316275,last,f1-measure-overall,0.9210678568476234
337360,last,f1-measure-overall,0.9225682461614263
358445,last,f1-measure-overall,0.9257320227624953
379530,last,f1-measure-overall,0.9237098908368669
400615,last,f1-measure-overall,0.9233692733506337
421700,last,f1-measure-overall,0.9207260412579261
442785,last,f1-measure-overall,0.9249028202794968
463870,last,f1-measure-overall,0.923611398320807
484955,last,f1-measure-overall,0.9209895919378321
506040,last,f1-measure-overall,0.9231405129476425
527125,last,f1-measure-overall,0.9244510606623989
548210,last,f1-measure-overall,0.9243999751927228
569295,last,f1-measure-overall,0.9251793504103369
590380,last,f1-measure-overall,0.9242988334573836
611465,last,f1-measure-overall,0.925502855723814
632550,last,f1-measure-overall,0.9255880345062494
653635,last,f1-measure-overall,0.9262491727332394
674720,last,f1-measure-overall,0.9248009924531703
695805,last,f1-measure-overall,0.9243050959628885
716890,last,f1-measure-overall,0.9243714852794737
737975,last,f1-measure-overall,0.9237349422484366
759060,last,f1-measure-overall,0.9249705219171631
780145,last,f1-measure-overall,0.9259925930523158
801230,last,f1-measure-overall,0.9248722352113051
822315,last,f1-measure-overall,0.9239894188641312
843400,last,f1-measure-overall,0.9256109421234007
864485,last,f1-measure-overall,0.9237668161434478
885570,last,f1-measure-overall,0.9240849058553124
906655,last,f1-measure-overall,0.925932824237859
927740,last,f1-measure-overall,0.9263933137489674
948825,last,f1-measure-overall,0.9259512134565945
969910,last,f1-measure-overall,0.9257213775984607
990995,last,f1-measure-overall,0.9248841826604398
1012080,last,f1-measure-overall,0.9251638784920612
