checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,f1-measure-overall,0.5719947929821338
10,last,f1-measure-overall,0.5658055152394279
20,last,f1-measure-overall,0.5652493235407312
40,last,f1-measure-overall,0.5649560259011777
100,last,f1-measure-overall,0.5759467976104826
200,last,f1-measure-overall,0.5824473226367182
400,last,f1-measure-overall,0.5892302917442085
800,last,f1-measure-overall,0.5961293857502976
1600,last,f1-measure-overall,0.5937002369207566
3200,last,f1-measure-overall,0.597304665596733
6400,last,f1-measure-overall,0.6072158981284473
12800,last,f1-measure-overall,0.87709577459003
20000,last,f1-measure-overall,0.9067536058435834
40000,last,f1-measure-overall,0.9174922952819737
60000,last,f1-measure-overall,0.9234208129811571
66694,last,f1-measure-overall,0.9192508062515007
80000,last,f1-measure-overall,0.917255923582632
100000,last,f1-measure-overall,0.9210069444443945
120000,last,f1-measure-overall,0.9239114681462884
133388,last,f1-measure-overall,0.9229239596494726
140000,last,f1-measure-overall,0.92032614544095
160000,last,f1-measure-overall,0.9246510086574208
180000,last,f1-measure-overall,0.9232489285491955
200000,last,f1-measure-overall,0.9243833233228587
200082,last,f1-measure-overall,0.9258644995438591
220000,last,f1-measure-overall,0.9248705736176763
240000,last,f1-measure-overall,0.9273956130529832
260000,last,f1-measure-overall,0.9259888175605215
266776,last,f1-measure-overall,0.9252019051562972
280000,last,f1-measure-overall,0.9264282608245001
300000,last,f1-measure-overall,0.9250760413002046
320000,last,f1-measure-overall,0.9240121580546613
340000,last,f1-measure-overall,0.9238792996398358
360000,last,f1-measure-overall,0.9241659077737723
380000,last,f1-measure-overall,0.9252847380409523
400000,last,f1-measure-overall,0.9266009444121777
420000,last,f1-measure-overall,0.9246270663935113
440000,last,f1-measure-overall,0.9247307373653187
460000,last,f1-measure-overall,0.9262447746367614
480000,last,f1-measure-overall,0.9274101687894292
500000,last,f1-measure-overall,0.9239969375296954
520000,last,f1-measure-overall,0.9267949222389693
540000,last,f1-measure-overall,0.9241176713971946
560000,last,f1-measure-overall,0.9249047855604734
580000,last,f1-measure-overall,0.9251599279547355
600000,last,f1-measure-overall,0.9253156696335664
620000,last,f1-measure-overall,0.924439661416784
640000,last,f1-measure-overall,0.9255986257993251
660000,last,f1-measure-overall,0.9220427327444843
680000,last,f1-measure-overall,0.9246777963962346
700000,last,f1-measure-overall,0.9248593181065373
720000,last,f1-measure-overall,0.9276754295176483
740000,last,f1-measure-overall,0.9248624270759565
760000,last,f1-measure-overall,0.9254497650248967
780000,last,f1-measure-overall,0.9241850357031478
800000,last,f1-measure-overall,0.9269453642383607
820000,last,f1-measure-overall,0.9246938099966397
840000,last,f1-measure-overall,0.9227554820024325
860000,last,f1-measure-overall,0.9257710618918978
880000,last,f1-measure-overall,0.9241433537493292
900000,last,f1-measure-overall,0.924365923290115
920000,last,f1-measure-overall,0.9257112095738453
940000,last,f1-measure-overall,0.9246395399349948
960000,last,f1-measure-overall,0.9238981998758035
980000,last,f1-measure-overall,0.924980857184197
1000000,last,f1-measure-overall,0.9249296474093194
