checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,f1-measure-overall,0.5810701854436977
10,last,f1-measure-overall,0.5773416661798852
20,last,f1-measure-overall,0.5759166375052965
40,last,f1-measure-overall,0.5762876579202612
100,last,f1-measure-overall,0.5839562302534759
200,last,f1-measure-overall,0.5942290176927202
400,last,f1-measure-overall,0.5945145129534192
800,last,f1-measure-overall,0.61502625449085
23172,last,f1-measure-overall,0.880391996063588
46344,last,f1-measure-overall,0.8928520004113457
69516,last,f1-measure-overall,0.8714174741403483
92688,last,f1-measure-overall,0.8985018109976451
115860,last,f1-measure-overall,0.8963177696909387
139032,last,f1-measure-overall,0.9026242667489467
162204,last,f1-measure-overall,0.8996690579456427
185376,last,f1-measure-overall,0.8978929642255219
208548,last,f1-measure-overall,0.9039015556835455
231720,last,f1-measure-overall,0.906141271899977
254892,last,f1-measure-overall,0.9038152858377076
278064,last,f1-measure-overall,0.901676782224001
301236,last,f1-measure-overall,0.9022067745716548
324408,last,f1-measure-overall,0.9019503072401317
347580,last,f1-measure-overall,0.9073707642838976
370752,last,f1-measure-overall,0.9053889747552308
393924,last,f1-measure-overall,0.9088696369636464
417096,last,f1-measure-overall,0.9075183789460178
440268,last,f1-measure-overall,0.9066117404736885
463440,last,f1-measure-overall,0.9077543960795119
486612,last,f1-measure-overall,0.9088287397519378
509784,last,f1-measure-overall,0.9119363285840445
532956,last,f1-measure-overall,0.9121620228101879
556128,last,f1-measure-overall,0.9083269828846328
579300,last,f1-measure-overall,0.910454217736071
602472,last,f1-measure-overall,0.9098998887652447
625644,last,f1-measure-overall,0.9103129767844125
648816,last,f1-measure-overall,0.9101438522731459
671988,last,f1-measure-overall,0.9125665030724952
695160,last,f1-measure-overall,0.9086979788415919
718332,last,f1-measure-overall,0.9082565031280371
741504,last,f1-measure-overall,0.9090497178398806
764676,last,f1-measure-overall,0.9082040093853697
787848,last,f1-measure-overall,0.9089747552807332
811020,last,f1-measure-overall,0.9083793359149208
834192,last,f1-measure-overall,0.9099451840250087
857364,last,f1-measure-overall,0.9094281298299346
880536,last,f1-measure-overall,0.9093980470519875
903708,last,f1-measure-overall,0.9090422465617553
926880,last,f1-measure-overall,0.9073845393923926
950052,last,f1-measure-overall,0.9086940406078328
973224,last,f1-measure-overall,0.907440568076517
996396,last,f1-measure-overall,0.907926967332858
1019568,last,f1-measure-overall,0.9077847762545299
