checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,f1-measure-overall,0.5810701854436977
10,last,f1-measure-overall,0.5764270407168799
20,last,f1-measure-overall,0.5746693340065927
40,last,f1-measure-overall,0.5762033384504274
100,last,f1-measure-overall,0.5824032022168698
200,last,f1-measure-overall,0.591364956437511
400,last,f1-measure-overall,0.5919327666001323
800,last,f1-measure-overall,0.5901282126110906
22746,last,f1-measure-overall,0.8945180673305946
45492,last,f1-measure-overall,0.9123647476665891
68238,last,f1-measure-overall,0.9151332618202324
90984,last,f1-measure-overall,0.9191513998593438
113730,last,f1-measure-overall,0.918713147822439
136476,last,f1-measure-overall,0.920554071681421
159222,last,f1-measure-overall,0.9212966796389331
181968,last,f1-measure-overall,0.9213352925349776
204714,last,f1-measure-overall,0.9209356192996833
227460,last,f1-measure-overall,0.9223321057640086
250206,last,f1-measure-overall,0.92250403409321
272952,last,f1-measure-overall,0.9213352925349776
295698,last,f1-measure-overall,0.9223068012576036
318444,last,f1-measure-overall,0.9245025441607906
341190,last,f1-measure-overall,0.9261911661215713
363936,last,f1-measure-overall,0.9225582261200012
386682,last,f1-measure-overall,0.9227143034362482
409428,last,f1-measure-overall,0.9220867909690539
432174,last,f1-measure-overall,0.9224152191893628
454920,last,f1-measure-overall,0.9218488263881208
477666,last,f1-measure-overall,0.9219943291180658
500412,last,f1-measure-overall,0.9197246283929954
523158,last,f1-measure-overall,0.9210967408173324
545904,last,f1-measure-overall,0.9207740654977998
568650,last,f1-measure-overall,0.9209148297629636
591396,last,f1-measure-overall,0.9197219233633532
614142,last,f1-measure-overall,0.9215264268862544
636888,last,f1-measure-overall,0.923768115941979
659634,last,f1-measure-overall,0.9223222601676
682380,last,f1-measure-overall,0.9213232099633322
705126,last,f1-measure-overall,0.9201751848943847
727872,last,f1-measure-overall,0.9194884614589506
750618,last,f1-measure-overall,0.9216797683077697
773364,last,f1-measure-overall,0.9237135585855368
796110,last,f1-measure-overall,0.9238755040843261
818856,last,f1-measure-overall,0.9213455252595802
841602,last,f1-measure-overall,0.920161206985586
864348,last,f1-measure-overall,0.9228985987207913
887094,last,f1-measure-overall,0.9230323475236984
909840,last,f1-measure-overall,0.9207877823471777
932586,last,f1-measure-overall,0.9213000268600092
955332,last,f1-measure-overall,0.9214583936174111
978078,last,f1-measure-overall,0.9217416461738254
1000824,last,f1-measure-overall,0.9210711186412163
